minSup,numCands,numAlphUsed,numSetsUsed,numSets,countSum,dbSize,ctSize,totalSize,seconds
340,0,83,0,0,6539,37881,1190,39071,0
322,2,83,0,0,6539,37881,1190,39071,0
222,14,83,4,4,5922,34902,1266,36169,0
122,134,82,20,20,4989,30788,1624,32412,0
22,15574,82,85,85,3430,24263,3394,27657,0
