Used Theory,Total Unique Positives,Total Unique Negatives,Default Accuracy,# Clauses,Mean # Litrals,T+,T-,Similarity of T+,Similarity of T-,Similarity of T_MF,Similarity of T_Comp,Similarity of T_MDL,Similarity - Common,Overlap Size,MF Theory,Comp Theory,MDL Theory,Compression of T+,Compression of T-,DL of T+,DL of T-,# Sampled Positives,# Sampled Negatives,# Unique Sampled Positives,# Unique Sampled Negatives
"[[7, -1, -5, 9, -8, -14, -12, -4, 3, -10, -2, -6, 13], [6, -7], [9, -8, -13, 14], [-14, 7, -12, 11, -1, 8, -6, -2, -9, 3, 10, 4], [-9, -6], [-10, 9, -14, 5, 8, -2, 7, 3, 11, 13, -12, -1, -4], [-9, 5, -14, -4, 11, -7, 13, 10, -12, 3, -1, 2], [14, -12, -4]]",6588,9796,0.597900390625,8,7.625,"[[-4, -12, 14], [-8, 9, -13, 14], [-7, 6], [-6, -9], [-7, 6]]","[[9, -14, -6], [8, 4, -3], [-8, -11, 13, -1], [7, 11, 12, -8, -3], [10, 12, 5, -2], [10, -13, -3, -1], [2, 3, 4, 5], [6, 13, -14, -9, -4], [1, 9, 10, -6, -5, -3], [7, 9, -12, -2, -1], [1, 8, 11, -13, -2], [3, 12, 14, -13, -11, -2, -1], [2, 9, 12, 13, -8, -5], [2, 13, -14, -10, -1], [6, 8, 13, -12, -11, -1, -9, -7, -5, -2], [7, -10, 14], [1, 10, 14, -12, -11, -9, -7, -6, -2], [8, 9, 3], [1, 3, -14, -13, -11, -9, -8, -6, -5, -4, -2], [2, 3, 10, 13, -11, -7, -6, -5, -4], [1, 12, -10], [6, 7]]",0.999755859375,0.37847900390625,0.37847900390625,0.999755859375,0.999755859375,1.0,0.37823486328125,T-,T+,T+,0.9963850040776048,0.7661208953455325,93.74467006278003,6064.991488533839,251,249,251,248
"[[-2], [14, -10, -2, 7, -12, 6, -13, -1, -5, -11], [-4, 2]]",4096,12288,0.75,3,4.333333333333333,"[[-4], [-2]]","[[1, 3, 9, 10, -13, -12, -8, -7, -6, -5], [1, 5, 7, 8, 9, 10, 11, 12, 13, -6], [4, 7, 9, 11, 12, -14, -13, -10, -6, -5, -1], [3, 6, 8, 11, 13, -14, -12, -10, -9, -7, -5], [1, 4, 5, 7, 8, 9, 10, 11, 13, 14, -3], [6, 8, 10, 11, 12, 14, -5], [1, 3, 4, 5, 8, 9, 10, 12, 14, -13, -6], [9, 2, -13, -7], [8, -13, -12, -10, -9], [2, 10, 13, 14, -9], [3, 4, -14, -8, -1], [1, 3, 8, -14, -7, -5], [10, -13, -11, -8, -7, -1], [3, 8, 9, 12, -13, -10, -1], [1, 4, 5, 6, 10, 14, -8], [5, 12, 13, -11, -9, -1], [3, 5, 8, 9, 14, -1], [5, 7, 9, -14, -3], [7, 8, 10, 12, 14, -11, -3, -1], [2, 9, 12, 13, -8, -5], [-8, 2, -14, 7], [2, 4]]",1.0,0.19879150390625,1.0,1.0,1.0,1.0,0.19879150390625,T+,T+,T+,0.9989251320948411,0.8965638502736184,27.950393783825064,2732.0681795407295,158,342,158,342
"[[9], [-2, 12, -7, -4, 5, 6, -8, 13, -10, -14], [-8], [14, 9, -5, -11, 6, -7, 12, -2, -8, -1]]",4096,12288,0.75,4,5.5,"[[9], [-8]]","[[3, 4, 5, 6, 8, 12, 13, 14, -10, -7, -2], [11, 14, -13, -12, -10, -9, -7, -6, -5, -2], [7, 10, 14, -2, -9, -6, -5, -4, -1], [3, 5, 6, 8, 11, -14, -13, -12, -10, -2, -4, -1], [1, 2, 6, 7, 13, 14, -11, -10, -5, -4, -3], [2, 3, 5, -10, -6], [1, 2, 10, -14, -12, -9, -6, -5], [1, 6, 8, 11, 12, 14], [3, 4, 7, 12, -13, -6], [10, 12, 13, -14, -3, -2], [6, 14, -10, -9, -7, -1], [3, 7, 10, -12, -9], [1, 7, 8, 14, -13, -12, -11, -2], [12, 13, -11, -10, -9, -7, -6, -4], [2, 7, 12, -13, -11, -9, -4], [-3, 10, 5, -9], [8, 12, 13, -14, -11, -4], [6, 12, -9, -3, -2], [8, -9]]",1.0,0.13250732421875,1.0,1.0,1.0,1.0,0.13250732421875,T+,T+,T+,0.9925136312076818,0.9262356312713921,222.71851396054595,1919.2731528026543,153,347,153,347
"[[-5, 7, -12, -13, 2, 1, -4, 6, -3, 10, 14, 9], [-8, -9, 14], [8], [1, -13, 7, 4, -9, 2, -3, -14]]",6110,10274,0.6270751953125,4,6,"[[4, 5, 10, -13, -12, -11, -9], [14, -9], [8]]","[[1, 6, 13, -11, -10, -9, -8, -7, -4, -2], [1, 2, 4, 5, 6, 7, 11, -14, -13, -10, -9], [4, 6, 7, 13, -14, -12, -11, -10, -2, -5, -3, -1], [-8, -14], [1, 2, 4, 5, 11, -12, -9, -6], [2, 6, 10, 13, -11], [2, 3, 7, 9, -10], [9, 11, -6, -3, -2], [4, 5, 7, 12, 13, -14, -2], [5, 9, 10, -13, -6], [2, 4, 12, -14, -11, -1], [6, -13, -7, -5, -2], [6, 10, -2, -5, -1], [1, 7, 10, 12, 14, -8, -4], [4, 10, 12, -14, -9, -5], [4, 7, 11, -10, -6, -2], [3, 9, 14, -12, -6, -1], [2, 13, -10, -7, -1], [-13, 6, 7, -8, -3], [-8, 9]]",0.9962158203125,0.1612548828125,0.9962158203125,0.9962158203125,0.9962158203125,0.9886363636363636,0.1611328125,T+,T+,T+,0.9867452479718619,0.92611228829015,431.83363041966885,1968.1134247466741,213,287,213,286
"[[-2, 10, -11, 4], [11, -2, -1, 5, -8, 13, 14], [-4]]",7104,9280,0.56640625,3,4,"[[10, -11, -2], [-4]]","[[3, 6, 7, 12, 13, 14, -11, -1], [-5, 4, -10], [10, -5, 4, -3], [7, 11, 13, 14, -5], [1, 7, 11, -14, -13], [-8, 4, -2, -1], [1, 2, 4, 9], [3, 4, 9, -7, -1], [6, 8, -9, -7, -3], [2, 6, 9, 10, 12, 14], [3, 7, 14, -12, -8, -1], [1, 6, -14, -9, -5, -2], [2, 8, 10, -14, -6], [2, 5, 13, 14, -12, -10], [1, 6, 7, 13, -8, -3], [6, 8, 11, -14, -12], [3, 5, 8, 10, 14, -13, -12, -9, -7, -1], [-6, 11, -2, -5], [-13, -10, 6], [1, 3, 5, 13, 14, -9, -8, -2], [8, 12, 13, -11, -10, -7, -6, -5, -3], [2, 10, -9], [4, 5]]",0.99609375,0.29180908203125,0.29180908203125,0.99609375,0.99609375,1.0,0.28790283203125,T-,T+,T+,0.9897533637458741,0.833201280339497,294.4900722682861,4339.153882655377,256,244,256,244
"[[-10, 1, -12, 14, -8, 11], [-5, -6, 13], [1, 14, 5, 3, 11, -12, 6, 4, 9, 2], [9, -8], [-6, -2, 8, -13, 12, 7, 1, 3, -9, 11, -5, -14, -4], [-7, 2, -6, 4], [-2, 14, 12, 1, -9, -8]]",9836,6548,0.600341796875,7,6.285714285714286,"[[-6, -5, 13], [-7, 2, -6, 4], [1, 3, 6, 10, 12, 14, -8, -4, -2], [1, 11, 14, -10, -9, -8], [-8, 9]]","[[-8, 3, -9], [13, -1, -10], [1, -12, -3, 6], [1, 12, -2], [10, -1, -9], [-4, -12, -10, 7], [2, 3, 11, 12, 13], [1, 4, 5, 14, -7], [12, -10, -1, 14], [3, 10, -12, -7, -6], [-13, -9, -5], [5, -9], [2, 11, 6], [5, 12, 13, 14, -11, -8, -7, -4, -3], [-13, 4, -8, 11, -2], [8, 9], [2, 10, 12, -14, -11, -8, -6, -4, -3]]",0.987060546875,0.28302001953125,0.28302001953125,0.987060546875,0.987060546875,0.988950276243094,0.27618408203125,T-,T+,T+,0.9900822523100757,0.8032235162447928,258.23166560519314,5210.807457949137,332,168,331,168
"[[3, 2, -4, -8, 7, -6, 14, 1, 5, -12], [9, -10, -4, -1], [9], [10, -13, 3, -7, -14], [2]]",3968,12416,0.7578125,5,4.2,"[[3, 11, -14, -13, -6], [3, 4, -14, -12, -8], [2], [9]]","[[5, 6, 8, 11, 13, 14, -12, -10, -4, -1], [3, 6, 8, 10, 11, 12, 13, -14, -7, -5, -4, -1], [3, 7, 10, -14, -13, -12, -11, -2, -8, -5, -1], [3, 4, 7, 8, 10, 12, 13, 14, -11, -5, -1], [4, 5, 7, 12, 13, -14, -8, -6, -3], [1, 3, 5, 7, 8, 10, 12, -13, -11, -6, -4, -2], [5, -8, -6, -3, -2], [10, 12, -14, -8, -6], [1, 3, 7, 14, -9, -5], [5, 7, -12, -9, -6, -3], [1, 6, 13, 14, -10, -7, -2], [4, 6, -12, -8, -7, -5, -3], [6, -10, -9, -8, -4, -1], [4, 5, 6, 12, -2, -10, -8, -1], [11, 12, 14, -13, -8, -5, -4, -3], [4, 5, -2, 8, -7, -1], [-3, 2, -9, -6, 11, 12, 13], [3, 4, 5, 7, 8, 9, 10, 13, -14], [-2, -9]]",0.98291015625,0.10137939453125,0.98291015625,0.98291015625,0.98291015625,0.8894529046813311,0.10821533203125,T+,T+,T+,0.9861018631302505,0.9352092028674471,390.10599026223326,1690.4083815153822,139,361,139,361
"[[-1, -13, 8, 6, 3], [9, -1, 10, -2, -14, -11, -7, 8, -12]]",15844,540,0.967041015625,2,7,"[[3, 6, 8, -13, -1]]","[[10], [-10]]",0.998291015625,0.032958984375,0.032958984375,0.998291015625,0.998291015625,1.0,0.03125,T-,T+,T+,0.9985990190266549,0.9779306881448367,36.40244587209676,670.7423610988394,490,10,490,10
"[[-1, 12, 3, 5, -9, 11, -6, 14, -4, 13, 10], [12, 2, -11, 3, -6, 7, 1, -5, -4, 10]]",16360,24,0.99853515625,2,10.5,"[[1, 2, 3, 7, 8, 10, 12, 13, 14, -11, -9, -6, -5, -4]]","[[1, 11], [-1], [-11]]",0.99859619140625,0.00146484375,0.00146484375,0.99859619140625,0.00146484375,1.0,6.103515625e-05,T-,T+,T-,0.9975374010408369,0.9958982168426297,25936.654709555867,193.67321775428007,499,1,499,1
"[[-1, -10], [-11, 2, 14, -10, -5, -3], [-9, 13], [-8, 6, 4, 14, -13, -2, -1], [-2, 13, 11, 9], [10, 7, -2, -12, 13, 11, 9], [12, 5, 2, 6, -14, -10], [10, 3], [12, 2, -14, 1, 5, 6, 11, -10, 13, -9, -7]]",5408,10976,0.669921875,9,5.222222222222222,"[[2, -14, 3, 13], [4, 5, 11, 12, -10, -7], [7, 9, 12, 14, -11, -10, -5], [11, 13, -2], [13, -9], [-1, -10], [10, 3]]","[[2, 3, 6, 7, 8, 12, 13, -14, -11, -10, -5, -4], [5, 7, -14, -13, -11, -10, -9, -8], [2, 5, 6, 11, 14, -12, -10, -9, -7, -4, -3], [1, -11, 13, 9], [9, -3, 6], [1, -4, 5, -2], [9, -5, -12, 6], [2, 8, 10, 14, -1], [2, 5, 14, -13, -7], [5, 7, 8, -12, -11, -3, -2], [1, 3, 4, 11, 12, -8, -7], [11, 12, -14, -13, -4], [5, 8, 10, -14, -12, -9], [1, -12, -7, -5, -2], [9, 10, 12, 13, 14, -7, -2], [2, 8, -13, -12, -11, -9], [3, 5, 12, 14, -11, -10], [2, 4, 5, -11, -7, -3], [1, 12, -11, -9, -8, -6], [4, 6, 12, -10, -9, -5], [4, 5, 7, 10, 12, 13, 14, -1, -8, -2], [9, -6, 2], [7, 8, 10, 13, 14, -12, -11, -5, -4, -2], [4, 5, 11, 13, 14, -12, -7, -3, -2], [1, -13, -10], [4, 6, 13, 14, -12, -11, -9, -8, -7, -5, -1], [10, -13, -3]]",0.97509765625,0.297607421875,0.97509765625,0.97509765625,0.97509765625,0.957037643207856,0.29833984375,T+,T+,T+,0.9596975658779678,0.8269923509269385,1138.5816398552702,4501.422634270847,211,289,211,288
