Used Theory,Total Unique Positives,Total Unique Negatives,Default Accuracy,# Clauses,Mean # Litrals,T+,T-,Similarity of T+,Similarity of T-,Similarity of T_MF,Similarity of T_Comp,Similarity of T_MDL,Similarity - Common,Overlap Size,MF Theory,Comp Theory,MDL Theory,Compression of T+,Compression of T-,DL of T+,DL of T-,# Sampled Positives,# Sampled Negatives,# Unique Sampled Positives,# Unique Sampled Negatives
"[[7, -1, -5, 9, -8, -14, -12, -4, 3, -10, -2, -6, 13], [6, -7], [9, -8, -13, 14], [-14, 7, -12, 11, -1, 8, -6, -2, -9, 3, 10, 4], [-9, -6], [-10, 9, -14, 5, 8, -2, 7, 3, 11, 13, -12, -1, -4], [-9, 5, -14, -4, 11, -7, 13, 10, -12, 3, -1, 2], [14, -12, -4]]",6588,9796,0.597900390625,8,7.625,"[[-7, 6, -1], [3, 14, -12, -2, -1], [14, -12, -11, -10, -7, -5, -4, -3], [1, 3, 6, 14, -8, -2], [-8, 9, -13, 14], [-3, 6, 10, 13, -2], [1, 3, -12, 6, -8, 11, 13], [-6, -9]]","[[1, -14, -6, 9], [-5, 12, 6, 7], [10, -13, 12, -2], [2, 4, 7, 13, -3], [7, 8, 10, 12, -4, -1], [4, 5, 6, 7, -12, -10], [-5, -2, 6, -9], [2, 4, 6, 9, 10, -11, -5, -3], [1, 5, 7, 10, 11, -13, -6], [5, 8, 13, -14, -12, -3], [9, 4, -7, -10]]",0.8333740234375,0.3251953125,0.8333740234375,0.8333740234375,0.8333740234375,0.6995391705069124,0.3973388671875,T+,T+,T+,0.9237245989924391,0.9062108582869937,396.69187911227834,487.7770601661234,49,51,49,51
"[[-2], [14, -10, -2, 7, -12, 6, -13, -1, -5, -11], [-4, 2]]",4096,12288,0.75,3,4.333333333333333,"[[-2], [-4]]","[[2, 3, 5, 7, 11, -14, -13, -12, -9, -6], [8, -6, 4], [2, 10, 12, -11], [1, 2, 3, 9, 11, 12, 13, -14, -7], [2, -13, -11, -9, -7, -6, -1], [6, 13, 14, -10, -9, -1], [2, 4]]",1.0,0.10986328125,1.0,1.0,1.0,1.0,0.10986328125,T+,T+,T+,0.961894896297379,0.8936783539396489,235.17281760254482,550.713080048334,39,61,39,61
"[[9], [-2, 12, -7, -4, 5, 6, -8, 13, -10, -14], [-8], [14, 9, -5, -11, 6, -7, 12, -2, -8, -1]]",4096,12288,0.75,4,5.5,"[[9], [-8]]","[[4, 7, 8, -10, -6, -3], [4, 5, 8, 10, -14], [3, 6, 7, 14, -13, -12, -5, -4], [1, 3, 8, 14, -11, -7], [-5, -1, 6, -9], [8, -9]]",1.0,0.06494140625,1.0,1.0,1.0,1.0,0.06494140625,T+,T+,T+,0.9946003843224654,0.9113005928587019,27.950393783825064,459.1407066813895,25,75,25,75
"[[-5, 7, -12, -13, 2, 1, -4, 6, -3, 10, 14, 9], [-8, -9, 14], [8], [1, -13, 7, 4, -9, 2, -3, -14]]",6110,10274,0.6270751953125,4,6,"[[14, -9], [8]]","[[-8, -14, 11], [1, 7, 10, 11, 13, -6, -3], [2, 10, 13, -14, -11, -7, -4], [6, 9, 13, -14, -10, -7, -5, -4, -2], [2, 7, 10, -14, -13, -12, -11, -1], [1, 11, 12, 13, 14, -7, -3], [2, 4, 12, -6, -1], [-8, 9, 14]]",0.9979248046875,0.1519775390625,0.9979248046875,0.9979248046875,0.9979248046875,0.9935691318327974,0.15185546875,T+,T+,T+,0.9937341925359198,0.9495469072993438,32.650833501966154,262.9087374407854,36,64,36,64
"[[-2, 10, -11, 4], [11, -2, -1, 5, -8, 13, 14], [-4]]",7104,9280,0.56640625,3,4,"[[-11, -1, -2], [5, 6, 7, 10, -12, -3, -2], [-4]]","[[1, 6, 7, 8, 9, 13, 14, -12, -11, -10, -5, -2], [1, 10, -5, 4], [9, -6, 11, 4], [-14, -12, -11, -1], [2, 4, 9, -8, -3], [1, 4, 5, 13, -12], [-7, -5, -3, -2], [5, 11, -13, -12, -10, -8, -7, -1], [1, 8, -14, -9, -6], [4, 12, 14]]",0.932861328125,0.2916259765625,0.932861328125,0.932861328125,0.932861328125,0.9059602649006623,0.2764892578125,T+,T+,T+,0.9235949457805528,0.869716765881576,400.78567705812367,683.4057606385982,50,50,50,50
"[[-10, 1, -12, 14, -8, 11], [-5, -6, 13], [1, 14, 5, 3, 11, -12, 6, 4, 9, 2], [9, -8], [-6, -2, 8, -13, 12, 7, 1, 3, -9, 11, -5, -14, -4], [-7, 2, -6, 4], [-2, 14, 12, 1, -9, -8]]",9836,6548,0.600341796875,7,6.285714285714286,"[[-6, -5, 13], [1, 13, -10, -9, -7, -6, -3], [-8, 9]]","[[8, 9, 14], [1, 14, -13, -12, -9, -4, -3], [8, 13, 6], [11, 12, 14, -5, -4, -1], [1, -5, 4, -3], [3, 9, 13, -14, -6, -4], [2, -13, -11, -8, -7], [-7, 3, 14, -2], [-13, 4, -10], [-9, 12, 7], [3, -12, 6, -8, 10]]",0.9429931640625,0.3809814453125,0.3809814453125,0.9429931640625,0.9429931640625,0.9436643263122702,0.3651123046875,T-,T+,T+,0.9849657865513372,0.8715581179017379,78.03704370694787,666.6943236725264,62,38,62,38
"[[3, 2, -4, -8, 7, -6, 14, 1, 5, -12], [9, -10, -4, -1], [9], [10, -13, 3, -7, -14], [2]]",3968,12416,0.7578125,5,4.2,"[[8, 10, 11, -14, -12, -2, -1], [2], [9]]","[[4, 5, -12, -11, -10], [1, 8, 11, -9, -6, -4, -3], [-14, -13, -11, -1, -4, -3, -2], [-5, 11, -10, -13], [-2, -9]]",0.9892578125,0.08544921875,0.9892578125,0.9892578125,0.9892578125,0.9580838323353293,0.08154296875,T+,T+,T+,0.9755102464814778,0.9497132282722536,177.532976447637,260.62070789593906,30,70,30,70
"[[-1, -13, 8, 6, 3], [9, -1, 10, -2, -14, -11, -7, 8, -12]]",15844,540,0.967041015625,2,7,"[[3, 6, 8, -13, -1]]","[[1, 3, 13, -2], [4, 7, 9, -10, -1], [-5, -3], [-12], [5], [-8]]",0.998291015625,0.071044921875,0.071044921875,0.998291015625,0.998291015625,1.0,0.0693359375,T-,T+,T+,0.9930995683887687,0.9479179610551903,36.40244587209676,274.7529010375314,97,3,97,3
"[[-1, 12, 3, 5, -9, 11, -6, 14, -4, 13, 10], [12, 2, -11, 3, -6, 7, 1, -5, -4, 10]]",16360,24,0.99853515625,2,10.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100,0,100,0
"[[-1, -10], [-11, 2, 14, -10, -5, -3], [-9, 13], [-8, 6, 4, 14, -13, -2, -1], [-2, 13, 11, 9], [10, 7, -2, -12, 13, 11, 9], [12, 5, 2, 6, -14, -10], [10, 3], [12, 2, -14, 1, 5, 6, 11, -10, 13, -9, -7]]",5408,10976,0.669921875,9,5.222222222222222,"[[-5, -12, 13, -9], [2, -14, -10, -9, -4, -3], [5, 7, 9, 11, 13, -12, -4, -3, -2], [-5, 4, -10, -1], [4, 5, -1, -9], [-5, 13, -2, -10], [-13, -11, 6, -10, -2, -4, 14], [10, 3]]","[[6, 8, 10, 11, 12, 14, -5], [10, -11, -7, -5, -3], [2, 7, 9, -11, -4], [3, 6, -12, -11, -10], [8, 11, 12, -13, -9, -2], [1, 11, -10, -6, -5, -4], [-6, 10, -13, -3], [5, 2, 10, 13], [3, 4, 8, 9, 11, -7, -6, -5, -2], [1, -13, -12, -3]]",0.7421875,0.26904296875,0.7421875,0.7421875,0.7421875,0.5133101851851852,0.421875,T+,T+,T+,0.9446927462731823,0.888293437480144,288.5417962410235,582.7809198517598,42,58,42,58
"[[-10, 2, 13], [3, 13, -4], [-6, 7, -11, 1, 3], [12, -3, -10, -7, 5, 6, -2], [-8, -4, 6, -5, -14, -2], [-7, 3, 14, -12, 13, 4, 8, -10], [8, 1, -4, -5, 2, -11, 3, 12, -6, 7]]",12096,4288,0.73828125,7,6,"[[1, 3, 4, 7, -11, -6], [2, 13, -10], [-11, 3, -4, 13]]","[[2, 10, -9], [12, -2, 7], [-13, -4, 6, -10], [8, 9, 11, -14, -7, -1], [1, -4, -3], [-2, -9], [2, -13], [-5, 6], [-7, -11, 8, 9, -6, 13]]",0.923828125,0.2630615234375,0.2630615234375,0.923828125,0.923828125,0.9219955898566703,0.221435546875,T-,T+,T+,0.9839996561868734,0.9192443599233623,83.08143782630633,441.9584384055164,77,23,77,23
"[[-10, -12, 7, -8, 2, 5, -6, 3, -11], [2, 7, -5], [-9, -2, -7, 11], [6, 10, -11, 3, -12, -2, 9, 4], [6, -8, 11, 1, -13, 5, -3, 14, -4], [-12, 11, -7, 1, 6, 13, 2, 5, 9, -3, 14], [12, -3, 9, 6, -13, -4, 10, 14], [1, 7, -14, -4, -2, -3, 6, 12, -8, -10, -5, -9]]",13124,3260,0.801025390625,8,8,"[[1, 3, 6, 11, -9, -8, -7, -2], [2, -5, 7], [11, 14, -13, -7, -5, -2]]","[[-14, 13, 7], [2, -6, -12, -4], [1, 2, 13, -9, -8, -4], [1, 8, -10, -6, -5], [-14, -11, -10], [-8, -7, 10], [9, -13], [2, 3, -9, 8, -5, -1], [5]]",0.929931640625,0.26263427734375,0.26263427734375,0.929931640625,0.929931640625,0.9019108280254777,0.23956298828125,T-,T+,T+,0.9808964157961987,0.8970246165725596,99.38064584469362,566.8268162870672,83,17,83,17
