Used Theory,Total Unique Positives,Total Unique Negatives,Default Accuracy,# Clauses,Mean # Litrals,T+,T-,Similarity of T+,Similarity of T-,Similarity of T_MF,Similarity of T_Comp,Similarity of T_MDL,Similarity - Common,Overlap Size,MF Theory,Comp Theory,MDL Theory,Compression of T+,Compression of T-,DL of T+,DL of T-,# Sampled Positives,# Sampled Negatives,# Unique Sampled Positives,# Unique Sampled Negatives
"[[7, -1, -5, 9, -8, -14, -12, -4, 3, -10, -2, -6, 13], [6, -7], [9, -8, -13, 14], [-14, 7, -12, 11, -1, 8, -6, -2, -9, 3, 10, 4], [-9, -6], [-10, 9, -14, 5, 8, -2, 7, 3, 11, 13, -12, -1, -4], [-9, 5, -14, -4, 11, -7, 13, 10, -12, 3, -1, 2], [14, -12, -4]]",6588,9796,0.597900390625,8,7.625,"[[-12, -4, 14], [-8, 9, -13, 14], [-6, -9], [-7, 6]]","[[1, -6, 9], [6, 7, 12, -3, -1], [8, 10, 12, -4, -2], [2, -13, -12, 4], [9, -6, -11, -1], [5, 10, 11, -7, -6, -3, -2], [4, 6, 7, -13, -5], [1, -13, -9, -8, -2], [2, 9, 12, 13, -8], [8, -12, 4, -2], [2, 8, 10, 12, -1], [6, 13, -14, -9, -5, -4, -2], [2, 6, 8, 10, -14, -3], [1, 2, 8, 14, -10, -5], [2, 3, 4, 5, -8], [6, 10, 11, -14, -9, -8, -4, -3, -2], [4, 13, 7]]",0.999755859375,0.31768798828125,0.31768798828125,0.999755859375,0.999755859375,0.9994238525062416,0.31781005859375,T-,T+,T+,0.9938583648547401,0.8645871584992341,158.33786506115672,1790.2999876973254,126,124,126,123
"[[-2], [14, -10, -2, 7, -12, 6, -13, -1, -5, -11], [-4, 2]]",4096,12288,0.75,3,4.333333333333333,"[[-2], [-4]]","[[2, 3, 7, 9, 11, 13, -14, -10, -5, -1], [2, 5, 7, 10, -14, -13, -12, -11, -6, -3, -1], [1, 4, 7, 10, 14], [-8, -7, 4, -3], [5, 14, -12, -9, -3], [1, 4, 6, 8, -14, -12], [2, 6, 9, -13, -8, -1], [5, 11, 13, -14, -10, -3, -1], [4, 7, 10, 11, -6, -3], [-14, 4, 5, -8, 9, 13], [1, 3, -5, -6, 11], [2, 4]]",1.0,0.12255859375,1.0,1.0,1.0,1.0,0.12255859375,T+,T+,T+,0.9602801525584546,0.9201022766983801,535.1607899380297,1037.9729042349122,80,170,80,170
"[[9], [-2, 12, -7, -4, 5, 6, -8, 13, -10, -14], [-8], [14, 9, -5, -11, 6, -7, 12, -2, -8, -1]]",4096,12288,0.75,4,5.5,"[[-8], [9]]","[[4, 5, -9], [1, 3, 7, 10, -9, -4], [5, 11, -10, -9, -4], [3, 8, 11, -12, -1], [7, 8, 10, 12, -14, -5, -4, -3], [2, 6, 12, 14, -9, -5, -1], [5, 14, -13, -12, -11, -3, -2], [4, 10, 13, -12, -5, -2], [-3, 5, -6, 12, -4, -2], [8, 1, -5, -7], [8, -9]]",1.0,0.16455078125,1.0,1.0,1.0,1.0,0.16455078125,T+,T+,T+,0.9891020464538235,0.9119382824970574,205.09040852725082,1142.4930520456437,77,173,77,173
"[[-5, 7, -12, -13, 2, 1, -4, 6, -3, 10, 14, 9], [-8, -9, 14], [8], [1, -13, 7, 4, -9, 2, -3, -14]]",6110,10274,0.6270751953125,4,6,"[[1, 2, -13, -10, -6], [14, -9], [8]]","[[5, 7, 9, 11, 13, -14, -12, -10, -6, -3], [4, 6, 7, 9, 12, -11, -10, -2, -5, -1], [-8, -14, -13], [-8, 2, 13], [6, 11, 12, 13, -5, -2], [-8, -7, -6, -9], [2, 6, -14, -12, -9, -7, -4], [1, 7, 11, 12, 14, -5], [4, 13, 14, -7, -2], [2, 6, 12, -14, -11, -7, -5, -3], [1, 3, 9, 13, -14, -6, -4, -2], [2, 3, 5, -13, -11, -10, -1], [6, 11, 13, -14, -10, -9, -5, -3, -1], [-8, 1, -4, -12], [-8, 9]]",0.9871826171875,0.135009765625,0.9871826171875,0.9871826171875,0.9871826171875,0.9223628691983122,0.1446533203125,T+,T+,T+,0.9864685728379621,0.9055953630641771,239.70594905699716,1232.1115044121393,112,138,112,138
"[[-2, 10, -11, 4], [11, -2, -1, 5, -8, 13, 14], [-4]]",7104,9280,0.56640625,3,4,"[[10, -11, -2], [-4]]","[[2, 6, 7, 8, 10, 12, 13, -11, -9, -5, -3, -1], [1, 4, 8, -13, -12], [4, 8, 12, -14, -10], [3, 10, 11], [6, 7, 11, -3, -2], [2, 5, 12, -14, -8, -6], [9, -5, -7, -10], [5, 8, 12, 13, 14, -7], [1, 2, 6, 9, 10, -14, -13, -11, -7], [1, 7, 9, 12, -14, -8, -2], [-6, 11, 14, -13], [-12, -10, -1, -8, -2], [2, 4], [4, 7]]",0.99609375,0.237060546875,0.99609375,0.99609375,0.99609375,0.995846313603323,0.235107421875,T+,T+,T+,0.9971318373755943,0.8949729969446996,73.33660398880677,1363.5084800504014,124,126,124,126
"[[-10, 1, -12, 14, -8, 11], [-5, -6, 13], [1, 14, 5, 3, 11, -12, 6, 4, 9, 2], [9, -8], [-6, -2, 8, -13, 12, 7, 1, 3, -9, 11, -5, -14, -4], [-7, 2, -6, 4], [-2, 14, 12, 1, -9, -8]]",9836,6548,0.600341796875,7,6.285714285714286,"[[-7, -6, 2, 4], [-6, -5, 13], [1, 3, 7, 12, 13, 14, -10, -9, -4, -2], [1, 5, 14, -13, -9, -7, -6, -2], [-8, 9]]","[[12, 14, -13, -11, -2, -8, -7, -6, -3, -1], [8, 1, 12], [-6, 5, -9], [8, -12, -4], [6, 9, 14, -7, -2], [5, 9, -14, -12, -11, -6], [12, -14, -10, -7, -4], [3, 4, 5, 11, 13], [2, 7, 12, -13, -1], [10, 12, 6, -2], [1, 2, 6, -11, -4, -3], [-12, -11, -9, -7, -5, -3], [11, -14, -5, -10], [3, 4, 14, -13], [5, 6, 8, 9, 14], [2, 6, 9, -14, -10], [2, 11, -12, 7], [6, -9]]",0.977783203125,0.26025390625,0.26025390625,0.977783203125,0.977783203125,0.9798228346456693,0.248046875,T-,T+,T+,0.9835956210966963,0.8694064154545318,249.65258176437976,1732.1369956196036,182,68,182,68
"[[3, 2, -4, -8, 7, -6, 14, 1, 5, -12], [9, -10, -4, -1], [9], [10, -13, 3, -7, -14], [2]]",3968,12416,0.7578125,5,4.2,"[[-7, 3, -5], [9], [2]]","[[3, 5, -14, -13, -11, -10, -8, -7, -6, -4], [5, 6, 7, 8, 10, -14, -13, -12, -11, -4, -3, -1], [1, 4, 7, 13, -14, -10, -8, -6, -5, -3], [1, 12, 13, 14, -6, -3], [1, 7, 13, -9, -8, -4], [1, 8, 10, -12, -9, -7], [10, -12, -9, -6, -1], [1, 3, 7, 8, 11, 14, -13, -12], [3, 4, 12, -13, -11, -5, -2], [4, 5, 12, 13, 14, -10, -7], [-2, -9]]",0.96875,0.06390380859375,0.96875,0.96875,0.96875,0.686932215234102,0.08734130859375,T+,T+,T+,0.9674025567295195,0.9318345890359397,452.59333781613003,889.0664506760902,63,187,63,187
"[[-1, -13, 8, 6, 3], [9, -1, 10, -2, -14, -11, -7, 8, -12]]",15844,540,0.967041015625,2,7,"[[3, 6, 8, -14, -13, -12, -1]]","[[7, 14, -1], [-7, -11], [2, 6], [10], [12], [-8], [-4, 5], [-6, 3, 4], [-12, -3], [-9]]",0.974853515625,0.03759765625,0.03759765625,0.974853515625,0.974853515625,0.9857142857142858,0.0128173828125,T-,T+,T+,0.996582364288654,0.9844379238987823,44.57237087353907,221.1026841833476,247,3,247,3
"[[-1, 12, 3, 5, -9, 11, -6, 14, -4, 13, 10], [12, 2, -11, 3, -6, 7, 1, -5, -4, 10]]",16360,24,0.99853515625,2,10.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,250,0,250,0
"[[-1, -10], [-11, 2, 14, -10, -5, -3], [-9, 13], [-8, 6, 4, 14, -13, -2, -1], [-2, 13, 11, 9], [10, 7, -2, -12, 13, 11, 9], [12, 5, 2, 6, -14, -10], [10, 3], [12, 2, -14, 1, 5, 6, 11, -10, 13, -9, -7]]",5408,10976,0.669921875,9,5.222222222222222,"[[-7, 10, 3, 1], [5, 8, 9, 11, 12, 14, -7], [9, 13, -14, -12, -7, -2], [3, 5, 6, -12, -11], [7, 9, 10, -14, -6, -5, -4], [-7, -1, 14, -2], [10, 11, 4, 7], [13, -9], [-1, -10], [3, -1]]","[[2, 5, 8, 10, 11, 12, 13, -14, -6], [2, 3, 4, 5, 7, 8, 9, 11, 12, 14], [6, 7, 8, 11, -14, -12, -9, -5, -3], [10, -13, -3], [1, -13, -10], [-8, 1, 12], [6, 9, 13, -14, -7, -4], [3, 7, 8, -11, -10, -6, -5], [10, -14, -8, -7, -5, -1], [-6, 5, 4, -3], [1, 2, 3, 5, 11, -14, -13, -12], [4, -12, -11, -8, -7, -6, -5], [2, 6, 12, -11, -7, -3], [3, 4, 7, 14, -10, -8, -6, -5, -2], [1, 2, 13, 9]]",0.893798828125,0.18316650390625,0.893798828125,0.893798828125,0.893798828125,0.6815433342931183,0.21197509765625,T+,T+,T+,0.9637715381638906,0.899875405512389,472.56555195192425,1306.0293443328194,99,151,99,151
