minSup,numCands,numAlphUsed,numSetsUsed,numSets,countSum,dbSize,ctSize,totalSize,seconds
202,0,131,0,0,5271,33345,2084,35429,0
123,23,127,8,8,4749,30443,2203,32646,0
23,13229,128,40,40,3152,21661,3892,25554,1
