minSup;numCands;numAlphUsed;numSetsUsed;numSets;countSum;dbSize;ctSize;totalSize;seconds
122;0;126;0;0;3070;19273;1979;21252;0
114;2;126;0;0;3070;19273;1979;21252;0
104;3;126;1;1;2957;18636;1996;20632;0
94;11;124;4;4;2850;18059;2027;20085;0
84;21;124;5;5;2752;17535;2052;19587;0
74;42;124;7;7;2680;17162;2088;19250;0
64;91;123;9;9;2604;16702;2156;18858;0
54;276;123;13;13;2416;15657;2263;17920;0
44;1165;121;21;21;2240;14680;2436;17116;0
34;12383;122;32;32;1983;13393;2836;16229;0
24;212626;118;46;46;1709;11804;3412;15217;0
