minSup;numCands;numAlphUsed;numSetsUsed;numSets;countSum;dbSize;ctSize;totalSize;seconds
1852402976;0;25;0;0;1239;4853;287;5140;0
1;3605;17;20;20;425;2053;682;2735;0
