minSup;numCands;numAlphUsed;numSetsUsed;numSets;countSum;dbSize;ctSize;totalSize;seconds
1852402976;0;27;0;0;2727;12744;261;13006;0
7;4568;18;80;80;1265;7928;1742;9670;0
