minSup;numCands;numAlphUsed;numSetsUsed;numSets;countSum;dbSize;ctSize;totalSize;seconds
120;0;123;0;0;3046;19037;1918;20956;0
114;2;123;0;0;3046;19037;1918;20956;0
104;3;123;1;1;2934;18408;1935;20343;0
94;11;121;4;4;2828;17837;1965;19802;0
84;21;121;6;6;2743;17414;2005;19420;0
74;50;120;8;8;2655;16955;2030;18986;0
64;92;120;11;11;2615;16683;2172;18855;0
54;309;119;18;18;2359;15278;2345;17623;0
44;1271;119;23;23;2155;14209;2516;16726;0
34;10038;118;35;35;1921;12929;2920;15848;0
24;202433;116;51;51;1644;11453;3496;14949;1
