minSup;numCands;numAlphUsed;numSetsUsed;numSets;countSum;dbSize;ctSize;totalSize;seconds
1852402976;0;14;0;0;18053;65778;112;65890;0
1;2081;9;90;90;2627;14055;3200;17256;0
