minSup;numCands;numAlphUsed;numSetsUsed;numSets;countSum;dbSize;ctSize;totalSize;seconds
125;0;126;0;0;3142;19723;1982;21704;0
124;1;126;0;0;3142;19723;1982;21704;0
114;3;126;1;1;3026;19068;1999;21066;0
104;3;126;1;1;3026;19068;1999;21066;0
94;11;124;4;4;2917;18481;2029;20510;0
84;21;124;6;6;2832;18056;2069;20125;0
74;45;124;7;7;2741;17577;2098;19674;0
64;91;122;11;11;2655;17060;2205;19265;0
54;282;122;16;16;2465;16003;2346;18350;0
44;1333;123;21;21;2294;15040;2524;17564;0
34;14220;122;30;30;2023;13586;2781;16366;1
24;313308;117;47;47;1749;12058;3303;15361;6
