Support;Fold 1;;;;Fold 2;;;;Fold 3;;;;Fold 4;;;;Fold 5;;;;Fold 6;;;;Fold 7;;;;Fold 8;;;;Fold 9;;;;Fold 10;;;;Overall
;6+;6-;30+;30-;6+;6-;30+;30-;6+;6-;30+;30-;6+;6-;30+;30-;6+;6-;30+;30-;6+;6-;30+;30-;6+;6-;30+;30-;6+;6-;30+;30-;6+;6-;30+;30-;6+;6-;30+;30-;6+;6-;30+;30-;AvgAccuracy;StdDev;MaxAccuracy
54;14;4;1;2;12;9;0;0;13;6;1;1;14;4;2;1;12;7;2;0;16;4;1;0;16;3;1;1;15;4;2;0;10;8;3;0;11;2;3;0;0.648780;0.248780;0.078049;0.024390;0.7268;0.0932;0.8750
44;13;2;3;3;11;6;3;1;13;5;2;1;14;5;1;1;12;8;1;0;16;3;2;0;14;3;1;3;12;2;4;3;10;8;3;0;11;1;4;0;0.614634;0.209756;0.117073;0.058537;0.7317;0.0951;0.9375
34;15;2;3;1;11;6;3;1;13;5;2;1;15;3;3;0;12;6;3;0;15;3;2;1;16;3;1;1;12;1;5;3;10;8;3;0;11;2;3;0;0.634146;0.190244;0.136585;0.039024;0.7707;0.0840;0.8750
24;13;1;4;3;11;5;4;1;13;5;2;1;14;3;3;1;12;4;5;0;15;3;2;1;17;3;1;0;14;3;3;1;10;8;3;0;11;1;4;0;0.634146;0.175610;0.151220;0.039024;0.7854;0.0831;0.9375
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.7854;0.0831;0.9375
