Used Theory,Total Unique Positives,Total Unique Negatives,Default Accuracy,# Clauses,Mean # LitralsT+,T-,Similarity of T+,Similarity of T-,Similarity of T_MF,Similarity of T_Comp,Similarity - Common,Overlap Size,MF Theory,Comp Theory,Compression of T+,Compression of T-,# Sampled Positives,# Sampled Negatives,# Unique Sampled Positives,# Unique Sampled Negatives
"[[-2], [14, -10, -2, 7, -12, 6, -13, -1, -5, -11], [-4, 2]]",4,16,0.8,3,4.333333333333333,"[[-2], [-4]]","[[1, 5, 6, 8, -11], [1, 5, 6, -11, -8, -3], [3, 7, 11, 13, -12, -5], [2, 6, -12, -10, -7, -3, -1], [3, 7, 13, -12, -6], [1, 2, 3, 13, 14], [-8, 9, 11, 7], [5, 9, 10, -13, -11, -8], [3, -11, 6, -9], [6, 7, 9, 12, 13, -11], [13, -14, -9, -8, -6, -3], [1, 8, 13, -7, -6, -3], [5, 13, -12, -9, -7, -6], [6, 9, 13, -11, -8, -1], [1, 2, 3, 6, 8, 11, -10, -7], [3, 5, 9, 12, -14, -1], [1, 2, 8, -5, -3], [5, -13, -7, -6, -1], [7, 12, -11, -8, -5, -3], [5, -13, -8, -6, -1], [-7, 10, -12], [3, 7, 10, 13, -5, -1], [2, 4], [11, -13], [1, 12, 13], [8, 10], [9, -12, -1], [-8, -6, -5, 7], [2, -13], [-8, 4, 5], [1, 7, 6, -10, -8, 9], [-13, 6, 7, -10, 9, -8], [8, -3, 13, 7], [11, 12, 14, -10], [9, 2, 10, 6], [-8, 9, -12, 14], [-13, 4, 7], [10, 13, 14], [-13, 12, -9], [2, -5, -11, -9], [8, -7, 4, 6], [-12, -1, 7], [4, -9], [-7, -14, -11], [2, -6]]",1.0,0.75,0.75,1.0,1.0,0.75,T-,T+,0.9982335954580743,0.6734504958702705,209,191,209,191
"[[-2, 10, -11, 4], [11, -2, -1, 5, -8, 13, 14], [-4]]",4,16,0.8,3,4,"[[4, 5, 7, 9, 11, 12, 13, 14, -2, -8, -1], [10, -11, -2], [-4]]","[[-7, 6], [-8, -13, -9], [-11, 5, -1], [-14, -12], [10, -3, -2, -1], [9, -11], [12, -2, 14], [1, 11, 5], [-7, -3, -11], [11, 13], [3, -5], [6, 14], [1, 9, 7], [4], [-6, 10], [13, -10], [-13, -5, -1, -9], [2, -13, -5, -8, 9, 11], [2, -13, -12, 5, -9, -3], [1, 2, -13, -11, -9, 12], [8, -2], [2, -13, -12, 9, 11, -1]]",1.0,0.75,0.75,1.0,1.0,0.75,T-,T+,0.994534341230025,0.7172481807796379,275,125,275,125
"[[-1, -13, 8, 6, 3], [9, -1, 10, -2, -14, -11, -7, 8, -12]]",10,16,0.6153846153846154,2,7,"[[2, 3, 4, 5, 6, 8, 12, 14, -13, -7, -1]]","[[-12], [12]]",0.6875,0.375,0.375,0.6875,1.0,0.0625,T-,T+,0.9963298423975527,0.9945698783339573,399,1,399,1
"[[-1, 12, 3, 5, -9, 11, -6, 14, -4, 13, 10], [12, 2, -11, 3, -6, 7, 1, -5, -4, 10]]",13,3,0.8125,2,10.5,None,None,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,400,0,400,0
"[[6, -4, -14, -11, 8, 5, -3, 2, 1, -9, 10], [-12, 4, 13, 3, 14, -7, -6, 5, -9, 2, 10, -1, 11], [-7, -12, 4, 6, -5, -14, 1, -2, 8, 3], [1, 12, 11, -3, 6, 14, -8, 10, -9], [8, -7, -3, -6], [-7, -1, 14, -5, 9, -10, -8]]",3,16,0.8421052631578947,6,9,"[[8, 11, -7, -6, -3]]","[[-1], [1]]",0.6875,0.8125,0.8125,0.6875,1.0,0.5,T-,T+,0.9977030243855103,0.9924549525795855,398,2,398,2
"[[-11, -5, -7, -14, -3, -10, -12, -8, -9, -13, 1, 4, -6], [2, 9], [-5, 6, -12, -14, 11, -9, 8, 2, 4, 10, 7, -1, 3], [-1, -9, 2, 13, 6, -14, -12, 11, -4]]",7,16,0.6956521739130435,4,9.25,"[[9, 2]]","[[-7], [7]]",0.9375,0.5625,0.5625,0.9375,1.0,0.5,T-,T+,0.9985524372948086,0.9062305955464861,366,34,366,34
"[[-3, -1, 6, -10, -4, 13, 7, -12, -9, 14, 11, -8], [7, 3, 1, 8, -5, -4, 14, 12], [12, -14, -8, 13, 2, 1, -7, 11, -3], [-5, 1, -13, -7, 6, 3, 9, 2, 11, 10, -14, 8, -4]]",10,6,0.625,4,10.5,None,None,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,400,0,400,0
"[[-2, -9, 1, 3, 7, -12, -10, 6, -4, -8, 13], [6, -13, 8, 11, -9, 1, -4, 3, 2, -5, 7], [10, 7, 8, -2, -11, 13, -3], [-5, -12, -6, -11, 2, -7, -14, 10, -3, -8, -13, -4], [11, -3], [12, -9, 2, -11, -4, 13, 14, 3, -6, 5, 8], [4, -3, 9, -12, -2, 11, 13, 1, 6, -10, -14, 8, 7], [-1, 8, 10, -2, 5, -9, -13, 12]]",3,16,0.8421052631578947,8,9.375,"[[11, -3]]","[[-14], [14]]",0.6875,0.8125,0.8125,0.6875,1.0,0.5,T-,T+,0.9985570824522518,0.8719242145558812,353,47,353,47
"[[-9, -4, -1, 12, 7, 14, 8, -6, 10, 11], [-6, -9, -14, 2, 11, 5, -7, -10], [-6, 5, 7, -10, -3, -2, 12, 11, -13, 4, 9, -8, -14], [8, 4, -2, -11, -7, 10]]",2,16,0.8888888888888888,4,9.25,"[[4, 6, 8, 9, 10, -14, -12, -11, -2, -7, -1]]","[[2], [-2]]",0.25,0.875,0.875,0.25,1.0,0.125,T-,T+,0.9963775712222748,0.9946404947361099,399,1,399,1
"[[7, 13, 8, 4, -14, 11, -5, -9, 10], [-11, -14, 2, -1, 3, 6, 13, -10, -5]]",7,16,0.6956521739130435,2,9,None,None,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,400,0,400,0
