Used Theory,Total Unique Positives,Total Unique Negatives,Default Accuracy,# Clauses,Mean # LitralsT+,T-,Similarity of T+,Similarity of T-,Similarity of T_MF,Similarity of T_Comp,Similarity - Common,Overlap Size,MF Theory,Comp Theory,Compression of T+,Compression of T-,# Sampled Positives,# Sampled Negatives,# Unique Sampled Positives,# Unique Sampled Negatives
"[[-1, 2], [-4, -2], [-2, -4, 1]]",8,8,0.5,3,2.3333333333333335,"[[2, -1], [-4, -2]]","[[-3], [3]]",1.0,0.5,0.5,1.0,1.0,0.5,T-,T+,0.9945623670349969,0.9464562711362908,237,163,41,19
"[[1, -3], [4, 3]]",8,8,0.5,2,2,"[[1, -3], [3, 4]]","[[1], [-1]]",1.0,0.5,0.5,1.0,1.0,0.5,T-,T+,0.9945218979694516,0.9465511428450507,252,148,43,19
"[[4, -2, -3], [-4]]",6,10,0.625,2,2,"[[-3, -2], [-4]]","[[-1], [1]]",1.0,0.625,0.625,1.0,1.0,0.625,T-,T+,0.995154986394382,0.9235508338107777,185,215,36,29
"[[-4, -2, 1], [-2, 1, 3]]",13,3,0.8125,2,3,"[[1, 3, -2], [1, -4, -2]]","[[-3], [3]]",1.0,0.1875,0.1875,1.0,1.0,0.1875,T-,T+,0.9935345043905462,0.9808017445876341,340,60,59,5
"[[-4, -1, -2], [2, -3, 4], [2, 4, -1]]",11,5,0.6875,3,3,"[[2, 4, -3], [-4, -1, -2], [2, 4, -1]]","[[2], [-2]]",1.0,0.3125,0.3125,1.0,1.0,0.3125,T-,T+,0.9908230876104194,0.972746967565277,310,90,57,8
"[[-1, 4], [-1], [-4, 3, 2]]",7,9,0.5625,3,2,"[[2, 3, -4], [-1]]","[[2], [-2]]",1.0,0.5625,0.5625,1.0,1.0,0.5625,T-,T+,0.9947079727045848,0.9310810708419002,189,211,36,26
"[[-3, -2, -4], [-1, 2], [3, 1, -4]]",8,8,0.5,3,2.6666666666666665,"[[2, -1], [1, 3, -4], [-4, -3, -2]]","[[-1], [1]]",1.0,0.5,0.5,1.0,1.0,0.5,T-,T+,0.9913617477803378,0.9484939475226857,249,151,46,18
"[[3], [-1], [2, -1, -3]]",4,12,0.75,3,1.6666666666666667,"[[-1], [3]]",[[]],1.0,0.75,1.0,1.0,1.0,0.75,T+,T+,0.9946556117743435,0.9616805230650269,124,276,11,13
"[[-1, 2], [-1, 4, -3]]",11,5,0.6875,2,2.5,"[[2, -1], [4, -3, -1]]","[[4], [-4]]",1.0,0.3125,0.3125,1.0,1.0,0.3125,T-,T+,0.9940705914633884,0.9682133587750752,306,94,49,10
"[[-1, -3, 2], [3]]",6,10,0.625,2,2,"[[2, -1], [3]]","[[-2], [2]]",1.0,0.625,0.625,1.0,1.0,0.625,T-,T+,0.9939919680360148,0.9665896199753627,175,225,14,10
"[[4], [4]]",8,8,0.5,2,1,[[4]],"[[1, 3], [-1], [-3]]",1.0,0.5,0.5,1.0,1.0,0.5,T-,T+,0.9972766557269384,0.9363972552969185,213,187,40,23
"[[-4, 3, -1], [-2, 1, -4], [-2, -1, -4]]",11,5,0.6875,3,3,"[[-4, -2], [3, -4, -1]]","[[1], [-1]]",1.0,0.3125,0.3125,1.0,1.0,0.3125,T-,T+,0.9940376070090514,0.9680365342217435,290,110,51,10
"[[3, -2, 4], [-3], [-3, 1, -4]]",6,10,0.625,3,2.3333333333333335,"[[4, -2], [-3]]","[[1, -2], [3], [2], [-4]]",1.0,0.5625,0.5625,1.0,1.0,0.5625,T-,T+,0.9951742537478672,0.9357120913914109,173,227,32,29
"[[1, -4, 2], [-2, -3], [-2]]",6,10,0.625,3,2,"[[1, -4], [-2]]","[[1], [-1]]",1.0,0.625,0.625,1.0,1.0,0.625,T-,T+,0.9951769168137977,0.9207632642890341,181,219,33,31
"[[4, -2, 1], [-1, 4, 3], [-2, 1, 4]]",12,4,0.75,3,3,"[[3, 4, -1], [1, 4, -2]]","[[2], [-2]]",1.0,0.25,0.25,1.0,1.0,0.25,T-,T+,0.9935916884194503,0.9757820996650566,320,80,50,7
"[[1, -2], [3, 1, 4], [-3, -4, -2]]",10,6,0.625,3,2.6666666666666665,"[[1, -2], [-4, -3, -2], [1, 3, 4]]","[[1, -3], [3], [-1]]",1.0,0.375,0.375,1.0,1.0,0.375,T-,T+,0.9914041280727287,0.9590295116048722,269,131,48,13
"[[-4, 3, -2], [-4]]",8,8,0.5,2,2,[[-4]],"[[1], [-1]]",1.0,0.5,0.5,1.0,1.0,0.5,T-,T+,0.997293189236621,0.9378255397668835,235,165,36,23
"[[2], [3, -4]]",6,10,0.625,2,1.5,"[[3, -4], [2]]","[[4], [-4]]",1.0,0.625,0.625,1.0,1.0,0.625,T-,T+,0.995187273506265,0.9273341124940186,164,236,32,27
"[[3], [-3, 2, 4]]",6,10,0.625,2,2,"[[2, 4], [3]]","[[-1], [1]]",1.0,0.625,0.625,1.0,1.0,0.625,T-,T+,0.995168806096388,0.925657827036557,177,223,34,28
"[[3], [-1, 2, 3]]",8,8,0.5,2,2,[[3]],"[[-1], [1]]",1.0,0.5,0.5,1.0,1.0,0.5,T-,T+,0.996579661667355,0.9715992399567579,206,194,18,8
"[[3, 2], [4, -1], [-2]]",3,13,0.8125,3,1.6666666666666667,"[[4, -1], [-2], [3]]","[[2, 4], [-3], [-4]]",1.0,0.6875,1.0,1.0,1.0,0.6875,T+,T+,0.9936370434244002,0.9204491810507102,108,292,21,42
"[[1, 4, 3], [-4], [-4, -2]]",6,10,0.625,3,2,"[[1, 3], [-4]]","[[2], [-2]]",1.0,0.625,0.625,1.0,1.0,0.625,T-,T+,0.9951645380253938,0.9274836952451299,166,234,34,27
"[[1, -2], [2, 4, -1]]",10,6,0.625,2,2.5,"[[1, -2], [2, 4, -1]]","[[-1], [1]]",1.0,0.375,0.375,1.0,1.0,0.375,T-,T+,0.9940355281813479,0.9634346575585625,275,125,51,12
"[[4, 3, 1], [-2]]",7,9,0.5625,2,2,"[[1, 3, 4], [-2]]","[[4, -3], [2], [-4], [-1]]",1.0,0.5,0.5,1.0,1.0,0.5,T-,T+,0.9947239075017977,0.9478355678212532,191,209,33,24
"[[4], [2, 1, -4]]",6,10,0.625,2,2,"[[1, 2], [4]]","[[2], [-2]]",1.0,0.625,0.625,1.0,1.0,0.625,T-,T+,0.9951856913992178,0.9240353261587048,179,221,31,29
"[[-3, -2, -4], [1], [-3, -2, -1]]",6,10,0.625,3,2.3333333333333335,"[[-3, -2], [1]]","[[-1], [2], [3], [4]]",1.0,0.5625,0.5625,1.0,1.0,0.5625,T-,T+,0.995160465238941,0.9366592241217183,180,220,36,30
"[[-3, 4], [1]]",6,10,0.625,2,1.5,"[[4, -3], [1]]","[[-2], [2]]",1.0,0.625,0.625,1.0,1.0,0.625,T-,T+,0.9951889432667735,0.9240866371731697,188,212,35,29
"[[3], [-3, -1]]",4,12,0.75,2,1.5,"[[-1], [3]]","[[-2], [2]]",1.0,0.75,1.0,1.0,1.0,0.75,T+,T+,0.9946645503328683,0.9557482623283033,129,271,11,15
"[[-4, -3], [-1, 3, -2], [-4, 2, -3]]",10,6,0.625,3,2.6666666666666665,"[[-4, -3], [3, -1, -2]]","[[4], [-4]]",1.0,0.375,0.375,1.0,1.0,0.375,T-,T+,0.9940726459255754,0.9612670893270092,278,122,49,13
"[[1, -3, 4], [-3, 2]]",11,5,0.6875,2,2.5,"[[2, -3], [1, 4, -3]]","[[1], [-1]]",1.0,0.3125,0.3125,1.0,1.0,0.3125,T-,T+,0.994100094354787,0.9683715192084802,278,122,50,10
