Used Theory,Total Unique Positives,Total Unique Negatives,Default Accuracy,# Clauses,Mean # LitralsT+,T-,Similarity of T+,Similarity of T-,Similarity of T_MF,Similarity of T_Comp,Similarity - Common,Overlap Size,MF Theory,Comp Theory,Compression of T+,Compression of T-,# Sampled Positives,# Sampled Negatives,# Unique Sampled Positives,# Unique Sampled Negatives
"[[-2], [14, -10, -2, 7, -12, 6, -13, -1, -5, -11], [-4, 2]]",4,16,0.8,3,4.333333333333333,"[[-4], [-2]]","[[2, 10, 13, -11, -9, -8, -6], [5, 9, 10, 11, 14, -13], [3, 5, 9, 11, 12, -13, -10, -8, -7, -1], [8, -14, -11, -9, -7, -6, -5, -3], [3, 4, 8, 11, 13, -12, -1], [2, 4, -10], [4, -3, -9], [10, 3, 4], [-8, 1, 9], [8, -6, 11, 5], [2, 14, -12, -8, -3], [8, 2, -14, 12], [4, 6, 11, -12, -1], [2, 14, -13, -11, -6], [1, -14, -6, 4], [9, 3, -11, 6], [7, 8, 12, 13, 14], [5, 14, -13, -9, -8, -6, -1], [1, 2, 3, 11, -10, -7], [11, 13, -12, -7, -5, -3], [9, 10, 11, 13, -8, -1], [2, 5, 6, 14, -11, -7], [4, 8, 12, 13, -11, -10], [-13, -12, -10, -6, -3], [10, -13, -7, -6, -1], [1, 2, 6, 7, -10], [1, -12, 4, -11], [5, 6, 7, -1, 9, -3, 14]]",1.0,0.75,1.0,1.0,1.0,0.75,T+,T+,0.9985547961789732,0.8224095990977114,146,254,146,254
"[[-2, 10, -11, 4], [11, -2, -1, 5, -8, 13, 14], [-4]]",4,16,0.8,3,4,"[[10, -11, -2], [4, 5, 9, 13, -1, -8, -7, -6, -2], [-4]]","[[2, 10, 11, -14, -13, -5, -3], [5, 8, 14, -12, -11, -10, -1], [5, 6, 12, 13, -14, -11, -7, -3, -2], [10, 11, 14], [-7, 6, -1], [3, 12, -10], [9, -7, -10, -2], [1, 9, 7], [6, 7, -11, -9, -1], [8, 11, -5], [2, 5, 8, 10, -11, -9], [3, -13, -12, -9, -8, -5], [3, 10, -14, -2], [-6, -12, -3, 14], [1, 2, 3, 11, -7], [1, 6, 7, 8, -10], [11, 13, 6, -9], [8, 10, -6, -12], [5, 10, -14, -8, -7, -3], [2, 14, 6, -1], [4]]",1.0,0.75,0.75,1.0,1.0,0.75,T-,T+,0.9958722061842549,0.7871163209276455,228,172,228,172
"[[-1, -13, 8, 6, 3], [9, -1, 10, -2, -14, -11, -7, 8, -12]]",10,16,0.6153846153846154,2,7,"[[2, 3, 6, 8, 14, -13, -7, -1]]","[[-8], [8]]",0.75,0.375,0.375,0.75,1.0,0.125,T-,T+,0.9975104013460839,0.9925912367385108,398,2,398,2
"[[-1, 12, 3, 5, -9, 11, -6, 14, -4, 13, 10], [12, 2, -11, 3, -6, 7, 1, -5, -4, 10]]",13,3,0.8125,2,10.5,None,None,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,400,0,400,0
"[[6, -4, -14, -11, 8, 5, -3, 2, 1, -9, 10], [-12, 4, 13, 3, 14, -7, -6, 5, -9, 2, 10, -1, 11], [-7, -12, 4, 6, -5, -14, 1, -2, 8, 3], [1, 12, 11, -3, 6, 14, -8, 10, -9], [8, -7, -3, -6], [-7, -1, 14, -5, 9, -10, -8]]",3,16,0.8421052631578947,6,9,"[[9, 14, -12, -11, -2, -10, -8, -7, -6, -5, -4, -3, -1], [8, -7, -6, -3]]","[[13], [-13]]",0.6875,0.8125,0.8125,0.6875,1.0,0.5,T-,T+,0.9955548042604843,0.9632770109782254,387,13,387,13
"[[-11, -5, -7, -14, -3, -10, -12, -8, -9, -13, 1, 4, -6], [2, 9], [-5, 6, -12, -14, 11, -9, 8, 2, 4, 10, 7, -1, 3], [-1, -9, 2, 13, 6, -14, -12, 11, -4]]",7,16,0.6956521739130435,4,9.25,"[[9, 2]]","[[8, 1, -14], [-5, 6, 7], [-8, -14, -13], [8, 12, 14, -13, -10], [11, 14, -1], [-3, 12, 5], [-14, -5, 13], [-8, 10, 3, 4], [-6, 2, 13], [10, -14, -4, -1], [-7, 4, -10], [-10, 7, 8, 11, 12, -4], [-6, 4, -1], [3, -12, -11], [-13, 4, 6, 8, 9, -3, -1], [-8, 7], [-9], [-2]]",0.9375,0.5625,0.5625,0.9375,1.0,0.5,T-,T+,0.9988097886372371,0.8711799220543307,344,56,344,56
"[[-3, -1, 6, -10, -4, 13, 7, -12, -9, 14, 11, -8], [7, 3, 1, 8, -5, -4, 14, 12], [12, -14, -8, 13, 2, 1, -7, 11, -3], [-5, 1, -13, -7, 6, 3, 9, 2, 11, 10, -14, 8, -4]]",10,6,0.625,4,10.5,None,None,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,400,0,400,0
"[[-2, -9, 1, 3, 7, -12, -10, 6, -4, -8, 13], [6, -13, 8, 11, -9, 1, -4, 3, 2, -5, 7], [10, 7, 8, -2, -11, 13, -3], [-5, -12, -6, -11, 2, -7, -14, 10, -3, -8, -13, -4], [11, -3], [12, -9, 2, -11, -4, 13, 14, 3, -6, 5, 8], [4, -3, 9, -12, -2, 11, 13, 1, 6, -10, -14, 8, 7], [-1, 8, 10, -2, 5, -9, -13, 12]]",3,16,0.8421052631578947,8,9.375,"[[11, -3]]","[[9, -5, 12, 1], [-7, 12, 14], [-8, 9, -2], [11, 2, -6, 7], [4, -10, -1], [8, 10, -5, 4], [-8, -7, -14], [-8, -5, -1, 14], [14, -12, -9, -7, -4], [8, -5, -2, 7], [8, 13, -3, 14], [1, 2, 7, -8, 12], [8, -4, 6], [13, 5, -2], [-6, -1], [2, -14, -9, -8, 10, -3, -1], [1, -13, 5], [-11], [3]]",0.6875,0.8125,0.8125,0.6875,1.0,0.5,T-,T+,0.998822138521742,0.8795198312189267,339,61,339,61
"[[-9, -4, -1, 12, 7, 14, 8, -6, 10, 11], [-6, -9, -14, 2, 11, 5, -7, -10], [-6, 5, 7, -10, -3, -2, 12, 11, -13, 4, 9, -8, -14], [8, 4, -2, -11, -7, 10]]",2,16,0.8888888888888888,4,9.25,"[[4, 8, 10, -12, -11, -1, -7, -3, -2]]","[[7], [-7]]",0.1875,0.875,0.875,0.1875,1.0,0.0625,T-,T+,0.9973217005244528,0.992579544083131,398,2,398,2
"[[7, 13, 8, 4, -14, 11, -5, -9, 10], [-11, -14, 2, -1, 3, 6, 13, -10, -5]]",7,16,0.6956521739130435,2,9,None,None,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,400,0,400,0
