Used Theory,Total Unique Positives,Total Unique Negatives,Default Accuracy,# Clauses,Mean # LitralsT+,T-,Similarity of T+,Similarity of T-,Similarity of T_MF,Similarity of T_Comp,Similarity - Common,Overlap Size,MF Theory,Comp Theory,Compression of T+,Compression of T-,# Sampled Positives,# Sampled Negatives,# Unique Sampled Positives,# Unique Sampled Negatives
"[[-11, 9, 4, -6, 3, -13, 7, 2, 14, -5, -12, -10, 1], [-9, 7, -11, 12, -5, 6, 8, 14, 2, -13, -3, -4, 10], [-12, -1, -13, 7, 4, 2], [3, -9, 11, 8, 5, -7, -2, -1, -10, -4, 13], [-5, -2, 10, -8, -14, 4, 7, -9], [2, -9, -8, -7, -6, 11, 1, 12], [5, -7, 2, -6, -14]]",3,13,0.8125,7,9.142857142857142,"[[2, 4, 7, 8, -14, -13, -12, -11, -10, -6, -1], [2, -14, -13, -9, -6, -3]]","[[12], [-12]]",0.5,0.8125,0.8125,0.5,1.0,0.3125,T-,T+,0.9922237097123879,0.9862961776165393,396,4,396,4
"[[-2, 3, 13, -8, 1], [-7, -14, 8, 1, 3], [-13, 3, -14, -9, -5]]",8,16,0.6666666666666666,3,5,"[[-14, -13, -12, -11, -9, -7, -5, -4], [1, 3, -8, 13, -2]]","[[-11], [11]]",0.5625,0.5,0.5,0.5625,0.5555555555555556,0.5625,T-,T+,0.995765045646482,0.986209119769501,396,4,396,4
"[[-13, -9, -3, -10], [-14, 13, 12, 1, 8, -4, 11, -9, -2, -7, 5, 10, 6], [-11, -7, -5, 2, -3, -4], [-8, -12, 11, -3]]",7,9,0.5625,4,6.75,"[[10, 11, -12, -9, -8, -3], [-13, -3, -10, -9]]","[[-5], [5]]",0.9375,0.5625,0.5625,0.9375,1.0,0.5,T-,T+,0.996423073324796,0.9759814348677309,392,8,392,8
"[[-14, -12, 8, -7, 10, -6, 13, 5, -3, 2, 1], [2, -1, -10, 6, -13, -11, -3, 8, -7], [-11, -13, 12, 3, 1, -8], [-4, -1, -12, -8, -10, -3, 11, 9], [-4, -14, 5, 13, -9], [11, -3, 6, -4, -13, -5, -10, 9, 12, 7], [5, -9, -4, 6, -7, 11, -1]]",4,16,0.8,7,8,"[[5, 13, -14, -9, -4]]","[[-13], [13]]",0.75,0.75,0.75,0.75,1.0,0.5,T-,T+,0.9979475958500478,0.983161379769437,395,5,395,5
"[[-2, -5, -8, 6, 7, -9, -1, 3, 4, -11, 14, 10], [11, 8, 12, -14, 3, 1, 4, 2, -7], [-3, -10, -4, 9, -13, -11, 7, -5, -12], [11, -1, -4, 8, 12, -9, -10, -7, -13, 2, 5, 14]]",9,16,0.64,4,10.5,None,None,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,400,0,400,0
"[[-14, 3, 7, -4], [12, -11, 3, -2, 9, -6], [12, -7, -11, -13, 14, 1, 3, -4, 9]]",10,6,0.625,3,6.333333333333333,"[[1, 2, 3, 5, 7, 9, 11, 13, -14, -12, -4], [1, 3, 9, 12, -6, -5, -4, -2]]","[[-8], [8]]",0.75,0.375,0.375,0.75,1.0,0.125,T-,T+,0.994515481392692,0.9893494700694763,397,3,397,3
"[[14, -9, -4, 8], [9, -3, 12, -6, 10, -14, 7, 2, 13], [8, 1, 11, 5, 9, 7, 14, -12, 10, 6, -2], [12, -1, -4]]",4,16,0.8,4,6.75,"[[12, -4, -1], [8, -4, 14, -9]]","[[-6], [6]]",0.75,0.75,0.75,0.75,1.0,0.5,T-,T+,0.9971206022511637,0.9331880869360157,376,24,376,24
"[[1, -7, 5, 6, -10, 4, 11, 9, 2, 14, -8], [-2, 1, 9], [11, -12, -2, -7, 1, 5, 3]]",10,6,0.625,3,7,"[[1, 9, -2]]","[[13], [-13]]",0.875,0.375,0.375,0.875,1.0,0.25,T-,T+,0.9984526895310718,0.9540301114112142,383,17,383,17
"[[-1, -9, -8, 6, -14, -4, 5], [2], [-7, -14, 11, -12, 4, -5, -8, -10, -9, -1, -13]]",4,16,0.8,3,6.333333333333333,[[2]],"[[1, 3, 9, 12, 13, 14, -11, -5, -4], [-6, -5, 4], [10, 12], [-12, 4, 14], [8, 9, 14], [13, 6], [4, 7, 9, 11, -1], [9, -14, -12, 13], [8, -7, -4], [1, -5, 14, -13], [8, 10, 11, -6, -5], [-14, -4, -11, -9], [-6, 11, -1, -5], [9, -6, 11, 13], [-8, 11, 4, 5], [10, -13, -11, -1], [-6, 11, 12, -13], [8, -13, 12, -5], [11, 5, 6, -1], [-14, 12, -10, 7], [5, -11, -8, -7, -6, -4], [12, -3, 14], [-14, -13, 6, -8, 9, -3, -1], [1, -13, 5, 9, 10, -4], [-7, -12, -9], [-2]]",0.75,0.75,0.75,0.75,1.0,0.5,T-,T+,0.9989813799259929,0.7942294887796115,253,147,253,147
"[[7, -13, -6, -5, 12, 9, 10, 1, 14, -8], [-14, 1, -3], [11, 2, 9, 8], [12, 4, -6, -7, -2, 5, 11, -9, 3, 1, 14]]",4,16,0.8,4,7,"[[1, -14, -3], [2, 4, 8, 9, 11, 14]]","[[-14, 4], [6, -2], [-6, -3], [-8, 14], [-4], [-1], [2], [-5], [-9], [-11]]",0.6875,0.75,0.75,0.6875,1.0,0.4375,T-,T+,0.9966307905962272,0.9312897645611518,377,23,377,23
"[[-10, -3, 5, 6, -8, -9, 4, 14, 2], [-2, 12, -13, -9], [-8, -5, 6, -10, -2, 4, -1, -12, 9, 3, -13, 14]]",6,16,0.7272727272727273,3,8.333333333333334,"[[-13, 12, -2, -9]]","[[-10], [10]]",0.875,0.625,0.625,0.875,1.0,0.5,T-,T+,0.9981775692138997,0.9806572899564866,394,6,394,6
"[[3, -8, -2, 7, 9, 1, 5, 10, 12, -11, 13, -6], [14, -7, -6, -1, 9, 4, 2, 5, -8, -11, -3], [5, -4, -7, -1, 11, 2, -3, 14, 8, 12, -9], [1, -4, -10, -14, 6, -12, -9, -11, -5, -3, 8, -7, -2], [10, 3]]",5,16,0.7619047619047619,5,9.8,"[[10, 3]]","[[-12], [12]]",0.8125,0.6875,0.6875,0.8125,1.0,0.5,T-,T+,0.9987112650603615,0.8830992942231969,357,43,357,43
"[[-3, -1, -12, -9, 14, -10, -7], [1], [-13, 11, 6, 5, -8, -14, 9, 10, -3, -12], [6, 5, 9, 1, -12, 2, 7, -14, -11, 13, 4], [2, -11, -10], [4, -9, 11, 12, 1, 14, 8, 6, -7, 5]]",2,16,0.8888888888888888,6,7,"[[2, -11, -10], [1]]","[[5, -11, -10, -6, -3], [7, 8, 9, 14, -4], [6, 7, 9, 14, -4, -3], [-4, -2], [11, 12, -10], [-11, 13, 6, -9], [9, -3, -7], [5, 13, -14, -10, -6], [10, -13, -11, -9], [-12, 13, 6, -10], [-14, -2, 7], [-13, -12, 5, -9, -6, -4, -3], [12, -4, -10, 7], [10, -4, -11], [1, 6, 10, 11, -13, -12, -9, -2], [-6, 12, 14], [3, 8, 9, 10, 11, 13, -12, -7], [-13, -12, 6, 8, 9, -7], [2, 3, 7], [-8, -14, 11], [-13, 5, 6, 8, -7, 12, -2], [9, 3, 5, -2], [-3, 5, -8, 9, 13], [-12, -11, 5, -9, -7, -6], [5, -2, -6, -3, 14], [-1], [-5, 4]]",0.875,0.875,0.875,0.875,1.0,0.75,T-,T+,0.997913529587738,0.7994584019953898,262,138,262,138
"[[-7, -4, 5, -14, -9, -6], [-5, 6, 4, 9, 12, 1, 8], [-7, -11, 1, 3, -10, -5, 9]]",4,16,0.8,3,6.666666666666667,"[[1, 2, 3, 9, 12, 14, -11, -10, -8, -7, -5, -4], [5, -14, -9, -7, -6, -4]]","[[1], [-1]]",0.75,0.75,0.75,0.75,1.0,0.5,T-,T+,0.9947791222000808,0.9835874149011804,395,5,395,5
"[[13, 2, -9, -3, 14], [11, 10, 13, 4, 9, 12, 5, 8, 2], [-14, 1, 7], [12, -10, -14, -6, 4, 1, 9, -8, 7, 2, -3], [-10, 12, 11, -2, -3, 9, -13, 14, 7, 6], [-6, 9, -11, -2, -3, 10, 4], [10, -14, 4, -8, -9, -2, -11, -13], [13, 11, -12, -2, -6, -7, -9], [14, -12, 11, 4, -13, -2, -7, 8, 9, 6, 5, 1]]",1,16,0.9411764705882353,9,8,"[[1, -14, 7], [2, 13, 14, -9, -3]]","[[13, 7], [11, -1], [-14, -11, -10], [2, 3], [6, -10], [-9], [-7], [10], [9, -2], [-12]]",0.6875,0.9375,0.9375,0.6875,1.0,0.625,T-,T+,0.996917598334787,0.9277179648902195,374,26,374,26
"[[-10, 3, 8], [1, -9, 8, 12, -7, 5, -11, -3, 13, 6, -14, 4, -10], [-10, -13, -6, -4], [-14, 10, 2, -5, -7, -4, -12], [-2, 5, 7, 6, 11, 12, 10, 9]]",1,16,0.9411764705882353,5,7,"[[8, 3, -10], [-13, -10, -6, -4, -3]]","[[-1], [1]]",0.8125,0.9375,0.9375,0.8125,1.0,0.75,T-,T+,0.9969078589504481,0.9332957378887627,375,25,375,25
"[[-10, -1, -14, 11, 12, -7, -5, -4, -3], [-5, -6, 4, 10, 13, -3, -2, -7, 12, 8, 14, 9, 1], [-5, 4, 11, 9, -6, -12, -2], [14, 10, -7, -9, -6, -5, -3, -13, -2, -1]]",10,16,0.6153846153846154,4,9.75,None,None,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,400,0,400,0
"[[-1, 3, -4, 5, -2, 12, 14], [6, -10, 1, 11, 12, -2, -8]]",11,16,0.5925925925925926,2,7,"[[5, -2, 12, 14, 15], [-15, 3, -11, -6, -4, 13, -1], [1, 4, 6, 11, -15, -13, -10, -9, -8, -7, -3]]","[[1, 4], [11, -1], [-4], [-11]]",0.6875,0.3125,0.3125,0.6875,0.5,0.625,T-,T+,0.9928655478131235,0.9905377934723725,398,2,398,2
"[[-8, -7, -12, -4, 10, -1, -5], [-1], [2, 1, 5], [-2, 7, -13, 6, 4, -10, 3], [2, -12, -5, 8, -10, -14, -3, 7, 11, 13], [5, -3, -4, -13, -6], [11, 4, 9, 8, 6, -3, 7, 13, -14], [6, 2, 13, -3, 4]]",1,16,0.9411764705882353,8,5.875,"[[2, 5], [-1]]","[[5, -14, -12, -9, -8, -6, -4], [4, 9, 13, 14, -8, -5, -3], [3, 5, 9, -10, -6, -4, -2], [3, 6, 8, 12, 13, -11], [2, 4, 8, 11, 13, -12, -9, -5], [2, 3, 13, -14, -12, -10, -4], [3, 12, -11, -9, -8, -5, -2], [-14, 6, 7], [-8, -13, -12], [-6, -5], [3, 11, 12, -13, -9], [-3, -4, 13, 14], [9, 10, 12, -3], [-7, 2, -5, 14], [-8, 9, -11, 7], [-13, -4, -3, -10], [2, 3, 4, 9, -8], [5, 7, 10, 13, -3], [-3, -14, 12, 13], [-8, 10, -6, -13], [-7, 4, -2], [-8, 11, -10, -9], [-3, 5, -10, -8, 11, 13, -2], [9, -14, -5], [2, 4, -12, -11, -10, -7], [9, -13, -2], [11, -4, 14], [4, 5, 6, -7, 12, 13], [1]]",0.8125,0.9375,0.9375,0.8125,1.0,0.75,T-,T+,0.9981723053963839,0.7589321637736283,217,183,217,183
"[[3, -4, 10, -1], [-6, -14, 2, -5, -7, 12, -8, -11, 13, 3]]",11,5,0.6875,2,7,"[[10, 3, -4, -1]]","[[12], [-12]]",0.8125,0.3125,0.3125,0.8125,1.0,0.125,T-,T+,0.9982114454182185,0.9811430101916095,394,6,394,6
