Used Theory,Total Unique Positives,Total Unique Negatives,Default Accuracy,# Clauses,Mean # LitralsT+,T-,Similarity of T+,Similarity of T-,Similarity of T_MF,Similarity of T_Comp,Similarity - Common,Overlap Size,MF Theory,Comp Theory,Compression of T+,Compression of T-,# Sampled Positives,# Sampled Negatives,# Unique Sampled Positives,# Unique Sampled Negatives
"[[-2], [14, -10, -2, 7, -12, 6, -13, -1, -5, -11], [-4, 2]]",4,16,0.8,3,4.333333333333333,"[[-4], [-2]]","[[3, 8, 11, 12, -9, -7, -6], [10, -5, -1], [3, 5, 10, -12, -11, -7], [-8, -7, -13, -5], [-8, 9, 10, -1], [3, 8, 10, 14, -7], [1, 5, 10, 14, -7, -6], [14, 7], [-6, 4], [8, 12, -11], [9, -10], [12, 5], [8, 9], [1, 3, 14], [10, 13], [-14, -11, -9], [5, 13], [-14, 3, -13, 5, -9, -8], [-6, -5, -12], [5, 7], [11, -10], [-8, 1, 11], [-6, -11, 7, 9, 10, -3], [-13, 5, -10, -9], [10, 6], [-1, -10], [11, -10], [2]]",1.0,0.75,0.75,1.0,1.0,0.75,T-,T+,0.9979872219939948,0.5866808230386398,220,180,220,180
"[[-2, 10, -11, 4], [11, -2, -1, 5, -8, 13, 14], [-4]]",4,16,0.8,3,4,"[[10, -11, -2], [-4]]","[[4], [13], [3], [-11], [-9], [-12], [-1], [10], [-5], [7], [6], [14]]",1.0,0.75,0.75,1.0,1.0,0.75,T-,T+,0.997315272715605,0.7298169215588488,291,109,291,109
"[[-1, -13, 8, 6, 3], [9, -1, 10, -2, -14, -11, -7, 8, -12]]",10,16,0.6153846153846154,2,7,"[[3, 6, 7, 8, 9, 12, -14, -13, -5, -4, -1]]","[[-7], [7]]",0.75,0.375,0.375,0.75,1.0,0.125,T-,T+,0.9957758127325302,0.9937501728026027,399,1,399,1
"[[-1, 12, 3, 5, -9, 11, -6, 14, -4, 13, 10], [12, 2, -11, 3, -6, 7, 1, -5, -4, 10]]",13,3,0.8125,2,10.5,None,None,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,400,0,400,0
"[[6, -4, -14, -11, 8, 5, -3, 2, 1, -9, 10], [-12, 4, 13, 3, 14, -7, -6, 5, -9, 2, 10, -1, 11], [-7, -12, 4, 6, -5, -14, 1, -2, 8, 3], [1, 12, 11, -3, 6, 14, -8, 10, -9], [8, -7, -3, -6], [-7, -1, 14, -5, 9, -10, -8]]",3,16,0.8421052631578947,6,9,"[[8, -9, -7, -6, -3]]","[[4], [-4]]",0.6875,0.8125,0.8125,0.6875,1.0,0.5,T-,T+,0.9973717581674799,0.9916256505215477,398,2,398,2
"[[-11, -5, -7, -14, -3, -10, -12, -8, -9, -13, 1, 4, -6], [2, 9], [-5, 6, -12, -14, 11, -9, 8, 2, 4, 10, 7, -1, 3], [-1, -9, 2, 13, 6, -14, -12, 11, -4]]",7,16,0.6956521739130435,4,9.25,"[[9, 2]]","[[-7], [7]]",0.9375,0.5625,0.5625,0.9375,1.0,0.5,T-,T+,0.998337800683331,0.9185437241357621,371,29,371,29
"[[-3, -1, 6, -10, -4, 13, 7, -12, -9, 14, 11, -8], [7, 3, 1, 8, -5, -4, 14, 12], [12, -14, -8, 13, 2, 1, -7, 11, -3], [-5, 1, -13, -7, 6, 3, 9, 2, 11, 10, -14, 8, -4]]",10,6,0.625,4,10.5,None,None,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,400,0,400,0
"[[-2, -9, 1, 3, 7, -12, -10, 6, -4, -8, 13], [6, -13, 8, 11, -9, 1, -4, 3, 2, -5, 7], [10, 7, 8, -2, -11, 13, -3], [-5, -12, -6, -11, 2, -7, -14, 10, -3, -8, -13, -4], [11, -3], [12, -9, 2, -11, -4, 13, 14, 3, -6, 5, 8], [4, -3, 9, -12, -2, 11, 13, 1, 6, -10, -14, 8, 7], [-1, 8, 10, -2, 5, -9, -13, 12]]",3,16,0.8421052631578947,8,9.375,"[[11, -3]]","[[13], [-13]]",0.6875,0.8125,0.8125,0.6875,1.0,0.5,T-,T+,0.9983312531877004,0.9531734646429049,384,16,384,16
"[[-9, -4, -1, 12, 7, 14, 8, -6, 10, 11], [-6, -9, -14, 2, 11, 5, -7, -10], [-6, 5, 7, -10, -3, -2, 12, 11, -13, 4, 9, -8, -14], [8, 4, -2, -11, -7, 10]]",2,16,0.8888888888888888,4,9.25,None,None,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,400,0,400,0
"[[7, 13, 8, 4, -14, 11, -5, -9, 10], [-11, -14, 2, -1, 3, 6, 13, -10, -5]]",7,16,0.6956521739130435,2,9,None,None,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,400,0,399,0
