Used Theory,Total Unique Positives,Total Unique Negatives,Default Accuracy,# Clauses,Mean # LitralsT+,T-,Similarity of T+,Similarity of T-,Similarity of T_MF,Similarity of T_Comp,Similarity - Common,Overlap Size,MF Theory,Comp Theory,Compression of T+,Compression of T-,# Sampled Positives,# Sampled Negatives,# Unique Sampled Positives,# Unique Sampled Negatives
"[[7, -1, -5, 9, -8, -14, -12, -4, 3, -10, -2, -6, 13], [6, -7], [9, -8, -13, 14], [-14, 7, -12, 11, -1, 8, -6, -2, -9, 3, 10, 4], [-9, -6], [-10, 9, -14, 5, 8, -2, 7, 3, 11, 13, -12, -1, -4], [-9, 5, -14, -4, 11, -7, 13, 10, -12, 3, -1, 2], [14, -12, -4]]",6588,9796,0.597900390625,8,7.625,"[[-4, -12, 5, 14], [13, 14, -9, -8, -5], [9, 12, 14, -13, -1, -8, -2], [1, 10, -13, -12, -9, -4], [1, 4, -13, -8, -6, -5], [2, 13, 14, 7], [-7, 6], [-6, -9]]","[[9, -14, 3, -1], [-8, 6, 7], [9, 2, -12, 13], [1, 6, 8, 10, 12, -4, -2], [7, 9, 12, 13, -11, -6, -3], [1, 8, -13, -12, -3], [3, 5, 13, 14, -10, -6], [7, 12, -14, -10, -3, -1], [3, 4, 9, -12, -2], [9, 14, -8, -7, -5, -1], [6, 7, 8, 13, -9]]",0.906982421875,0.291748046875,0.906982421875,0.906982421875,0.8184663536776213,0.31201171875,T+,T+,0.9380538316186153,0.8488757731264729,66,84,66,84
"[[-2], [14, -10, -2, 7, -12, 6, -13, -1, -5, -11], [-4, 2]]",4096,12288,0.75,3,4.333333333333333,"[[-4], [-2]]","[[4, 5, 10, 11, 14, -13, -12, -6, -3, -1], [1, 2, 6, -14, -12, -5], [2, 7, 10, -3, -1], [1, 4, -12, -11, -9, -7, -6, -3], [4, 6, 11, 12, 13, -1], [3, 9, 12, 14, -13, -10, -8, -7, -5], [1, 2, 7, 11, -13, -10, -3], [1, 2, 5, 8, 10, 11, -12], [4, 5, 10, -14, -11, -9, -7], [1, 2, 5, 14, -11, -6], [2, 4]]",1.0,0.05419921875,1.0,1.0,1.0,0.05419921875,T+,T+,0.9964319329056359,0.9155322082145866,49,101,49,101
"[[9], [-2, 12, -7, -4, 5, 6, -8, 13, -10, -14], [-8], [14, 9, -5, -11, 6, -7, 12, -2, -8, -1]]",4096,12288,0.75,4,5.5,"[[-8], [9]]","[[3, 5, 7, 10, 12, 13, -14, -2, -6, -1], [5, 11, -14, -9, -2], [1, 2, 6, -14, -11, -3], [-9, 4, -1, 7], [8, -7, 5, -1], [1, 3, 8, 10, 12, -11, -7], [2, 10, 11, -14, -4, -3], [8, -9]]",1.0,0.10357666015625,1.0,1.0,1.0,0.10357666015625,T+,T+,0.996421044696959,0.9328909217326246,47,103,47,103
"[[-5, 7, -12, -13, 2, 1, -4, 6, -3, 10, 14, 9], [-8, -9, 14], [8], [1, -13, 7, 4, -9, 2, -3, -14]]",6110,10274,0.6270751953125,4,6,"[[14, -9], [8]]","[[2, 3, 5, 6, 7, 10, 13, -12, -11, -9, -1], [-8, 9, -6, -1], [-8, 1, -5, 6], [-8, -7, -4], [2, 3, 5, 6, -13, -10, -4], [1, 9, -14, -11, -6, -5, -3], [11, -12, -10, -8, -2], [4, 5, 12, -13, -9, -7], [2, 13, -14, -8, -3], [9, 11, 14, -13, -6, -5, -4, -3], [-8, 4, 7]]",0.9979248046875,0.20355224609375,0.9979248046875,0.9979248046875,1.0,0.20147705078125,T+,T+,0.9599250064292608,0.9145372862040608,66,84,66,84
"[[-2, 10, -11, 4], [11, -2, -1, 5, -8, 13, 14], [-4]]",7104,9280,0.56640625,3,4,"[[10, 4, -11, -2], [3, 4, 6, 11, 13, 14, -12, -10, -1], [-4]]","[[2, -12, 13, 6], [3, 5, 13, -11, -10, -9, -8, -6, -1], [2, -14, -5, -9], [4, -10], [4, -12], [4, 12, -1], [1, 3, -13, 5, 14]]",0.99462890625,0.1669921875,0.99462890625,0.99462890625,0.9896449704142012,0.1650390625,T+,T+,0.9811508082250484,0.9157969820183992,75,75,75,75
"[[-10, 1, -12, 14, -8, 11], [-5, -6, 13], [1, 14, 5, 3, 11, -12, 6, 4, 9, 2], [9, -8], [-6, -2, 8, -13, 12, 7, 1, 3, -9, 11, -5, -14, -4], [-7, 2, -6, 4], [-2, 14, 12, 1, -9, -8]]",9836,6548,0.600341796875,7,6.285714285714286,"[[13, -14, -7, -6, -4], [4, 10, 13, -9, -8, -7, -6], [7, 13, -10, -8, -6], [4, 7, 9, 10, 13], [2, 8, 14, -10, -9, -6, -5], [9, 10, -12, -2, -7, -4, -1], [-8, 9]]","[[11, 12, 13, -14, -8, -7, -5, -4, -3], [-9, 5, 6, -10], [8, 9, -13, 7], [2, 10, 5, 7], [-14, -5, -11, -2], [2, -14, -9, -8, -7], [3, -4, 5, 14], [-6, -12, -3, -2], [4, 7, 12, 14, -13, -11, -5], [1, 2, 13, 14, -7, -4], [2, -14, -13, -10, -4, -3], [8, -13, -12, -7, -3], [8, -7, 5, 14], [4, 7, 13, -10, -8, -1], [1, 3, -8, -6, -4], [8, 9, 14, -3, -1], [-3, 4, -9, -8, -5, 13, -2], [8, 11, 12, 6]]",0.8480224609375,0.37554931640625,0.37554931640625,0.8480224609375,0.7825080981027303,0.39569091796875,T-,T+,0.9518783195930606,0.8782951830952074,106,44,106,44
"[[3, 2, -4, -8, 7, -6, 14, 1, 5, -12], [9, -10, -4, -1], [9], [10, -13, 3, -7, -14], [2]]",3968,12416,0.7578125,5,4.2,"[[2], [9]]","[[6, 7, 10, -9, -5], [3, 11, 12, 13, 14, -9, -8, -5], [-14, 3, 5, -9], [4, 7, -12, -6, -2], [3, -13, -9, -6, -5], [-2, -9]]",0.9921875,0.087646484375,0.9921875,0.9921875,1.0,0.079833984375,T+,T+,0.9964146790134856,0.9496847762305684,42,108,42,108
"[[-1, -13, 8, 6, 3], [9, -1, 10, -2, -14, -11, -7, 8, -12]]",15844,540,0.967041015625,2,7,"[[3, 4, 6, 7, 8, 9, 11, 14, -13, -12, -10, -5, -1]]","[[13], [-13]]",0.9671630859375,0.032958984375,0.032958984375,0.9671630859375,1.0,0.0001220703125,T-,T+,0.9919680151072837,0.988397289756119,149,1,149,1
"[[-1, 12, 3, 5, -9, 11, -6, 14, -4, 13, 10], [12, 2, -11, 3, -6, 7, 1, -5, -4, 10]]",16360,24,0.99853515625,2,10.5,None,None,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,150,0,150,0
"[[-1, -10], [-11, 2, 14, -10, -5, -3], [-9, 13], [-8, 6, 4, 14, -13, -2, -1], [-2, 13, 11, 9], [10, 7, -2, -12, 13, 11, 9], [12, 5, 2, 6, -14, -10], [10, 3], [12, 2, -14, 1, 5, 6, 11, -10, 13, -9, -7]]",5408,10976,0.669921875,9,5.222222222222222,"[[9, 11, 12, 13, -5, -3], [8, 9, -11, -10, -6, -5, -3], [13, -9], [-10, -1], [10, 3]]","[[8, -13, -3], [-8, 1, -3, 9], [1, 2, 5, -14, -6], [2, 4, 13, -14, -12, -11, -10], [4, 9, 10, -14, -2, -3, -1], [1, 2, 11, 14, -8], [12, 13, 14, -7, -3], [2, 10, -14, -5, -4, -1], [7, 8, -14, -9, -2], [1, -10, 6]]",0.953125,0.2725830078125,0.953125,0.953125,0.9254486884491486,0.2652587890625,T+,T+,0.9555711381274283,0.8740875597896832,66,84,66,84
