Used Theory,Total Unique Positives,Total Unique Negatives,Default Accuracy,# Clauses,Mean # LitralsT+,T-,Similarity of T+,Similarity of T-,Similarity of T_MF,Similarity of T_Comp,Similarity - Common,Overlap Size,MF Theory,Comp Theory,Compression of T+,Compression of T-,# Sampled Positives,# Sampled Negatives,# Unique Sampled Positives,# Unique Sampled Negatives
"[[7, -1, -5, 9, -8, -14, -12, -4, 3, -10, -2, -6, 13], [6, -7], [9, -8, -13, 14], [-14, 7, -12, 11, -1, 8, -6, -2, -9, 3, 10, 4], [-9, -6], [-10, 9, -14, 5, 8, -2, 7, 3, 11, 13, -12, -1, -4], [-9, 5, -14, -4, 11, -7, 13, 10, -12, 3, -1, 2], [14, -12, -4]]",6588,9796,0.597900390625,8,7.625,"[[-12, -4, 14], [-7, 6], [-8, 9, -13, 14], [-6, -9]]","[[2, 4, 5, 8, -12, -10, -7, -6, -3, -1], [2, 8, 11, 12, -14, -13, -10, -7, -5, -3, -1], [9, -6, 13], [8, 1, -13, 9], [-14, 3, 4, 13], [4, -2, 7], [9, 11, -14, -13, -10], [13, -14, -12, -8, -5], [3, 9, 11, -12, -10, -8], [4, 6, -12, -11, -10, -3], [1, 7, 12, 14, -11, -6], [2, 5, 8, 10, -14, -4], [8, -6, 12, 13], [-14, 3, 13, -2], [12, -13, -1, -8, -4, -2], [2, 7, 8, 10, -12, -3], [4, 5, 10, -14, -12, -2], [9, 11, 14, -8, -1], [10, 9, -14, -6], [2, 13, -14, -11, -10, -9, -8, -5, -3], [1, 6, 8, 12, -4], [5, 6, 12, 14, -9, -8, -3, -2], [-6, -13, 10, 11, -1], [1, 2, 3, 4, 5, -14, -10], [1, 6, 10, 11, 13, 14, -8, -5, -3, -2], [9, 12, -1], [1, 2, 5, 11, -13, -10, -9, -6, -3], [-8, 6, 7]]",0.999755859375,0.3248291015625,0.999755859375,0.999755859375,1.0,0.3245849609375,T+,T+,0.9969451077929466,0.8176943405892019,221,279,221,278
"[[-2], [14, -10, -2, 7, -12, 6, -13, -1, -5, -11], [-4, 2]]",4096,12288,0.75,3,4.333333333333333,"[[-2], [-4]]","[[1, 4, 10, 11, 13, -12, -9, -8, -7, -5], [3, 4, 7, 8, 9, 12, -13, -11, -10, -6], [1, 4, 6, 7, 12, 13, -11, -10, -8, -5, -3], [2, 3, 6, 9, 10, 11, 13, 14, -12, -8, -7, -5], [3, 5, 6, 9, -14, -12, -11, -10, -8, -7, -1], [1, 2, 11, -13], [3, 7, 10, 11, 12, 14, -6], [1, 3, 4, 12, -11, -5], [2, 6, 11, 13, -14, -10, -7], [1, 2, 7, -12, -6, -5, -3], [1, 4, 7, 9, 11, -12, -10], [3, 5, 6, 7, 13, -12, -9], [4, 5, 9, 10, -6, -1], [6, 8, -14, -13, -11, -9], [2, 8, 14, -11, -7, -5, -1], [2, 3, 5, 12, -14, -11, -9, -8, -6, -4], [4, 13, -10, -1], [2, 4]]",1.0,0.11724853515625,1.0,1.0,1.0,0.11724853515625,T+,T+,0.9885791487204844,0.9371850326114884,146,354,146,354
"[[9], [-2, 12, -7, -4, 5, 6, -8, 13, -10, -14], [-8], [14, 9, -5, -11, 6, -7, 12, -2, -8, -1]]",4096,12288,0.75,4,5.5,"[[-8], [9]]","[[2, 4, 5, 7, 10, 11, 14, -12, -9, -3, -1], [5, 11, 13, 14, -12, -10, -9, -2, -6, -1], [2, 4, 5, 6, 12, -7, -3], [1, 5, 13, -12, -11, -10, -2], [8, 11, -10, -5, -4], [7, 12, -9, -3, -1], [3, 4, 8, -12, -7, -6, -2], [3, 4, 6, 7, 13, -14, -2], [5, 10, 11, 13, -7, -6, -4], [2, 8, 12, -7, -6, -1], [2, 3, 14, -11, -10, -9], [1, 6, 14, -9, -5], [1, 3, 10, 11, -13, -12, -9, -4], [1, 2, 6, 8, 14, -13, -12, -3], [3, 4, 6, 8, -14, -13, -11, -7], [5, -14, -13, -11, -4, -3, -1], [8, -9]]",1.0,0.09930419921875,1.0,1.0,1.0,0.09930419921875,T+,T+,0.9925028984705778,0.9416656803222637,140,360,140,360
"[[-5, 7, -12, -13, 2, 1, -4, 6, -3, 10, 14, 9], [-8, -9, 14], [8], [1, -13, 7, 4, -9, 2, -3, -14]]",6110,10274,0.6270751953125,4,6,"[[14, -9], [8]]","[[1, 3, 12, 14, -8, -7, -6, -5, -4, -2], [10, -14, 3], [1, -3, -10, 9], [5, 11, -14, -12, -4], [1, 4, 5, 9, -13, -11], [10, -13, -9, -8, -6, -5, -2], [9, 10, 14, -5, -4, -3, -1], [1, 7, 13, -9, -8, -6], [-14, -13, -11, -10, -9, -6], [6, 12, -13, -8, -2], [5, 9, 11, 13, 14, -10, -1], [6, 10, 13, 14, -8, -4], [7, 11, -14, -9, -5, -1], [2, 3, 4, 12, -6, -1], [-14, 3, 4, 6, 9, 13, -1], [1, 2, 3, 7, -14, -12, -11, -10, -4], [-3, 5, 13, 6], [12, -13, -11, -9, -8, -7, -4, -3, -1], [-6, -5, -10, 7], [8, 9, 12, -10, -7, -6, -4, -1], [-8, -14], [-8, 9]]",0.9979248046875,0.23370361328125,0.9979248046875,0.9979248046875,1.0,0.23162841796875,T+,T+,0.9942858275597036,0.8690947679899006,214,286,214,286
"[[-2, 10, -11, 4], [11, -2, -1, 5, -8, 13, 14], [-4]]",7104,9280,0.56640625,3,4,"[[5, 12, 14, -1, -8, -2], [10, -11, -2], [-4]]","[[3, 5, 7, 9, 10, 12, 13, 14, -11, -6], [5, 7, 9, 12, 13, 14, -11, -10, -2, -8, -6, -1], [1, 2, 5, 7, 8, 13, 14, -11, -10, -6], [1, 8, 9, 10, 14, -12, -7, -6, -3, -2], [2, 6, 7, 9, 10, 13, -14, -12, -11, -5, -3, -1], [11, 4, 13], [-8, 1, 2], [6, 12, -10, -5, -1], [-7, -12, 14, 6], [4, 7, 13, -9, -6, -3], [2, 3, 6, -12, -1], [3, 6, 8, -9, -2], [9, 11, 12, 14, -5], [5, 7, 11, -14, -2], [2, 8, -12, -7, -5], [2, 5, 7, 9, -11, -8], [1, 3, 10, 13, -12, -5], [12, -10, -7, -6, -3, -1], [6, 9, -7, -5, -3, -2], [-12, 5, -10, -7, -2], [4, 8, 14, -11, -10, -3], [1, 3, 5, 9, 11, 12], [1, 11, -13, -12, -3], [3, 8, 11, -9, -1], [-13, 4], [3, 4]]",0.994140625,0.2926025390625,0.2926025390625,0.994140625,0.987546699875467,0.2940673828125,T-,T+,0.9949775096449007,0.8360390849560069,258,242,258,242
"[[-10, 1, -12, 14, -8, 11], [-5, -6, 13], [1, 14, 5, 3, 11, -12, 6, 4, 9, 2], [9, -8], [-6, -2, 8, -13, 12, 7, 1, 3, -9, 11, -5, -14, -4], [-7, 2, -6, 4], [-2, 14, 12, 1, -9, -8]]",9836,6548,0.600341796875,7,6.285714285714286,"[[-6, -5, 13], [-7, 2, -6, 4], [1, 4, 11, 14, -13, -9, -8, -5, -2], [5, 12, 13, -8, -4, -2], [-8, 9]]","[[1, 4, 10, -13, -12, -11, -8, -7, -5, -2], [8, 6, -1], [-6, -13, 7], [-8, 6, -9], [10, 5, -1], [-14, 6, -10], [12, -3, -2, -9], [3, 5, 9, 13, -12, -6], [8, 10, -3], [2, 12, -13, -7, -4], [3, 4, 9, 10, 13], [1, 5, 10, 11, -6, -4], [2, 8, 11, -12, -10], [-3, -6, -4, -11], [4, 5, 7, 14, -10, -9], [-8, 11, -4, -9], [8, 13, -14, -6, -2], [2, 6, 11, 13, -7, -3], [4, 7, -10, -8, -1], [1, 4, -13, -10, -3], [-14, -5, 12, -11], [-13, -9], [8, 1, 14]]",0.976318359375,0.28717041015625,0.28717041015625,0.976318359375,0.9770165745856354,0.27618408203125,T-,T+,0.9921424401323933,0.8136148829361455,319,181,319,181
"[[3, 2, -4, -8, 7, -6, 14, 1, 5, -12], [9, -10, -4, -1], [9], [10, -13, 3, -7, -14], [2]]",3968,12416,0.7578125,5,4.2,"[[6, 10, 12, -7, -1], [8, 10, -14, -13, -12], [9], [2]]","[[1, 3, 5, 6, 11, 12, 14, -10, -8, -7, -4], [1, 3, 7, 10, 13, 14, -12, -6, -5, -2], [1, -14, -2, 6], [1, 4, 7, 10, -11, -8], [5, 10, 14, -12, -7, -2], [8, 12, -7, -5, -4, -2], [4, -14, -12, -9, -8], [7, 13, 14, -12, -4], [5, 7, 12, -13, -9, -6], [4, 12, 13, -10, -9, -7], [3, 8, 13, -9, -6, -5], [13, -14, -1, -4, -3, -2], [6, 7, 11, -14, -13, -10, -8, -3], [6, 11, 14, -9, -5, -4, -3], [3, 4, -8, -5, -2], [6, -11, -1, -5, -2], [3, 5, 7, 8, 14, -12, -11, -10, -6], [1, -13, -9, -5, -4], [-2, -9]]",0.982421875,0.1781005859375,0.982421875,0.982421875,0.9317137229152987,0.1859130859375,T+,T+,0.9804170921136346,0.9124444047884911,153,347,152,346
"[[-1, -13, 8, 6, 3], [9, -1, 10, -2, -14, -11, -7, 8, -12]]",15844,540,0.967041015625,2,7,"[[4, 5, 8, 9, 10, -14, -12, -11, -2, -7, -6, -3, -1], [3, 6, 8, -13, -1]]","[[-6], [6]]",0.9984130859375,0.032958984375,0.032958984375,0.9984130859375,1.0,0.0313720703125,T-,T+,0.9965368678241541,0.9738873414985875,488,12,487,12
"[[-1, 12, 3, 5, -9, 11, -6, 14, -4, 13, 10], [12, 2, -11, 3, -6, 7, 1, -5, -4, 10]]",16360,24,0.99853515625,2,10.5,None,None,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,500,0,500,0
"[[-1, -10], [-11, 2, 14, -10, -5, -3], [-9, 13], [-8, 6, 4, 14, -13, -2, -1], [-2, 13, 11, 9], [10, 7, -2, -12, 13, 11, 9], [12, 5, 2, 6, -14, -10], [10, 3], [12, 2, -14, 1, 5, 6, 11, -10, 13, -9, -7]]",5408,10976,0.669921875,9,5.222222222222222,"[[-10, -1], [11, 13, -2], [2, 4, 5, 6, 12, -14, -10], [2, 14, -11, -9, -8, -4], [13, -9], [10, 3]]","[[8, 10, -14, -12, -11, -9, -7, -6, -4, -3, -1], [2, 4, 6, 9, 14, -12, -8, -7, -3, -1], [2, 3, 5, 6, 8, 9, 12, 14, -4], [4, 5, 6, 10, 11, -14, -12, -8, -7, -1], [4, 5, 10, 12, 14, -2, -9, -8, -7, -6, -1], [-8, 1, -10], [8, 1, 14], [9, 10, -3, 13], [1, -13, 4, -9], [2, 7, 11, 14, -12, -10], [3, 6, 12, -10, -9, -4], [9, 13, 4, 5], [-8, -7, -5, -4], [5, -14, -9, -6, -3], [2, 10, -6, -5, -4], [6, 11, 12, -14, -3], [6, 14, -13, -12, -11], [4, 7, 9, 10, -11, -1], [1, 4, 9, -14, -2], [7, 12, 14, -13, -2], [4, 9, 12, -11, -10, -7, -6], [3, 5, 7, 9, -10, -6, -4], [2, 11, 12, -10, -9, -7, -4], [2, 6, -14, -13, -11, -9], [2, 4, -14, -12, -7, -3], [2, -12, 6, 9, 11, -3], [-14, -10, 7, 8, -5, -2], [3, 5, 7, 8, 11, -12, -1, -6, -2], [10, -13, -3]]",0.986328125,0.346435546875,0.986328125,0.986328125,0.9878310665712241,0.341064453125,T+,T+,0.9821961636460234,0.8436885129845979,213,287,210,287
