minSup,numCands,numAlphUsed,numSetsUsed,numSets,countSum,dbSize,ctSize,totalSize,seconds
293,0,47,0,0,4236,20285,653,20938,0
209,22,45,6,6,3427,16492,744,17236,0
109,460,45,23,23,2581,13451,1142,14593,0
9,25837,45,51,51,1552,9395,2306,11701,0
