Used Theory,Total Unique Positives,Total Unique Negatives,Default Accuracy,# Clauses,Mean # Literals,T+,T-,Similarity of T+,Similarity of T-,Similarity of T_MF,Similarity of T_Comp,Similarity of T_MDL,Similarity - Common,Overlap Size,MF Theory,Comp Theory,MDL Theory,Compression of T+,Compression of T-,DL of T+,DL of T-,# Sampled Positives,# Sampled Negatives,# Unique Sampled Positives,# Unique Sampled Negatives
"[[7, -1, -5, 9, -8, -14, -12, -4, 3, -10, -2, -6, 13], [6, -7], [9, -8, -13, 14], [-14, 7, -12, 11, -1, 8, -6, -2, -9, 3, 10, 4], [-9, -6], [-10, 9, -14, 5, 8, -2, 7, 3, 11, 13, -12, -1, -4], [-9, 5, -14, -4, 11, -7, 13, 10, -12, 3, -1, 2], [14, -12, -4]]",6588,9796,0.597900390625,8,7.625,"[[1, 7, 9, 10, 14, -13, -4], [2, 3, -4, -9], [-7, 6], [1, 3, -10, 9, 14], [-13, 5, -8, 9, -7], [-6, -9], [3, 9, 10, 14, -12, -5, -4, -1]]","[[4, 5, 11, -14, -2], [8, 9, 12, 14, -11, -5, -3], [9, 11, 12, -7, -6], [1, 4, -14, -12, -8], [2, 5, 13, -6, -4, -3], [1, 2, 3, 7, 8, 10, 11, -13, -4], [3, 10, 11, 12, 13, -14, -8, -4], [7, 11, -8, -6, -4, -3, -1], [10, -13, 4, 6], [5, 10, 12, -13, -11, -8], [7, -10, 6], [4, -11, -8, -7, -5, -2]]",0.897216796875,0.6693115234375,0.897216796875,0.897216796875,0.897216796875,0.932445024226612,0.655029296875,T+,T+,T+,0.9421162397955303,0.8728822849298448,300.8922451438398,660.7852452899294,46,54,46,54
"[[-2], [14, -10, -2, 7, -12, 6, -13, -1, -5, -11], [-4, 2]]",4096,12288,0.75,3,4.333333333333333,"[[1, -2, -9], [10, 3, -4], [9, -4, -3], [9, 4, -12, -2], [5, -13, -8, -7, -6], [2, -6, -4, 13], [-7, 3, 5, 1], [3, 11, -13, -12, -9], [-8, 12, 7], [6, -4, -1, -10]]","[[1, 3, 4, 7, 9, 11, 13, -14, -12, -8, -5], [2, 4, 12, -6, -3], [8, 2, -1, -10], [1, 4, 5, 8, -14, -12, -10, -9, -6], [2, 9, 10, 12, -8, -1], [-5, 8, 10, 11, -3, -1], [3, 4, -13, 6, -9]]",0.758544921875,0.7646484375,0.758544921875,0.758544921875,0.758544921875,0.9133076181292189,0.6329345703125,T+,T+,T+,0.9332480259625358,0.9118966467384305,346.9911295494063,457.9801946855457,25,75,25,75
"[[9], [-2, 12, -7, -4, 5, 6, -8, 13, -10, -14], [-8], [14, 9, -5, -11, 6, -7, 12, -2, -8, -1]]",4096,12288,0.75,4,5.5,"[[-8], [9]]","[[2, 5, 8, -4, -3], [2, 4, 7, 12, -10, -8, -3, -1], [1, -14, 4, 5, -8], [8, -9]]",1.0,0.94921875,1.0,1.0,1.0,1.0,0.94921875,T+,T+,T+,0.994623078801416,0.9339424791897599,27.950393783825064,343.3812121917788,31,69,31,69
"[[-5, 7, -12, -13, 2, 1, -4, 6, -3, 10, 14, 9], [-8, -9, 14], [8], [1, -13, 7, 4, -9, 2, -3, -14]]",6110,10274,0.6270751953125,4,6,"[[14, -9], [8]]","[[-8, -14, -12, -2], [-8, 11, 12, -1], [-8, -6, 3, -4], [7, 9, 10, 14, -13, -12], [7, 12, 13, -10, -5, -3], [1, -14, 3, -10], [5, -14, -7, -6, -3], [7, 9, 11, -12, -8], [-8, -13, 12]]",0.9979248046875,0.7613525390625,0.9979248046875,0.9979248046875,0.9979248046875,0.9985572298813722,0.761474609375,T+,T+,T+,0.9937188377320911,0.9219863676974047,32.650833501966154,405.5316533071615,50,50,50,50
"[[-2, 10, -11, 4], [11, -2, -1, 5, -8, 13, 14], [-4]]",7104,9280,0.56640625,3,4,"[[1, 4, 5, 10, -13, -11, -8, -2], [-4]]","[[2, 8, 11, -14, -12, -10], [9, 2, 12, -1], [1, 6, 12, 13, -2], [1, 5, 7, 8, 14, -13, -11, -6, -4, -2], [4]]",0.9375,0.8779296875,0.9375,0.9375,0.9375,0.9335410176531672,0.9404296875,T+,T+,T+,0.9888433947370167,0.9297161154225522,57.99443563971189,365.35076078740644,49,51,49,51
"[[-10, 1, -12, 14, -8, 11], [-5, -6, 13], [1, 14, 5, 3, 11, -12, 6, 4, 9, 2], [9, -8], [-6, -2, 8, -13, 12, 7, 1, 3, -9, 11, -5, -14, -4], [-7, 2, -6, 4], [-2, 14, 12, 1, -9, -8]]",9836,6548,0.600341796875,7,6.285714285714286,"[[2, 12, -7, -6, -3], [13, -14, -10, -9, -6, -5], [1, 4, 13, 14, -8, -2], [-8, 9]]","[[1, 4, -12, -9], [8, 2, -1, 7], [3, 5, -10, -13], [8, 9, 14, -13, -3], [6, 11, 12, -14, -3], [8, -7, 10, 3], [5, -13, -8, -7, -6, -2], [6, 7, 9, -5, -3], [4, 6, -13, -9, -1], [-14, -4], [-13, 7, -8, -6, 12, -3, -1], [3, 11, -4]]",0.874267578125,0.61669921875,0.61669921875,0.874267578125,0.874267578125,0.9017179384738314,0.611083984375,T-,T+,T+,0.9779885242451257,0.8869989384911404,114.42038899024192,587.4038414389738,72,28,72,28
"[[3, 2, -4, -8, 7, -6, 14, 1, 5, -12], [9, -10, -4, -1], [9], [10, -13, 3, -7, -14], [2]]",3968,12416,0.7578125,5,4.2,"[[2], [9]]","[[7, 11, 12, -13, -8, -6, -4, -3, -1], [1, -2, -9], [5, -13, -8, -7, -6, -2], [3, 11, 13, -8, -4], [-8, 4, 6, 7], [3, 5, 8, -12, -11, -9, -7, -6], [6, 8, 11, -13, -9, -5]]",0.9921875,0.804931640625,0.9921875,0.9921875,0.9921875,0.9940980629539952,0.806640625,T+,T+,T+,0.9724958335624343,0.9350593076829552,142.97257747208312,337.57569728447015,35,65,35,65
"[[-1, -13, 8, 6, 3], [9, -1, 10, -2, -14, -11, -7, 8, -12]]",15844,540,0.967041015625,2,7,"[[2, 3, 6, 8, 12, -13, -10, -1]]","[[-7, -2, 1], [8, 3, -12, -9], [-3, 12, 4, -10], [-8, -14, 3], [9, 10, -5], [10, 11], [5], [-4]]",0.970947265625,0.891845703125,0.891845703125,0.970947265625,0.970947265625,0.9709488272921108,0.916015625,T-,T+,T+,0.990693012226448,0.9610979952367527,48.37972579559668,202.2209944976235,98,2,98,2
"[[-1, 12, 3, 5, -9, 11, -6, 14, -4, 13, 10], [12, 2, -11, 3, -6, 7, 1, -5, -4, 10]]",16360,24,0.99853515625,2,10.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100,0,100,0
"[[-1, -10], [-11, 2, 14, -10, -5, -3], [-9, 13], [-8, 6, 4, 14, -13, -2, -1], [-2, 13, 11, 9], [10, 7, -2, -12, 13, 11, 9], [12, 5, 2, 6, -14, -10], [10, 3], [12, 2, -14, 1, 5, 6, 11, -10, 13, -9, -7]]",5408,10976,0.669921875,9,5.222222222222222,"[[10, 3, -4], [1, 13, -7, -2], [2, 4, 12, -10, -6, -3], [-8, 3, 4, -1], [4, 5, 13, -8, -2], [-1, 6, -10], [8, -6, 13]]","[[2, 5, 6, 9, 10, 12, -14, -13, -11, -8, -1], [1, 10, -14, -12, -6, -3], [5, -13, -8, -7, -6], [8, 11, -13, -9, -5], [4, 6, 7, -3, -2], [1, 5, 12, -14, -7, -6], [1, -13, 5, -9], [4, 7, 9, 10, 11, 13, -14, -8, -5], [1, 3, -12, -10], [7, 11, 12, -13, -9, -8, -6, -1], [9, -4, -3]]",0.725830078125,0.7249755859375,0.725830078125,0.725830078125,0.725830078125,0.8660785091197463,0.61572265625,T+,T+,T+,0.945064497896915,0.8583567368856314,285.56656491409126,736.2921706784873,45,55,45,55
