Used Theory,Total Unique Positives,Total Unique Negatives,Default Accuracy,# Clauses,Mean # Literals,T+,T-,Similarity of T+,Similarity of T-,Similarity of T_MF,Similarity of T_Comp,Similarity of T_MDL,Similarity - Common,Overlap Size,MF Theory,Comp Theory,MDL Theory,Compression of T+,Compression of T-,DL of T+,DL of T-,# Sampled Positives,# Sampled Negatives,# Unique Sampled Positives,# Unique Sampled Negatives
"[[7, -1, -5, 9, -8, -14, -12, -4, 3, -10, -2, -6, 13], [6, -7], [9, -8, -13, 14], [-14, 7, -12, 11, -1, 8, -6, -2, -9, 3, 10, 4], [-9, -6], [-10, 9, -14, 5, 8, -2, 7, 3, 11, 13, -12, -1, -4], [-9, 5, -14, -4, 11, -7, 13, 10, -12, 3, -1, 2], [14, -12, -4]]",6588,9796,0.597900390625,8,7.625,"[[-12, -4, 14], [-8, 9, -13, 14], [-6, -9], [-7, 6]]","[[6, 7], [9, -6]]",0.999755859375,0.902099609375,0.999755859375,0.999755859375,0.999755859375,0.9997294372294372,0.90234375,T+,T+,T+,0.996328598039047,0.8900084056563984,79.61092896469945,2385.06518685022,178,222,178,221
"[[-2], [14, -10, -2, 7, -12, 6, -13, -1, -5, -11], [-4, 2]]",4096,12288,0.75,3,4.333333333333333,"[[4, -2, 7], [-7, -2], [-4, 13], [-13, -4]]","[[2, 4]]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,T+,T-,T-,0.9967456966301232,0.9989376474980252,70.56653484534101,23.036123657850943,94,306,94,305
"[[9], [-2, 12, -7, -4, 5, 6, -8, 13, -10, -14], [-8], [14, 9, -5, -11, 6, -7, 12, -2, -8, -1]]",4096,12288,0.75,4,5.5,"[[8, 9, 10], [-8, -10, -9], [9, -10], [-8, 10]]","[[8, -9]]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,T+,T-,T-,0.9965342527927639,0.9989376474980252,75.15149734606216,23.036123657850943,99,301,98,301
"[[-5, 7, -12, -13, 2, 1, -4, 6, -3, 10, 14, 9], [-8, -9, 14], [8], [1, -13, 7, 4, -9, 2, -3, -14]]",6110,10274,0.6270751953125,4,6,"[[8, -14, -9], [8, 9], [1, 2, 4, 6, 7, 10, 12, -14, -13, -11, -8, -5], [14, -9]]","[[-8, -14, -9], [-8, 9]]",0.997802734375,0.9979248046875,0.997802734375,0.9979248046875,0.9979248046875,0.997985347985348,0.999755859375,T+,T-,T-,0.9950008461887784,0.9951204812818393,108.40199007941642,105.80781461275475,145,255,145,254
"[[-2, 10, -11, 4], [11, -2, -1, 5, -8, 13, 14], [-4]]",7104,9280,0.56640625,3,4,"[[10, 4, -11, -2], [4, 5, 6, 7, 11, 12, -10, -9, -8, -1, -3, -2], [-4, 13], [-13, -4]]","[[4, -2, -10], [10, 11, 4, -2], [2, 4]]",0.9959716796875,0.99609375,0.9959716796875,0.9959716796875,0.9959716796875,0.9961538461538462,0.999755859375,T+,T+,T+,0.9947951914350616,0.9940317116316715,112.8614216980537,129.41676950254455,158,242,157,242
"[[-10, 1, -12, 14, -8, 11], [-5, -6, 13], [1, 14, 5, 3, 11, -12, 6, 4, 9, 2], [9, -8], [-6, -2, 8, -13, 12, 7, 1, 3, -9, 11, -5, -14, -4], [-7, 2, -6, 4], [-2, 14, 12, 1, -9, -8]]",9836,6548,0.600341796875,7,6.285714285714286,"[[-7, 2, -6, 4], [3, 4, 6, 7, 10, 12, -13, -11, -9, -5, -2], [-8, 1, 14, -10], [-6, -5, 13], [-8, 9]]","[[8, -13, -1], [-8, 6, -9], [-8, -6, 5, -9], [-6, -5, -9, -13], [8, 5], [1, 3, 9, 12, -14, -13, -11, -10, -7, -6, -4, -2], [8, -5, 6]]",0.9796142578125,0.93231201171875,0.93231201171875,0.9796142578125,0.9796142578125,0.9920305604952908,0.92669677734375,T-,T+,T+,0.9805233892996527,0.9310593650366389,422.3321465285703,1494.9134012623479,233,167,232,167
"[[3, 2, -4, -8, 7, -6, 14, 1, 5, -12], [9, -10, -4, -1], [9], [10, -13, 3, -7, -14], [2]]",3968,12416,0.7578125,5,4.2,"[[3, 5, 10, 11, 12, -14, -13, -2, -9, -8, -7, -6, -4, -1], [-14, 10, 4, -11], [9, -11], [9, 11], [2, -9]]","[[-2, -9]]",0.98052978515625,0.9921875,0.98052978515625,0.9921875,0.9921875,0.9941092577664786,0.98431396484375,T+,T-,T-,0.9859612428076873,0.9883619844988245,304.41736248889913,252.35951693877254,93,307,92,307
"[[-1, -13, 8, 6, 3], [9, -1, 10, -2, -14, -11, -7, 8, -12]]",15844,540,0.967041015625,2,7,"[[3, 6, 8, -13, -1]]","[[-8, 10, 7], [-7, -4, 14], [12, -10, 7], [-7, -14, -6], [8, -12, 7], [-7, 4, 5], [9, -6, 4, 14], [10, 12, 6], [2, -12, -4, -10], [-8, -5, 6, -9], [8, -6, -13, 12], [-7, -14, -2], [9, -5, -10], [-6, -11, 7]]",0.998291015625,0.9052734375,0.9052734375,0.998291015625,0.998291015625,0.9981157469717362,0.906982421875,T-,T+,T+,0.9983212353768971,0.9511458182004414,36.40244587209676,1059.3573894217957,385,15,384,15
"[[-1, 12, 3, 5, -9, 11, -6, 14, -4, 13, 10], [12, 2, -11, 3, -6, 7, 1, -5, -4, 10]]",16360,24,0.99853515625,2,10.5,"[[1, 2, 3, 7, 9, 10, 12, 14, -13, -11, -8, -6, -5, -4]]","[[-8, 10, 7], [-7, -4, 14], [12, -10, 7], [-7, -14, -2], [8, -12, 7], [-7, -13, 4, 12], [8, 10, 12], [2, -12, -10], [-8, -12, -2, 14], [-6, 4, -3, -10], [11, 9, -5, -1], [-7, 2]]",0.99859619140625,0.9637451171875,0.9637451171875,0.99859619140625,0.99859619140625,0.9985455005375324,0.96514892578125,T-,T+,T+,0.9970544466313545,0.9857981064450377,63.87157889192635,307.95482243379007,399,1,398,1
"[[-1, -10], [-11, 2, 14, -10, -5, -3], [-9, 13], [-8, 6, 4, 14, -13, -2, -1], [-2, 13, 11, 9], [10, 7, -2, -12, 13, 11, 9], [12, 5, 2, 6, -14, -10], [10, 3], [12, 2, -14, 1, 5, 6, 11, -10, 13, -9, -7]]",5408,10976,0.669921875,9,5.222222222222222,"[[1, 2, 4, 8, 9, 14, -13, -12, -11, -10, -7, -6, -5, -3], [1, -14, 11, 13], [1, 13, 14], [13, -3, -9], [6, 7, 8, 9, 10, 11, 14, -5, -4, -2], [10, 3], [-10, -1]]","[[10, -13, -3], [1, -13, -10], [9, 10, -3, 13], [1, 9, 13, -11, -7], [4, 7, 11, 13, -14, -12, -8, -6, -5, -3], [3, 4, 6, 7, 11, 12, 13, 14, -8, -5], [1, 2, 5, -10, 9]]",0.92962646484375,0.94384765625,0.92962646484375,0.94384765625,0.94384765625,0.9669168026101141,0.93536376953125,T+,T-,T-,0.9500910500272546,0.9642908553754186,1082.22905398015,774.3195123641116,126,274,126,273
