Used Theory,Total Unique Positives,Total Unique Negatives,Default Accuracy,# Clauses,Mean # Literals,T+,T-,Similarity of T+,Similarity of T-,Similarity of T_MF,Similarity of T_Comp,Similarity of T_MDL,Similarity - Common,Overlap Size,MF Theory,Comp Theory,MDL Theory,Compression of T+,Compression of T-,DL of T+,DL of T-,# Sampled Positives,# Sampled Negatives,# Unique Sampled Positives,# Unique Sampled Negatives
"[[-1, 3, -4], [1], [-4, -2]]",5,11,0.6875,3,2,"[[-4, -2], [3, -4], [1]]","[[-4, -3], [3, -2], [4], [2]]",1.0,0.3125,0.3125,1.0,1.0,1.0,0.3125,T-,T+,T+,0.9929763851566203,0.9100488301543458,28.456470942347053,364.4409478625823,148,252,34,33
"[[-3], [2]]",4,12,0.75,2,1,"[[-3], [2]]","[[1], [-1]]",1.0,0.25,1.0,1.0,1.0,1.0,0.25,T+,T+,T+,0.9946548011644958,0.9556674036063116,14.626395943789367,121.3100069848237,113,287,11,15
"[[-4], [-3, -2, 1]]",7,9,0.5625,2,2,"[[1, -3, -2], [-4]]","[[1, -2], [2, -3], [-1], [3]]",1.0,0.4375,0.4375,1.0,1.0,1.0,0.4375,T-,T+,T+,0.9946632425580268,0.9243650999960702,21.62209723345085,306.43797847455716,185,215,40,27
"[[1, -2], [-3, 4]]",9,7,0.5625,2,2,"[[1, -2], [4, -3]]","[[-4], [4]]",1.0,0.5625,0.5625,1.0,1.0,1.0,0.5625,T-,T+,T+,0.9945188623461865,0.9539845158277951,22.207059734172006,186.43366947699795,240,160,51,16
"[[1], [-4]]",4,12,0.75,2,1,"[[-4], [1]]","[[3, -2], [2, -3], [-1], [4]]",1.0,0.375,1.0,1.0,1.0,1.0,0.375,T+,T+,T+,0.9957949011794226,0.9341021860411861,17.037134732729697,266.98776483319415,123,277,28,39
"[[-4, -3], [-1, 4]]",8,8,0.5,2,2,"[[4, -1], [-4, -3]]","[[-2], [2]]",1.0,0.5,0.5,1.0,1.0,1.0,0.5,T-,T+,T+,0.9945188623461865,0.9422170840845091,22.207059734172006,234.10991410827933,242,158,46,21
"[[-1], [3], [-4]]",2,14,0.875,3,1,"[[-1], [-4], [3]]","[[1, -2], [2, -3], [4]]",1.0,0.375,1.0,1.0,1.0,1.0,0.375,T+,T+,T+,0.9942524239898564,0.9312278271637098,23.286545940904745,278.63335071720417,66,334,14,53
"[[3, 1, -4], [2]]",7,9,0.5625,2,2,"[[1, 3, -4], [2]]","[[4], [-4]]",1.0,0.4375,0.4375,1.0,1.0,1.0,0.4375,T-,T+,T+,0.9946632425580268,0.9304985428937679,21.62209723345085,281.58807660965124,220,180,41,26
"[[-2, 3, -4], [4, 1, 3]]",12,4,0.75,2,3,"[[3, -4, -2], [1, 3, 4]]","[[4], [-4]]",1.0,0.75,0.75,1.0,1.0,1.0,0.75,T-,T+,T+,0.9935315839366311,0.9755549564688648,26.207059734172006,99.04012199413755,329,71,60,7
"[[-2, 1], [2, -4, -1]]",10,6,0.625,2,2.5,"[[1, -2], [2, -4, -1]]","[[4], [-4]]",1.0,0.625,0.625,1.0,1.0,1.0,0.625,T-,T+,T+,0.9940252231414087,0.9633714822555842,24.207059734172006,148.40198019082467,272,128,55,12
"[[1], [1, -4]]",8,8,0.5,2,1.5,[[1]],"[[4], [-4]]",1.0,0.5,0.5,1.0,1.0,1.0,0.5,T-,T+,T+,0.9972758187937556,0.9379201862072708,11.037134732729697,251.51897658002355,220,180,44,23
"[[-4], [-4, 3]]",8,8,0.5,2,1.5,[[-4]],"[[1, 3], [2, -3], [-1], [-2]]",1.0,0.5,0.5,1.0,1.0,1.0,0.5,T-,T+,T+,0.9972758187937556,0.9293914599857763,11.037134732729697,286.07346957389217,211,189,42,25
