Used Theory,Total Unique Positives,Total Unique Negatives,Default Accuracy,# Clauses,Mean # Literals,T+,T-,Similarity of T+,Similarity of T-,Similarity of T_MF,Similarity of T_Comp,Similarity of T_MDL,Similarity - Common,Overlap Size,MF Theory,Comp Theory,MDL Theory,Compression of T+,Compression of T-,DL of T+,DL of T-,# Sampled Positives,# Sampled Negatives,# Unique Sampled Positives,# Unique Sampled Negatives
"[[7, -1, -5, 9, -8, -14, -12, -4, 3, -10, -2, -6, 13], [6, -7], [9, -8, -13, 14], [-14, 7, -12, 11, -1, 8, -6, -2, -9, 3, 10, 4], [-9, -6], [-10, 9, -14, 5, 8, -2, 7, 3, 11, 13, -12, -1, -4], [-9, 5, -14, -4, 11, -7, 13, 10, -12, 3, -1, 2], [14, -12, -4]]",6588,9796,0.597900390625,8,7.625,"[[-12, -4, 14], [-13, 12, 5], [-7, 6], [-6, -9]]","[[2, 3, 5, -13, -12, -11, -9, -4, -1], [9, -6, 11, 5], [7, -10, 6], [2, 9, 10, -5, -4], [9, 13, -11, -7, -6], [-14, 11, 12, -9], [10, -13, 14, 7], [9, -13, 12, -11], [10, -5, 4], [10, 11, 13, -14, -4], [2, 13, -10, 7], [1, 3, 6, 13, -14, -12, -11, -2], [-8, -4, -1, 7], [1, 5, 10, 12, -13, -11, -7, -6, -2], [-8, 4, -12]]",0.925537109375,0.6300048828125,0.925537109375,0.925537109375,0.925537109375,0.9584928470683055,0.6058349609375,T+,T+,T+,0.9216184516218954,0.7793135894396879,815.4948529517225,2296.058647121574,89,111,89,111
"[[-2], [14, -10, -2, 7, -12, 6, -13, -1, -5, -11], [-4, 2]]",4096,12288,0.75,3,4.333333333333333,"[[4, -12, -2], [-4, 5, -10], [9, -4, -3], [-14, -2, -9], [2, -4, -9], [1, 3, 5, -2], [13, -11, -10, -2], [10, -13, -2], [-6, -4], [3, -4]]","[[2, 5, 8, 9, 11, 12, 14, -13, -10, -7, -6, -3], [2, -6, 4, -3], [3, 4, 6, -13, -9], [2, 5, 6, 8, -10, -1], [6, 10, 12, -13, -11, -1], [3, 4, 13, 14, -10, -8], [3, 4, 9, -8, -5], [8, 10, 4, -9], [3, 8, 13, -12, -10, -7]]",0.94189453125,0.7879638671875,0.94189453125,0.94189453125,0.94189453125,0.9857026807473599,0.7513427734375,T+,T+,T+,0.9813231173348407,0.9199919663777537,194.317438195382,832.4170798335019,45,155,45,155
"[[9], [-2, 12, -7, -4, 5, 6, -8, 13, -10, -14], [-8], [14, 9, -5, -11, 6, -7, 12, -2, -8, -1]]",4096,12288,0.75,4,5.5,"[[9, -4, -3], [10, 4, 14], [8, 9, 2, -11], [-8, 4], [9, 3], [-8, -4], [9, 5]]","[[5, 6, 7, 11, -13, -12, -10, -2, -4, -3, -1], [2, 4, 7, 11, 12, 13, -14, -10, -9, -6, -5, -3, -1], [1, 3, 5, 13, 14, -12, -11, -10, -9, -7, -6, -2], [1, 12, -14, -13, -9], [1, 5, 8, 13, -12, -4], [2, 5, -13, -9, -4], [2, 5, 8, -10, -3, -1], [4, 8, 10, -11, -5], [8, -9]]",0.951171875,0.93890380859375,0.951171875,0.951171875,0.951171875,0.9978152522700895,0.89398193359375,T+,T+,T+,0.9765445327057259,0.9470843840326293,244.03463886407764,550.5429958336352,62,138,62,138
"[[-5, 7, -12, -13, 2, 1, -4, 6, -3, 10, 14, 9], [-8, -9, 14], [8], [1, -13, 7, 4, -9, 2, -3, -14]]",6110,10274,0.6270751953125,4,6,"[[14, -9], [8, -4], [8, 4]]","[[-8, -7, -13, 5], [-8, -14, -12], [11, -3, -1, 7], [9, -6, 5, 13], [5, 2, -13, -11], [-8, 2, -6, 12], [1, -14, 3, -10], [2, 7, -10, -8, -1], [7, 9, 10, -13, -12], [-8, 12, 6, -2], [2, 4, 6, 7, 14, -12, -11, -10, -5], [-8, 3, -4, 13]]",0.9979248046875,0.7235107421875,0.9979248046875,0.9979248046875,0.9979248046875,0.9976423038059953,0.724853515625,T+,T+,T+,0.9950100930265957,0.8921917205365708,51.915833990538594,1121.6555277002717,91,109,91,109
"[[-2, 10, -11, 4], [11, -2, -1, 5, -8, 13, 14], [-4]]",7104,9280,0.56640625,3,4,"[[10, -11, -2], [-4]]","[[2, 5, 6, 9, 10, 12, -14, -13, -11, -8, -1], [-6, 4, -3], [3, 4, -12, -8, -5], [8, 13, -14, -10, -1], [8, 1, -2, -9], [1, 3, -12, -10, -7], [-8, 3, 4, 14], [2, 8, 12, -13, -10], [6, 12, 13, -14, -11, -8, -7, -5, -4, -2], [4, -9], [4, 6]]",0.99609375,0.830322265625,0.99609375,0.99609375,0.99609375,0.9953175299970735,0.834228515625,T+,T+,T+,0.9964210695687191,0.9184551413673224,37.23579600268731,848.4064665173225,89,111,89,111
"[[-10, 1, -12, 14, -8, 11], [-5, -6, 13], [1, 14, 5, 3, 11, -12, 6, 4, 9, 2], [9, -8], [-6, -2, 8, -13, 12, 7, 1, 3, -9, 11, -5, -14, -4], [-7, 2, -6, 4], [-2, 14, 12, 1, -9, -8]]",9836,6548,0.600341796875,7,6.285714285714286,"[[-6, -5, 13, -9], [2, 4, -7, -6, -3], [1, 5, 14, -8, -6], [-5, 13, -10, 14], [1, 3, 10, 13, -5, -4], [-8, 9]]","[[3, -13, -9], [3, 10, 11, -4], [-12, 4, -3, -2], [12, -3, 7], [3, -12, -11, 14], [3, -4, -1, 7], [3, 6, 12, -7, -2], [8, 10, -1], [5, -13, -8, -7, -2], [8, 5, -12, -4], [3, 4, 5, -10, -9, -8], [-4, 6, 7], [4, 13, -14, -12, -11, -1, -9, -6, -5, -2], [8, 5, -10], [-7, -4]]",0.915283203125,0.6585693359375,0.6585693359375,0.915283203125,0.915283203125,0.9310471300201724,0.6656494140625,T-,T+,T+,0.9691262002526867,0.7897218945369375,321.216221240526,2187.768884921248,135,65,135,65
"[[3, 2, -4, -8, 7, -6, 14, 1, 5, -12], [9, -10, -4, -1], [9], [10, -13, 3, -7, -14], [2]]",3968,12416,0.7578125,5,4.2,"[[-6, 2, -3], [9, 5, -2, -1], [2, 3, -4], [8, 2, 6, -10], [9, -5, -4, -3], [10, -13, 6], [-7, 3, 12, 9], [5, -13, -4, -3], [-14, 2, -1, -9], [2, 4, 7], [9, -12]]","[[7, 11, 12, -13, -8, -6, -4, -3, -1], [5, -13, -8, -7, -6, -2], [6, 12, 13, -10, -8, -5, -2], [3, 4, 5, 6, 14, -9, -8], [3, 8, 10, 14, -11, -4], [-12, -2, 6, 7], [1, 3, 4, -11, -10], [3, 10, 11, 12, 13, -14, -8, -4], [2, 4, 6, 8, 10, 11, -13, -5], [-2, -9], [8, 13, -12, -11, -3]]",0.87158203125,0.8828125,0.87158203125,0.8828125,0.8828125,0.9816835541699143,0.7830810546875,T+,T-,T-,0.9279811908498812,0.9390125806412377,749.2958405761774,634.5234000987396,69,131,69,131
"[[-1, -13, 8, 6, 3], [9, -1, 10, -2, -14, -11, -7, 8, -12]]",15844,540,0.967041015625,2,7,"[[3, 6, 8, -13, -1]]","[[4, -12, -2], [2, -6, -3], [3, -10, -9], [-13, -4, -3], [8, 5, 6], [8, 13, -11, -9, -6, -4], [10, -13, 6, -9], [3, -12, -11], [3, -14, -5], [-8, 5], [-3, 7], [-6, 11], [3, -4]]",0.998291015625,0.9000244140625,0.9000244140625,0.998291015625,0.998291015625,0.998307150595883,0.9013671875,T-,T+,T+,0.9965011672828131,0.954658896383492,36.40244587209676,471.7364914513711,195,5,195,5
"[[-1, 12, 3, 5, -9, 11, -6, 14, -4, 13, 10], [12, 2, -11, 3, -6, 7, 1, -5, -4, 10]]",16360,24,0.99853515625,2,10.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,200,0,200,0
"[[-1, -10], [-11, 2, 14, -10, -5, -3], [-9, 13], [-8, 6, 4, 14, -13, -2, -1], [-2, 13, 11, 9], [10, 7, -2, -12, 13, 11, 9], [12, 5, 2, 6, -14, -10], [10, 3], [12, 2, -14, 1, 5, 6, 11, -10, 13, -9, -7]]",5408,10976,0.669921875,9,5.222222222222222,"[[5, -10, -1], [-8, 4, -12, -2], [1, 3, 13, -7, -2], [2, 12, -10, 7], [5, 13, 14, -12, -7], [13, -5, 12, -4], [3, -1], [10, 3], [13, -9]]","[[3, 6, 9, 11, 12, 14, -13, -10, -8, -7, -4, -2], [1, 3, 4, 5, 6, 12, -11, -10, -8, -7, -2], [-7, -13, 1], [-8, 10, -12, -3], [2, 5, 11, -6, -3], [1, -10, 14, 7], [-14, 5, -2, -9], [8, 10, -11, -5, -3], [8, 11, -13, -9, -5], [5, -13, -11, -7, -1], [1, 3, 7, -12, -8], [3, 14, -12, -11, -10], [1, 5, -14, -7, -6], [5, 6, 10, -13, -11], [11, -8, -6, -4, -3], [7, 9, -12, -5, -3]]",0.88232421875,0.67144775390625,0.88232421875,0.88232421875,0.88232421875,0.9302854974864839,0.64349365234375,T+,T+,T+,0.9342918766883095,0.8560870239878204,683.6384004474352,1497.2948817591996,87,113,87,113
