Used Theory,Total Unique Positives,Total Unique Negatives,Default Accuracy,# Clauses,Mean # Literals,T+,T-,Similarity of T+,Similarity of T-,Similarity of T_MF,Similarity of T_Comp,Similarity of T_MDL,Similarity - Common,Overlap Size,MF Theory,Comp Theory,MDL Theory,Compression of T+,Compression of T-,DL of T+,DL of T-,# Sampled Positives,# Sampled Negatives,# Unique Sampled Positives,# Unique Sampled Negatives
"[[-1, -5, -8, 4, -3, -7, 6], [10, 3, -5, 1, -6, 7, -9, 2, -8], [-2], [1, -8, 6, -2, -9, 3, 10], [-9, -8, -2, -3, -5, -7], [8, 2, -7, 3, -5], [-8, -2, -9, -6, -10], [7, -9, -5, -8, -2, 6, -4, 3, -10]]",474,550,0.537109375,8,6.125,"[[4, 6, 9, -10, -8, -7, -5, -3, -1], [3, 8, -7, -5, -1], [-2]]","[[1, 4, 5, 8, 10, -3], [1, 3, 4, 6, 7, 9, 10, -5], [4, 7, 9, 10, -8, -6, -5, -3], [1, 8, 10, -9, -6, -3], [6, 7, 8, 9, -10, -5, -4, -3], [5, 9, -10, -8, -6, -4, -3, -1], [1, 3, 4, 5, 10, -9, -8, -6], [8, -6, -4, -9], [-8, -7, -3, -10], [3, 10, -9, -8, -5, -1], [3, 5, -1, -9], [1, 6, -9, -8, -7], [-7, -6, 10, 5], [3, 4, -10, 8, 9], [-10, 8, 9, -4, -3, -1], [9, 3, -1, 7], [4, 6, -10, -8, -7, -5], [2]]",0.9794921875,0.7607421875,0.7607421875,0.9794921875,0.9794921875,0.97375,0.78125,T-,T+,T+,0.994349301524805,0.8522267705802278,76.09589518846,1990.0081780950609,198,202,195,194
"[[1, -5, 2, -6], [3, -4], [10, -2, 1, 8, -6, 9, 7, 5, -4], [9], [5, -2]]",264,760,0.7421875,5,3.6,"[[5, -2], [2, 1, -6, -5], [3, -4], [9]]","[[4, 5, 10, -9, -7, -6], [8, -10, -9, -7, -6, -4], [1, 4, 5, 8, 10, -3], [1, 2, 10, -7, -4, -3], [1, 5, 8, 10, -7, -6, -4, -3], [2, 3, 4, 7, 8, -10, -6, -1], [6, 10, -2, -9, -5, -4, -1], [2, 6, 10, -9, -8, -7, -5, -4], [2, 7, 10, -8, -6, -4, -3, -1], [1, 4, 8, -7, -5, -2], [-5, 4, -9], [-6, -4, -3, -9], [10, -3, 6, -1], [8, -5, -4, -9], [2, 6, 7, -10, -8, -4], [-10, -9, -8, -3, -1], [2, 3, 8, -7, -1], [1, -8, -6, -5, -2], [-9, -2, -10, -8, -6, -1], [6, -10, -7, -5, -4], [1, 4, 5, 10, -8], [1, -3, 6, 7], [2, 3, 4, 8, 10, -5], [1, 4, -10, 8, -7, -3, 9], [2, 5, -9]]",1.0,0.673828125,1.0,1.0,1.0,1.0,0.673828125,T+,T+,T+,0.9953383979326027,0.8177653918437031,62.77609465239355,2454.0869952352614,117,283,116,273
"[[-8, -9, 10], [8], [1, -7, 4, 5, -6, 10, -2, -9], [-4, 2], [-5, 3, -2, -4, 7], [3, 9, 6, -1, -2]]",262,762,0.744140625,6,4,"[[3, 6, 9, -2, -1], [3, -5, -4, 7], [2, -4], [10, -9], [8]]","[[1, 3, 5, 6, -9, -8, -7, -4], [4, 7, 9, -10, -2, -6, -1], [1, 3, 4, 6, 7, 9, 10, -5], [1, 5, 6, 7, 9, 10, -4, -2], [4, 5, 6, -10, -9, -2, -7, -1], [3, 5, 10, -7, -4, -2], [-8, -10, -2], [-8, 9, 4], [9, 10, -6, -2], [1, 5, 6, -10, -7], [-8, -3, -1], [2, 3, 4, 5, 7, -10], [1, -8, -7, -4, -2], [-8, 2, 3, 4], [1, 2, 9, -7, -5], [3, 5, -10, -8, -1], [-7, -6, -4, -2], [1, 6, -10, -9, -7, -4], [3, 4, 7, -8, -6, -2], [6, 7, -1, -10, -3, -2], [-8, -7, -3, -10]]",1.0,0.744140625,1.0,1.0,1.0,1.0,0.744140625,T+,T+,T+,0.9802858772648628,0.8414037257343105,265.4828998522486,2135.7581751671496,124,276,120,269
"[[-10], [7, 6, 3, 2, 4, -5, 8, 1], [10, -5, 6], [-4, 1, 5, -2, 8, 9, -3, -7], [-8, 2], [6, -3, -9, 10, 5], [1, -7, 10, 8]]",220,804,0.78515625,7,4.428571428571429,"[[1, 4, -7], [10, -5, 6], [10, -3, 6, -9], [8, 1, -4, -7], [-8, 2], [-10]]","[[7, 8, -9, -6, -5, -4, -1], [1, 3, 5, 6, -9, -8, -7, -4], [1, 4, 5, 8, 10, -3], [3, 7, 8, -9, -4, -2], [4, 7, 9, 10, -8, -6, -5, -3], [1, 5, 7, 8, 9, -6, -2], [1, 3, 4, 5, 6, 9, -8, -2], [2, 3, 4, 5, 6, 8, -7, -1], [1, 8, 10, -9, -6, -3], [2, 3, 7, 9, 10, -6, -5, -4, -1], [2, 3, 5, -9, -4, -1], [5, 6, 7, 8, 10, -9, -2], [-6, 10, -2], [8, 10, -1], [5, 9, -2, -8, -1], [2, 7, 8, 10, -3], [10, 3, -4, -9], [3, 4, 9, -8, -6, -1], [3, 4, 5, 7, -8, -2], [-8, -7, -6, -3, -2], [1, 9, 10, -4, -2], [4, 5, 10, -9, -6], [5, 8, 9, -7, -6, -4, -1], [1, 3, 5, 8, -9, -2], [3, 4, 8, 9, -5, -2]]",0.9892578125,0.7744140625,0.9892578125,0.9892578125,0.9892578125,0.9974554707379135,0.767578125,T+,T+,T+,0.989038317942546,0.8277829603608811,147.61697382985284,2319.1840540727344,114,286,112,277
"[[2, 6, -4, -3, 5, -10, -8], [2, 8, -7, 3], [2, -4, 8], [-3, -7, -9, -5, 4, -10, -6, 2], [-1, -9, -3, -7, -8, 5]]",837,187,0.8173828125,5,5.6,"[[4, 5, 6, -2, -9, -8, -7, -10, -3, -1], [8, 2, -4], [2, 5, 6, -8, -4, -3], [8, -7, 2, 3]]","[[8, -7, -2], [-4, -9], [10, 5, -2], [9, 10, -1], [-5, 4, 7], [-3, 6, -10], [2, 3, 7, -10, -1], [-7, -6, 5], [1, 2, 3, 4, -7, -6, -5], [1, 10, -7], [-4, -2], [-8, -5], [-8, 2], [5, -10], [4, -3]]",0.9765625,0.837890625,0.837890625,0.9765625,0.9765625,0.9804147465437788,0.84765625,T-,T+,T+,0.9860344482274891,0.891515790141037,188.06899157600805,1460.9172829285933,354,46,343,46
"[[-1, -2, -4, 9, 10, 3, -6, 7, 5], [-10, 2, -7, 8, -9, -3, 4, -6, 5], [-5, 10, -7, 4, -8, 1, 2, -3]]",1016,8,0.9921875,3,8.666666666666666,"[[2, 4, 5, 8, -10, -9, -7, -6, -3, -1], [1, 2, 4, 10, -9, -8, -7, -5, -3]]","[[-8, 3, 5], [3, -5, -1], [8, 10, -3], [8, -6, -10], [-8, -3], [1, 10, 3], [8, -7, 5], [2, 3, -10], [10, 5, -9], [8, -4, 7], [9, -2], [-5, 6]]",0.9951171875,0.978515625,0.978515625,0.9951171875,0.9951171875,0.9950347567030785,0.9833984375,T-,T+,T+,0.9941255171016684,0.9770968034405242,79.10951838611875,308.4289937821242,397,3,386,3
"[[-6, 7, 1], [-3, -1, 9, -5, -7, 2, 10, -8], [-2, -5, 3, -4, 8, -1]]",876,148,0.85546875,3,5.666666666666667,"[[2, 9, 10, -8, -7, -6, -5, -4, -3, -1], [1, -6, 7], [3, 8, -2, -5, -4, -1]]","[[-7, -6, 5], [-8, 2, 6], [4, -10, 7], [10, 3, 4], [10, -4, -2], [3, -4, -9], [-4, -10], [-6, -5], [10, -3], [-7, 6], [3, -1]]",0.9970703125,0.85546875,0.85546875,0.9970703125,0.9970703125,0.9965870307167235,0.8583984375,T-,T+,T+,0.993421686506032,0.8889294482902673,88.58774828478968,1495.7466052259404,361,39,351,38
"[[-2, -1, -9, 4, 3, -8], [9, 7, -5, -1, 2, 4, -8, 10, -3], [-5, 2, 6, -1, 7, 3], [-4, -1, -10], [5], [10], [3, -8, 2], [4], [-5, 10, -6, -2, -9, 1, 8, -3]]",56,968,0.9453125,9,4.222222222222222,"[[-8, 2, -4], [2, 3, -4, -9], [1, -5, 4], [5, -10], [-5, -1], [-7, 10], [10, -3], [3, 5], [-2, 7]]","[[1, 6, 7, -10, -9, -8, -3, -2], [6, 7, 8, 9, -10, -5, -4, -3], [1, 3, 6, -10, -9, -7, -4, -2], [2, -10, -9, -6, -5, -4, -3], [9, -10, -7, -6, -4, -2], [1, -8, -7, -6, -5, -4, -3, -2], [1, 6, 8, 9, -10, -7, -3, -2], [3, 7, 8, -9, -4, -2], [1, 6, -10, -9, -8, -7, -5, -4], [1, 7, -10, -5, -4], [1, 3, 8, -7, -4], [8, -10, -9, -7, -6, -4]]",0.970703125,0.9150390625,0.970703125,0.970703125,0.970703125,0.9978046103183315,0.8896484375,T+,T+,T+,0.9671432964149259,0.9356525848404652,442.469242204936,866.5431682690072,20,380,20,369
"[[7, 1, 3, -5, -9, 4], [5, 6, -2, -8, 4, 3, -1], [3, -2], [-8, 7, 3], [6, -9, 3, 8, 4, 1, -10, 5], [-7, -8, 2]]",570,454,0.556640625,6,4.833333333333333,"[[1, 2, 3, 7, -10, -6], [-8, -7, 2], [-8, 3], [3, -2]]","[[9, 10, -2, -7, -6, -5, -1], [2, -10, -9, -6, -5, -4, -3], [1, 2, 3, 8, -7, -6, -4], [9, -10, -7, -6, -4, -2], [6, 10, -2, -9, -5, -4, -1], [2, 3, 5, -9, -4, -1], [8, 10, -3], [8, -6, -10], [2, -4, 7], [4, 5, 10, -7, -6], [5, 7, 10, -9, -6], [-6, 4, -10], [5, 9, -6, -4, -1], [9, -3, 6, -10], [8, 3, -1], [9, 4, -2, -1], [1, 5, 9, 7], [8, -5], [1, 2, 10, -4, -3], [9, 10, -6, 7], [1, -5, 6], [4, -3], [5, 6, -10], [-9, 7, 8, 10, -2], [-8, -3, -2], [1, 3, 6, 9, 10, -4, -7]]",0.98828125,0.6513671875,0.6513671875,0.98828125,0.98828125,0.9924812030075187,0.6494140625,T-,T+,T+,0.9883443469065283,0.7149381080055037,156.96242863556313,3838.8245188908095,235,165,231,158
"[[1, 2, -5, -6, 10], [6, -5, 4, 9, -1], [3, -2, -7, -8], [2, -7, 9, -6, 3, -8, 4, 10, 1], [8, 9, -6, 4, 10, 1, -7, -2], [2, 7], [-5], [4, -3, 5, 2, -1]]",333,691,0.6748046875,8,4.875,"[[3, 5, -8, -7, -2], [4, -3, 6, -1], [2, 4, -10, -6, -1], [2, 7], [1, 2, 3, 4, 5, 10, -8, -6], [-5]]","[[4, -10, -9, -8, -7, -3, -1], [8, -10, -9, -7, -6, -4], [1, 4, 5, 8, 10, -3], [3, 7, 8, -9, -4, -2], [3, 4, 7, 9, 10, -8, -6, -1], [9, -10, -7, -6, -4, -2], [1, 6, 7, -10, -9, -8, -3, -2], [3, 6, 10, -9, -7, -4, -2], [5, 8, -10, -9, -6, -4, -3], [5, -2], [-4, 5, -1], [7, 9, 10, -6, -2], [9, -4, 5, -10], [6, 8, 10, -1, -7, -2], [4, 7, -10, -2, -6, -1], [1, 8, 10, -6, -3], [4, 5, 10, -9, -6], [3, 5, -9, 10, -1], [-8, 2, -3, 6], [3, -10, 9, -4, -7, -1], [-7, 5], [4, 6, -10, 8, 9, -3, -2], [1, -4, -7], [-9, 6, 7, 8, 10, -3, -2]]",0.9736328125,0.716796875,0.9736328125,0.9736328125,0.9736328125,0.9916550764951322,0.7021484375,T+,T+,T+,0.9762996468994493,0.7922524756986087,319.1640101459817,2797.660130742565,182,218,174,215
"[[8, -3, 6], [-7, -8, 10, 6, 2, 9, 4], [3], [10, 2, -5, -7, -3], [7, 8, 9, 3, 6, 4, 2, 5, -10], [-4, -8, 10, -3, 5, 1, -6, 2, -7], [5, -10, 7, -3, 4], [8, 10, 1, -7, 4, -6, 5, 2]]",330,694,0.677734375,8,5.875,"[[4, 5, -10, 7], [-7, 2, 10], [8, 6], [3]]","[[4, 5, 10, -9, -7, -6], [7, 8, -9, -6, -5, -4, -1], [1, 4, 5, 8, 10, -3], [1, 5, 7, 8, 9, -6, -2], [9, -10, -7, -6, -4, -2], [4, 5, 9, -2, -8, -7, -1], [6, 10, -2, -9, -5, -4, -1], [1, 4, 8, -7, -5, -2], [1, 6, -10, -9, -8, -7, -5, -4], [1, 4, 5, 8, 10, -7, -6, -2], [7, 9, 10, -6, -4, -2], [1, 6, 9, 10, -8, -7, -4, -2], [9, -6, -7, -1], [-3, -1, -2], [2, 6, 7, -8, -4], [5, 6, -10, -9, -7, -2], [4, 7, -1, -6, -2], [8, -10, -9, -6, -4], [1, 7, 9, -4, -2], [5, 7, 10, -9, -8, -6], [9, -7, -6, -5, -2], [-7, 2, -3, 5], [3, 6, -9, -8, 10, -4, -1], [2, 10, -3], [-6, -3], [-8, -3]]",0.982421875,0.708984375,0.982421875,0.982421875,0.982421875,1.0,0.69140625,T+,T+,T+,0.9795671275511071,0.8036417620824452,275.1620400726617,2644.284765424407,153,247,150,239
"[[7, 1, -3, 2, -4, 10, 5, 6, -8], [5, 10, -4, -1, -7, -9, -6, 8, -2], [10, -6], [-5, 4, 9, -1, -10, 3, -6, 7, 2], [3, 10, 2, 8, -7, 4, 6], [-10, 1], [5, 1, -4, 10, -6, -2, -8, -3], [-1, -4, -10, 3, 6, 2, 7]]",492,532,0.51953125,8,6.625,"[[2, 3, 4, 6, 8, 10, -7, -5, -1], [2, 3, 6, 7, 8, 9, -10, -5, -4, -1], [10, -6], [1, 2, 7, -8, -4], [1, -10]]","[[1, 3, 5, 6, -9, -8, -7, -4], [2, -10, -9, -6, -5, -4, -3], [1, 4, 5, 8, 10, -3], [5, -9, -8, -7, -6, -4, -3, -2], [3, 7, 8, -9, -4, -2], [1, 2, 10, -7, -4, -3], [9, -10, -7, -6, -4, -2], [1, 2, 3, 4, 5, 10, -8, -7], [1, 4, 8, -7, -5, -2], [5, 8, -10, -9, -6, -4, -3], [-8, 4, 5, -2], [8, 9, 5, -10], [-8, -5, 4, -9], [-10, -9, -7, -6, -4], [3, 4, 7, 9, -5], [-8, -6, 4, -10], [-8, -4, -3, 6], [9, -1, -2, 7], [3, -4, -1, -9], [-7, 10, 3, -2], [-5, -4, 6, 7], [1, 2, 4, 7, -5, -3], [8, 10, 5, -9], [8, -4, -1], [-10, -1], [10, 6]]",0.9794921875,0.6796875,0.6796875,0.9794921875,0.9794921875,0.9787234042553191,0.6884765625,T-,T+,T+,0.9872456410159238,0.7890831200342371,171.75830009488737,2840.3406874046595,229,171,221,168
"[[-6, 1, 8], [-6, 2, -1, 3]]",832,192,0.8125,2,3.5,"[[-6, 2, 3, -1], [8, 1, -6]]","[[-6, 3, 7], [8, -4, 5], [3, 5, -2], [1, 2], [8, -3, -1], [-8], [-5], [6]]",1.0,0.82421875,0.82421875,1.0,1.0,1.0,0.82421875,T-,T+,T+,0.9959011198199397,0.8632809997697543,41.39310888134963,1380.6757490033522,336,64,291,55
"[[-6, -5, -3], [-7, -1, 10, -3, 5, -6, -4], [-3, 2, -6, 9, -7, -8, -1, 4, 10], [1, -10, 8, -9, 3, -6, -2], [-5], [-9, 8, -1, 7, -5], [-6, -8, -1, 9, -3, 7, -10], [-7, -5, 4, -1, -9, -3]]",495,529,0.5166015625,8,5.625,"[[5, 8, 10, -9, -7, -6, -4, -3, -1], [1, 3, 4, 5, 8, -10, -9, -7, -6, -2], [-5]]","[[4, -10, -9, -8, -7, -3, -1], [8, -10, -9, -7, -6, -4], [3, 7, 8, -9, -4, -2], [3, 4, 7, 9, 10, -8, -6, -1], [9, -10, -7, -6, -4, -2], [1, 8, 10, -9, -6, -3], [2, 6, 9, -10, -8, -3, -1], [9, 2, 3, -10], [1, -2, 6, -10], [4, 7, -10, -6, -1], [1, 2, 4, 9, 10, -7], [7, 9, 10, -6, -2], [-7, 3, -4, -2], [2, 7, -10, -8, -6], [6, 8, 10, -7, -2], [2, -9, 7, 8, 10], [6, -10, -8, -7, -5, -4, -3], [1, 10, -4], [2, 7, -8, -6, -3, -1], [5]]",0.986328125,0.740234375,0.740234375,0.986328125,0.986328125,0.9818652849740933,0.75390625,T-,T+,T+,0.9934651244168772,0.8290397273185933,88.00278578406854,2302.259631877816,237,163,229,160
"[[-6, -1, 9], [-6, 8, 7, 5, 4], [-8], [10, -4, -2, 5, -9]]",408,616,0.6015625,4,3.5,"[[9, -6, -1], [5, 10, -9, -4, -2], [-6, 4, 5, 7], [-8]]","[[1, 2, 3, 4, 5, 7, 9, -10], [2, -10, -9, -6, -5, -4, -3], [1, 3, 4, 6, 7, 9, 10, -5], [1, 5, 6, 7, 9, 10, -4, -2], [1, 2, 10, -7, -4, -3], [1, 2, 6, 9, 10, -7, -5], [1, 2, 3, 6, 10, -9, -5, -4], [9, -10, -7, -6, -4, -2], [1, 2, 3, 7, -10, -9, -5, -4], [3, 5, 10, -7, -4, -2], [2, 3, 5, -9, -4, -1], [7, 9, 10, -6, -4, -2], [1, 5, 6, -10, -4], [3, 6, -9, -7, -4], [2, 3, 7, -10, -1], [5, -10, -9, -7, -2], [4, 5, 10, -9, -7], [1, 4, 9, -10, -6, -5], [10, -9, -5, -4, -2], [6, -10, -1, -3, -2], [8]]",1.0,0.7412109375,1.0,1.0,1.0,1.0,0.7412109375,T+,T+,T+,0.9941954013967816,0.8051264342633516,78.16841207517231,2624.2912267205784,179,221,176,213
"[[-9, -7, -10, -3, 8, -6, -1, -2, -5], [10, 7, -6], [1, 6, -3, 9]]",830,194,0.810546875,3,5.333333333333333,"[[-6, 10, 7], [1, -3, 6, 9]]","[[-8, 3, 5], [8, -6, -10], [-7, 10, -6], [-8, -3, -10], [4, -1, 7], [-4, 5, -2], [3, -5, 4], [-7, -2], [8, 5], [-8, 10, 6], [9, -10, 7], [-5, -4, -1], [1, 2], [8, -9, -2, 7]]",0.998046875,0.818359375,0.818359375,0.998046875,0.998046875,0.9976190476190476,0.8203125,T-,T+,T+,0.9966347601698162,0.8737725295808747,45.31845727140179,1699.859300771981,345,55,335,54
"[[-5, 3, -7, -1], [4, 3], [7, 5, 9, 4, -3, 8, -6], [1, 8, 6, -7, 5, -2, 3], [2]]",360,664,0.6484375,5,4.2,"[[1, 3, 5, 6, 8, -9, -7, -4, -2], [4, 5, 7, 8, 9, -6, -2], [3, -1, -7, -5, -4, -2], [3, 4], [2]]","[[1, 4, 5, 8, -3], [1, 5, -7, -6, -4], [5, 7, 8, -9, -4, -3, -1], [4, 6, 7, -9, -5, -3, -1], [9, -7, -6, -5, -3], [3, 5, 6, 8, -2, -9, -7, -1], [5, 8, -9, -6, -4, -3], [4, 5, 8, 9, -6, -1], [-8, 9, -4], [8, 9, -5], [1, -6, 5, -9], [-8, 5, -1, 6], [-8, 1, -5, 6], [-8, 9, -6, -1], [1, 6, -8, -4, -3], [3, -2, 6, 7], [-3, -2], [-4, -2]]",0.998046875,0.646484375,0.998046875,0.998046875,0.998046875,0.9969879518072289,0.6484375,T+,T+,T+,0.9902668587824345,0.7611854339957728,114.43705595861127,2807.8536253266234,191,209,172,192
"[[8, 1, 6, -7, -9, 3, -4, -10, -2], [9], [-7, 3, 6, -10, 5, 1, -8, -9, 4]]",508,516,0.50390625,3,6.333333333333333,"[[1, 3, 5, 6, -10, -8, -7], [9]]","[[1, 2, 10, -7, -4, -3], [2, 3, 5, -10, -8, -6, -4, -1], [1, 2, 3, 8, -7, -6, -4], [2, 3, 4, 7, 8, -10, -6, -1], [2, 3, 4, 5, 6, 8, -7, -1], [3, 5, 10, -7, -4, -2], [2, 3, 7, 8, -10, -5, -4, -1], [-10, 6, 7], [-8, 2, 10], [1, -6, -4, -2], [8, 10, 6, 7], [1, 4, 8, -7, -2], [-7, -3, -1, -2], [8, 1, 5, -3], [1, -6, 7, -8, 10, -2], [3, 2, -5, 4], [-9]]",0.99609375,0.70703125,0.70703125,0.99609375,0.99609375,0.9972375690607734,0.70703125,T-,T+,T+,0.9965057772751396,0.8346348573002957,47.055422865568,2226.912057321779,222,178,217,172
