minSup;numCands;numAlphUsed;numSetsUsed;numSets;countSum;dbSize;ctSize;totalSize;seconds
118;0;127;0;0;2995;18809;2001;20810;0
114;1;127;0;0;2995;18809;2001;20810;0
104;3;127;1;1;2886;18199;2018;20217;0
94;8;126;2;2;2877;18154;2022;20177;0
84;17;125;6;6;2701;17242;2088;19329;0
74;29;125;6;6;2679;17111;2092;19203;0
64;79;123;9;9;2598;16627;2159;18786;0
54;240;124;12;12;2415;15630;2266;17896;0
44;964;123;17;17;2234;14593;2389;16982;0
34;9120;123;29;29;1935;13080;2744;15824;0
24;200269;120;43;43;1697;11697;3321;15018;0
