minSup;numCands;numAlphUsed;numSetsUsed;numSets;countSum;dbSize;ctSize;totalSize;seconds
0;0;151;0;0;6834;42520;2654;45174;0
98;12751;143;36;36;4133;26813;3650;30463;0
