minSup;numCands;numAlphUsed;numSetsUsed;numSets;countSum;dbSize;ctSize;totalSize;seconds
123;0;127;0;0;3116;19555;2003;21558;0
114;3;127;1;1;3000;18899;2019;20918;0
104;3;127;1;1;3000;18899;2019;20918;0
94;11;125;4;4;2891;18300;2051;20351;0
84;23;125;5;5;2793;17796;2074;19870;0
74;47;125;7;7;2721;17424;2111;19535;0
64;89;123;10;10;2690;17206;2203;19409;0
54;283;123;17;17;2433;15775;2402;18176;0
44;1249;123;20;20;2282;14917;2492;17409;0
34;13336;122;31;31;2016;13510;2825;16335;1
24;233881;119;50;50;1705;11926;3332;15258;6
