minSup,numCands,numAlphUsed,numSetsUsed,numSets,countSum,dbSize,ctSize,totalSize,seconds
139,0,52,0,0,2933,14959,692,15651,0
138,1,52,0,0,2933,14959,692,15651,0
38,25709,49,40,40,1296,7802,1700,9502,0
