minSup;numCands;numAlphUsed;numSetsUsed;numSets;countSum;dbSize;ctSize;totalSize;seconds
1768759347;0;37;0;0;1151;5369;441;5810;0
3;31243;28;26;26;488;2621;900;3521;0
