minSup;numCands;numAlphUsed;numSetsUsed;numSets;countSum;dbSize;ctSize;totalSize;seconds
125;0;127;0;0;3167;19866;2006;21872;0
124;1;127;0;0;3167;19866;2006;21872;0
114;3;127;1;1;3051;19215;2023;21237;0
104;4;127;1;1;3051;19215;2023;21237;0
94;11;125;4;4;2941;18622;2053;20675;0
84;23;125;5;5;2841;18096;2077;20174;0
74;55;125;8;8;2754;17663;2142;19805;0
64;112;125;11;11;2615;16900;2241;19141;0
54;395;125;19;19;2455;15999;2472;18472;0
44;1397;121;23;23;2283;14997;2576;17573;0
34;17032;121;28;28;2024;13591;2810;16401;0
24;263717;117;49;49;1705;11848;3457;15305;2
