minSup,numCands,numAlphUsed,numSetsUsed,numSets,countSum,dbSize,ctSize,totalSize,seconds
742,0,38,0,0,6912,26250,572,26822,0
701,7,38,3,3,6152,23168,619,23788,0
601,48,34,13,13,4041,15313,750,16063,0
501,149,34,18,18,3019,12286,863,13149,0
401,344,34,25,25,2381,10442,1063,11505,0
301,511,34,26,26,2064,9826,1088,10914,0
201,540,34,27,27,2019,9746,1111,10856,0
101,700,34,33,33,1811,9248,1228,10475,0
1,3203,34,50,50,1380,7148,2051,9199,0
