minSup,numCands,numAlphUsed,numSetsUsed,numSets,countSum,dbSize,ctSize,totalSize,seconds
179,0,42,0,0,2140,10288,530,10818,0
101,14,42,4,4,1943,9632,591,10223,0
1,4975,41,48,48,888,5410,1904,7313,0
