minSup;numCands;numAlphUsed;numSetsUsed;numSets;countSum;dbSize;ctSize;totalSize;seconds
119;0;127;0;0;3021;18967;2005;20972;0
114;1;127;0;0;3021;18967;2005;20972;0
104;3;127;1;1;2911;18351;2022;20373;0
94;8;126;2;2;2902;18306;2026;20333;0
84;17;125;6;6;2724;17383;2092;19475;0
74;33;125;6;6;2703;17252;2096;19348;0
64;87;123;12;12;2599;16657;2275;18932;0
54;265;123;16;16;2411;15635;2376;18010;0
44;1171;124;22;22;2194;14394;2609;17003;0
34;15076;121;32;32;1933;12957;2903;15861;0
24;250219;120;44;44;1675;11654;3292;14946;1
