Support;Fold 1;;;;Fold 2;;;;Fold 3;;;;Fold 4;;;;Fold 5;;;;Fold 6;;;;Fold 7;;;;Fold 8;;;;Fold 9;;;;Fold 10;;;;Overall
;6+;6-;30+;30-;6+;6-;30+;30-;6+;6-;30+;30-;6+;6-;30+;30-;6+;6-;30+;30-;6+;6-;30+;30-;6+;6-;30+;30-;6+;6-;30+;30-;6+;6-;30+;30-;6+;6-;30+;30-;6+;6-;30+;30-;AvgAccuracy;StdDev;MaxAccuracy
20;15;2;1;3;15;5;1;0;13;5;3;0;19;1;1;0;11;5;4;1;11;3;4;3;15;4;2;0;11;6;4;0;10;6;4;1;10;3;3;0;0.634146;0.195122;0.131707;0.039024;0.7659;0.0753;0.9524
10;15;2;1;3;15;5;1;0;13;5;3;0;19;1;1;0;11;5;4;1;11;3;4;3;15;4;2;0;11;6;4;0;10;6;4;1;10;3;3;0;0.634146;0.195122;0.131707;0.039024;0.7659;0.0753;0.9524
0;11;2;1;7;14;2;4;1;7;4;4;6;17;0;2;2;11;2;7;1;11;2;5;3;11;2;4;4;9;0;10;2;7;1;9;4;6;2;4;4;0.507317;0.082927;0.243902;0.165854;0.7512;0.1308;0.9048
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.7659;0.0753;0.9524
