minSup;numCands;numAlphUsed;numSetsUsed;numSets;countSum;dbSize;ctSize;totalSize;seconds
1852402976;0;81;0;0;3491;19858;1175;21033;0
23;4361;78;57;57;2063;13928;2441;16369;0
