minSup;numCands;numAlphUsed;numSetsUsed;numSets;countSum;dbSize;ctSize;totalSize;seconds
120;0;127;0;0;3044;19086;2005;21092;0
114;2;127;0;0;3044;19086;2005;21092;0
104;3;127;1;1;2932;18457;2022;20478;0
94;11;125;4;4;2825;17879;2052;19930;0
84;19;125;6;6;2740;17447;2093;19540;0
74;44;124;8;8;2653;16977;2117;19095;0
64;88;122;10;10;2633;16824;2168;18992;0
54;285;122;16;16;2375;15397;2325;17722;0
44;1322;123;21;21;2178;14340;2497;16837;0
34;17896;121;29;29;1940;12991;2798;15789;0
24;330468;117;44;44;1672;11573;3269;14841;0
