minSup,numCands,numAlphUsed,numSetsUsed,numSets,countSum,dbSize,ctSize,totalSize,seconds
540,0,122,0,0,18441,112941,2011,114952,0
443,48,116,9,9,15364,93566,2263,95829,0
343,665,116,17,17,13914,84872,2812,87683,0
243,7651,116,26,26,12903,79624,3561,83185,0
