minSup;numCands;numAlphUsed;numSetsUsed;numSets;countSum;dbSize;ctSize;totalSize;seconds
283;0;116;0;0;9735;58789;1894;60683;0
273;71;111;3;3;8603;51524;1928;53452;0
263;207;109;5;5;8056;48127;1999;50127;0
253;455;108;6;6;7784;46478;2055;48533;0
243;775;108;7;7;7540;45167;2082;47249;0
