minSup;numCands;numAlphUsed;numSetsUsed;numSets;countSum;dbSize;ctSize;totalSize;seconds
1768759347;0;45;0;0;1585;7488;602;8091;0
9;14253;44;33;33;683;4039;1420;5459;1
