minSup;numCands;numAlphUsed;numSetsUsed;numSets;countSum;dbSize;ctSize;totalSize;seconds
123;0;126;0;0;3116;19476;1987;21463;0
114;3;126;1;1;3001;18829;2003;20832;0
104;3;126;1;1;3001;18829;2003;20832;0
94;13;125;4;4;2876;18174;2054;20228;0
84;23;125;5;5;2791;17710;2080;19790;0
74;55;125;7;7;2713;17313;2124;19437;0
64;126;124;11;11;2619;16744;2249;18993;0
54;513;123;18;18;2356;15253;2439;17692;0
44;2107;120;25;25;2195;14413;2618;17031;0
34;36768;120;32;32;1946;13115;2938;16053;0
24;409870;119;47;47;1682;11673;3441;15114;1
