Used Theory,T+,T-,Similarity of T+,Similarity of T-,Similarity of T_MF,Similarity of T_Comp,Similarity - Common,Overlap Size,MF Theory,Comp Theory,Compression of T+,Compression of T-,# Sampled Positives,# Sampled Negatives,# Unique Sampled Positives,# Unique Sampled Negatives
"[[7, -1, -5, 9, -8, -14, -12, -4, 3, -10, -2, -6, 13], [6, -7], [9, -8, -13, 14], [-14, 7, -12, 11, -1, 8, -6, -2, -9, 3, 10, 4], [-9, -6], [-10, 9, -14, 5, 8, -2, 7, 3, 11, 13, -12, -1, -4], [-9, 5, -14, -4, 11, -7, 13, 10, -12, 3, -1, 2], [14, -12, -4]]","[[-7, -11, -10], [8, 11, 14, -10, -7, -3], [-13, -12, -4, 14], [-8, -13, -11, 14], [3, 14, -12, -11, -4, -2], [-6, -9], [-7, 6]]","[[4, 8, 11, -13, -7, -6], [-13, 6, -2, -9], [4, -12], [2, -11], [8, 12, -11], [-6, -13, -12], [8, 4, -3], [10, -14, -2], [3, 14, 6], [1, -6, 11, -4], [2, -3], [2, -12, 5, -9, -7, 11, -1], [8, 10, 7], [12, 5, 7], [-8, 11, 5, -9], [-8, -3, -1, -9], [1, 14, -9], [-14, -12, -11, -9, 13], [-5], [9]]",0.923583984375,0.59130859375,0.59130859375,0.923583984375,0.9426952141057935,0.58154296875,T-,T+,0.9468492614271391,0.6826691937845945,267,133,267,133
"[[-2], [14, -10, -2, 7, -12, 6, -13, -1, -5, -11], [-4, 2]]","[[-2], [-4]]","[[5, 7, 11, 13, -12, -10, -9, -8], [1, 5, 9, 13, 14, -10, -8, -7], [1, 11, -10, -9, -8, -6], [1, 4, 6, 10, -13, -11, -9, -8, -7], [4, 7, 8, 11, -3], [4, 7, 10, 12, -9, -6, -5, -3], [3, 7, 10, -14, -13, -12, -8, -6], [2, 4], [2, 10], [-14, 13, -10, 7], [4, 5, 14, 7], [9, -10, -1], [-12, -6, 4, -3], [8, -11, 14, -10], [1, -13, -10, 6], [13, -14, -9, -5, -1], [8, 9, 10, -11], [3, 14, -13, -9, -8, -1], [6, 9, 13, -10, -8, -3], [1, 3, 11, -14, -5], [-14, -10, -8, -3, -1], [8, 13, 14, -7, -1], [4, -11, -8, -5, -1], [8, 3, -5, 13], [-13, 3, -10, 6], [4, 5, 14, 6], [11, 3, 13, -1], [2, 3, -12], [5, 8, 9, 11, -14, -12, -7, -6], [3, 4, 12, -10], [1, -11, 7, -5, 12, -3, 14], [8, -7, -13], [-10, 7, -8, -5, 12, -1], [13, 5, -11], [2, -14, -13, -11, 8, -6, 12], [-8, 9, 7]]",1.0,0.62255859375,1.0,1.0,1.0,0.62255859375,T+,T+,0.9957363722097137,0.7483912734437588,190,210,190,210
"[[9], [-2, 12, -7, -4, 5, 6, -8, 13, -10, -14], [-8], [14, 9, -5, -11, 6, -7, 12, -2, -8, -1]]","[[9], [-8]]","[[4, 8, 11, -13, -7, -6], [1, 3, 12, -14, -11, -5, -2], [2, 6, 12, -14, -11, -7, -4, -3], [1, 12, 14, -10, -3, -2], [7, 11, 13, -14, -9, -5, -1], [3, 12, -14, -11, -10, -6, -5, -4], [2, 7, 10, 12, 14, -5], [2, 8, 12, -13, -7, -3], [2, 3, 5, 8, 11, -12, -7, -1], [4, 6, 10, -14, -13, -3, -2], [5, 10, 14, -9, -7, -6, -4, -3, -2], [-13, 6, -2, -9], [4, 7, 8, 11, -3], [4, 7, 10, 12, -9, -6, -5, -3], [8, -9], [4, 13, -9], [2, -14, 3, -13], [-6, 4, -12, -10], [4, 6, 12, -13, -1], [8, -5], [1, 3, 10, 11, -7], [1, 5, -11, 7], [8, 10, 12], [1, 2, 11, 14], [-2, -5, -4, -3, -1], [1, -14, 4, 13], [-14, 3, 5, 7], [2, 13, -9], [11, 12, -13, -7, -4], [4, 11, -14, -3, -1], [6, -13, -11, -10, -9], [4, 5, -12, -11, -1], [4, 5, 6, 8, 11], [2, -13, -12, -5, -3], [-6, 13, -10, -9], [-4, 13, -10, 14]]",1.0,0.56317138671875,1.0,1.0,1.0,0.56317138671875,T+,T+,0.9984387542382642,0.7819282212387012,159,241,159,241
"[[-5, 7, -12, -13, 2, 1, -4, 6, -3, 10, 14, 9], [-8, -9, 14], [8], [1, -13, 7, 4, -9, 2, -3, -14]]","[[14, -9], [8]]","[[13, 14, -12, -11, -10, -7, -4, -1], [-13, 6, -2, -9], [-8, -11], [-8, 9, 11], [-14, -10, -1], [4, 13], [2, -5, -4], [1, 12], [-8, 10, -4], [-14, 3], [1, 5, 9, -10, -7], [-11, 5, 6, -1], [10, 4, -3, -2], [6, -14, -11, -4, -3], [5, 6, 11, -10, -8], [-8, -3, 12, 5], [1, 2, -4, -3], [1, 3, -12, -11, 10, -4, -2], [9, -5, 14, -1], [11, 13, -9], [-6, -13, -12], [-5, 12, 7], [-8, 1], [9, 2, 5]]",0.9979248046875,0.58740234375,0.58740234375,0.9979248046875,1.0,0.5853271484375,T-,T+,0.9981761983098935,0.7257815914442282,244,156,244,156
"[[-2, 10, -11, 4], [11, -2, -1, 5, -8, 13, 14], [-4]]","[[10, -11, -2], [-4]]","[[1, 11, -10, -9, -8, -6], [-13, 6, -2, -9], [3, -14, -5], [-8, 13], [9, -11], [8, -7, -13], [12, -3, -2], [-8, 10, -13], [-6, 11, -1], [5, 6], [2, 3, -12], [1, -13, -11, 14], [-8, -3, -10, -1], [-6, 10, -5, -3], [2, -14, -12], [-14, 13, 7], [3, -1, -13], [-12, -1, 14, -9], [-8, -5, 7, -13], [3, -5, 13], [2, 10, 12], [4]]",0.99609375,0.54510498046875,0.54510498046875,0.99609375,1.0,0.54119873046875,T-,T+,0.9979200926776318,0.7442609324180074,267,133,267,133
"[[-10, 1, -12, 14, -8, 11], [-5, -6, 13], [1, 14, 5, 3, 11, -12, 6, 4, 9, 2], [9, -8], [-6, -2, 8, -13, 12, 7, 1, 3, -9, 11, -5, -14, -4], [-7, 2, -6, 4], [-2, 14, 12, 1, -9, -8]]","[[-6, -5, 13], [-7, 2, -6, 4], [-8, 9], [1, -10, -9, -4, 14]]","[[-10], [10]]",0.965576171875,0.399658203125,0.399658203125,0.965576171875,0.9495192307692307,0.40625,T-,T+,0.9915507425772181,0.802842069741986,325,75,325,75
"[[3, 2, -4, -8, 7, -6, 14, 1, 5, -12], [9, -10, -4, -1], [9], [10, -13, 3, -7, -14], [2]]","[[2], [9]]","[[1, 3, 4, 5, 7, 12, -13, -11, -10], [3, 6, 7, 8, -13, -10, -5, -1], [1, 3, 4, 11, 13, -14, -7, -5], [6, 10, 14, -2, -8, -4, -1], [3, 5, 6, 11, 12, -13, -10, -8], [1, 11, -10, -9, -8, -6], [4, 7, 10, 12, -9, -6, -5, -3], [3, 7, 10, -14, -13, -12, -8, -6], [1, 5, 11, 12, -13, -10, -7, -4, -2], [6, -14, -12, -10, -8, -3, -1], [-2, -9], [13, -10, 7], [-12, -1, 14], [10, 3, -4, -12], [-6, -4, -11], [5, 7, 8, 14, -13], [10, 5, 13, -11], [8, 4, -3], [-6, 3, 5, -9], [-8, 4, 14, 7], [-14, -5, 13, -9], [-14, 10, 4, -2], [1, 10, -4, 14], [-13, 14, -10, -9], [8, 10, -2, 7], [6, 8, -10, -7, -1], [-13, 4, 8, -7, -6, 11], [1, 3, -12, 5, 6, 10], [4, -13, -12, -10, -6], [3, -11, -8, -5, -1], [1, 7, 12, -13, -5], [-8, -12, -10, -2], [1, 12, -3, -2], [-7, 10, -13, -9], [1, -14, 3, -11, 12], [-5, -3, -2]]",0.9921875,0.6070556640625,0.9921875,0.9921875,1.0,0.5992431640625,T+,T+,0.9984387542382642,0.7854010599162391,168,232,168,232
"[[-1, -13, 8, 6, 3], [9, -1, 10, -2, -14, -11, -7, 8, -12]]",[],"[[10], [-10]]",0.967041015625,0.032958984375,0.032958984375,0.967041015625,nan,0.0,T-,T+,1.0,0.9903939298250225,397,3,397,3
"[[-1, 12, 3, 5, -9, 11, -6, 14, -4, 13, 10], [12, 2, -11, 3, -6, 7, 1, -5, -4, 10]]",None,None,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,400,0,400,0
"[[-1, -10], [-11, 2, 14, -10, -5, -3], [-9, 13], [-8, 6, 4, 14, -13, -2, -1], [-2, 13, 11, 9], [10, 7, -2, -12, 13, 11, 9], [12, 5, 2, 6, -14, -10], [10, 3], [12, 2, -14, 1, 5, 6, 11, -10, 13, -9, -7]]","[[10, 3], [13, -9], [1, 4, 5, 6, 11, 13], [-5, 13, -1, 7], [-10, -1], [1, 9, -6, 11, 13, -2]]","[[8, 9, 14, -11, -10, -6, -5, -2], [1, 2, 3, 8, 13, -14, -5], [1, 3, 6, 9, 12, 14, -11, -5, -4, -2], [2, 7, 13, 14, -11, -8, -4], [5, 7, 8, 9, -13, -10, -6, -4], [-13, 6, -2, -9], [2, 11, 12, 14, -13, -7, -5, -4], [1, 3, 6, 8, 9, -14, -2], [1, -10], [10, -3], [-14, 12, -11], [-8, 14, -2], [8, -13, -9], [-6, 4, -3], [7, 9, 11, -12, -1], [-13, -12, -5, -4, -3, -1], [8, -5, -3, 14], [-3, 2, -4, 5], [-12, -10, -9, -2, 11, -4, 14], [8, -7, 12, -3], [-12, -11, -10, 8, -7, -6, 14], [3, 5, -11, 8, -6, -4, 14], [8, 11, 4], [-8, 1, -5], [3, -9, 11, 12, -4], [-6, -14, -11], [3, -10, -8, 9, -6, 13], [-8, 4, -11], [-12, 5, 6, -9, -1, 8, 14], [-12, 6, -10, 11, 13, -2], [-8, -13, 5], [-14, -12, -11, -9, -7, 10, -5], [9, 2, 6], [-12, -11, 8, -5, -4, 13, -2], [10, 12, 7]]",0.9638671875,0.59906005859375,0.59906005859375,0.9638671875,0.9856766719325961,0.57952880859375,T-,T+,0.992283913078999,0.7282084379206915,214,186,214,186
