Used Theory,T+,T-,Similarity of T+,Similarity of T-,Similarity of T_MF,Similarity of T_Comp,Similarity - Common,Overlap Size,MF Theory,Comp Theory,Compression of T+,Compression of T-,# Sampled Positives,# Sampled Negatives,# Unique Sampled Positives,# Unique Sampled Negatives
"[[7, -1, -5, 9, -8, -14, -12, -4, 3, -10, -2, -6, 13], [6, -7], [9, -8, -13, 14], [-14, 7, -12, 11, -1, 8, -6, -2, -9, 3, 10, 4], [-9, -6], [-10, 9, -14, 5, 8, -2, 7, 3, 11, 13, -12, -1, -4], [-9, 5, -14, -4, 11, -7, 13, 10, -12, 3, -1, 2], [14, -12, -4]]","[[-12, -4, 14], [-8, -13, 14], [-6, -9], [-7, 6]]","[[-10], [10]]",0.988037109375,0.597900390625,0.597900390625,0.988037109375,0.9807692307692307,0.609375,T-,T+,0.994613946595764,0.8213255254142673,337,63,336,63
"[[-2], [14, -10, -2, 7, -12, 6, -13, -1, -5, -11], [-4, 2]]","[[-4], [-2]]","[[-8, 11, 5], [12, -14, -13, -6, -3], [-8, 10, -5, 14], [-14, 5, 6, -9], [-5, 12, -9], [5, 6, 12, 14, -3, -1], [7, 11, 12, -13, -1], [1, -11], [13, -10], [-7, -5, -3], [5, 7], [8, -9], [-6, -5], [-6, 14, -9], [10, -14, 13, -1], [-13, 14], [-7, 11, -10], [-5, -11], [4], [-12], [2], [-8, 9], [1, -14, 3, 6, 8, -7], [-11, 6, -1, 8, -7, 14]]",1.0,0.74761962890625,0.74761962890625,1.0,1.0,0.74761962890625,T-,T+,0.9979968155139227,0.60491494037932,230,170,229,170
"[[9], [-2, 12, -7, -4, 5, 6, -8, 13, -10, -14], [-8], [14, 9, -5, -11, 6, -7, 12, -2, -8, -1]]","[[9], [-8]]","[[10, 11, -14, -5, -2], [8, -5, 4, 13], [8, 11], [-4, -1], [-6, -5], [-6, -10], [1, -11], [4, -10], [1, -7, 12, -3, 14], [-6, 5, -2, -1], [-14, -1], [-5, -12], [11, 5, 14, -10], [-7, -14, 3], [10, -12], [-9], [-13], [-11, 6], [7], [2, 11, -3], [5, -1, -2, 12, 14]]",1.0,0.7481689453125,0.7481689453125,1.0,1.0,0.7481689453125,T-,T+,0.9979968155139227,0.5603965051854095,220,180,219,180
"[[-5, 7, -12, -13, 2, 1, -4, 6, -3, 10, 14, 9], [-8, -9, 14], [8], [1, -13, 7, 4, -9, 2, -3, -14]]","[[14, -9], [8]]","[[2, 7], [1, 5], [-3], [-8], [-14], [9], [-13], [-5], [-10], [-2], [-12]]",0.9979248046875,0.6265869140625,0.6265869140625,0.9979248046875,1.0,0.62451171875,T-,T+,0.9976599384024964,0.6858085120095201,280,120,279,120
"[[-2, 10, -11, 4], [11, -2, -1, 5, -8, 13, 14], [-4]]","[[10, -11, -2], [-4]]","[[-13, 14], [3, -11, 9, -7, -1], [-6], [11], [-12], [4], [-5], [1], [7], [-3], [-14]]",0.99609375,0.56591796875,0.56591796875,0.99609375,1.0,0.56201171875,T-,T+,0.9973313374596358,0.7141519044358823,292,108,291,108
"[[-10, 1, -12, 14, -8, 11], [-5, -6, 13], [1, 14, 5, 3, 11, -12, 6, 4, 9, 2], [9, -8], [-6, -2, 8, -13, 12, 7, 1, 3, -9, 11, -5, -14, -4], [-7, 2, -6, 4], [-2, 14, 12, 1, -9, -8]]","[[-8, 9], [1, 2, -13, 4, -7, 11], [-6, -5, 13]]","[[-4], [4]]",0.94482421875,0.399658203125,0.399658203125,0.94482421875,0.9845467032967034,0.35546875,T-,T+,0.9946938186812018,0.9109754611562835,368,32,367,32
"[[3, 2, -4, -8, 7, -6, 14, 1, 5, -12], [9, -10, -4, -1], [9], [10, -13, 3, -7, -14], [2]]","[[2], [9]]","[[-7, -13, 14], [6, 12, 13, -8, -4], [-14, 5], [3, -13], [11, 14], [-3, -14, -8, 9, -7], [5, -10, 7], [11, 4], [4, 13], [-8, 5], [-14, -11], [-14, 10], [-5, 14], [-6], [-1], [8, 9, -13, -4], [-12], [-9], [-2]]",0.9921875,0.757080078125,0.757080078125,0.9921875,1.0,0.749267578125,T-,T+,0.994272543926763,0.5668117876252312,226,174,225,174
"[[-1, -13, 8, 6, 3], [9, -1, 10, -2, -14, -11, -7, 8, -12]]",[],"[[2, 7], [-9], [9]]",0.967041015625,0.032958984375,0.032958984375,0.967041015625,nan,0.0,T-,T+,1.0,0.9893477777611703,398,2,397,2
"[[-1, 12, 3, 5, -9, 11, -6, 14, -4, 13, 10], [12, 2, -11, 3, -6, 7, 1, -5, -4, 10]]",None,None,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,400,0,399,0
"[[-1, -10], [-11, 2, 14, -10, -5, -3], [-9, 13], [-8, 6, 4, 14, -13, -2, -1], [-2, 13, 11, 9], [10, 7, -2, -12, 13, 11, 9], [12, 5, 2, 6, -14, -10], [10, 3], [12, 2, -14, 1, 5, 6, 11, -10, 13, -9, -7]]","[[13, -9], [11, 13, -2], [10, 3], [-1, -10]]","[[-14], [14]]",0.986328125,0.669921875,0.669921875,0.986328125,1.0,0.65625,T-,T+,0.9949425475386245,0.7674336173415993,318,82,317,82
