Used Theory,Total Unique Positives,Total Unique Negatives,Default Accuracy,# Clauses,Mean # LitralsT+,T-,Similarity of T+,Similarity of T-,Similarity of T_MF,Similarity of T_Comp,Similarity - Common,Overlap Size,MF Theory,Comp Theory,Compression of T+,Compression of T-,# Sampled Positives,# Sampled Negatives,# Unique Sampled Positives,# Unique Sampled Negatives
"[[-12, -1, 10, -3, -2, 13, -8, 9, -14, 5, 6], [11, 3, -1, -4, 6, 5, -8, 2, -7, -12, -9, -14, -10], [-10, 7, 9, -13, -5, -6], [-3, 2, -12, -4], [-8, 12, 4, 5, 11, 13, 9, -10, 3, 2, -1, 6], [7, 10, 8, -1, 14, 11, -6, -9, -4, -3, -2, 12], [-5, 13, -1, 4, 8, 7], [-12, 10, -5, 4, 6, 13, 14, 1, -11]]",12096,4288,0.73828125,7,6,"[[7, 8, 9, 11, -14, -13, -12, -10, -6, -5, -4, -1], [-3, 2, -12, -4], [7, 8, 9, 14, -10, -5, -3]]","[[3, -10, -9], [9, 13, -10], [-6, 13, -11, -9], [11, -4, -1, 14], [-8, -14, -3], [10, 3, -4], [4], [-7, -14], [2, -13], [5, -2], [12]]",0.96539306640625,0.0985107421875,0.0985107421875,0.96539306640625,0.9308641975308642,0.07415771484375,T-,T+,0.9941962747412354,0.9420449454188683,372,28,372,28
"[[-2, -13, 7, -5, -10, -6, 14, 1, 4], [7, -14, -8, -2, -3, -5, 11, -13, 1, 4, -9, -10, 12]]",13124,3260,0.801025390625,8,8,None,None,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,400,0,400,0
"[[8, 9, -11, -12, -6, 10, -14, 7], [-3, 10, 9, -7, 8, 2]]",6528,9856,0.6015625,8,6.875,"[[2, 8, 9, 10, -7, -3]]","[[-6], [6]]",0.99609375,0.01953125,0.01953125,0.99609375,1.0,0.015625,T-,T+,0.9980431553574222,0.9827340651378035,394,6,394,6
"[[-7, 1, 9, -5, 10, -11, 13, 12, 2], [1, 13], [-12, 4, -2, -9, -13, -5, 10], [7, -10, 4, 5, 13, 1, 2, 14, 12, -11], [5, -3, -2, -13], [10, -2, 5, -12, -7, -8, 6, 13, -3, 1, -14], [3, -7, 12, 11, -5, -10, -4, 1, -2, 6, -9, 14]]",15174,1210,0.9261474609375,6,9,"[[4, 6, 10, 14, -13, -12, -11, -2, -9, -8, -3, -1], [-3, -13, 5, -2], [1, 13]]","[[3, -4, -1], [2, -13, 5], [-8, 4, -12], [13, -3, -1], [-7, 6, 14], [-8, 10, 7], [8, -12, 13, -10], [7, -10, -9], [3, 6, 12, -10, -2], [-7, 2, -14, -3], [7, 10, -11, -9, -5], [5, 9, -13, -11, -7], [8, 9, -12, -7], [4, 10, -7, -6, -2], [2, 3, 4, 13, -14], [3, 10, 11, -12, -4], [-5, -12, -3, 7], [-6, 11, 12], [1, 5, 6, -10, -9, -7, -4, -3, -2], [8, -13, -5]]",0.9921875,0.28216552734375,0.28216552734375,0.9921875,1.0,0.27435302734375,T-,T+,0.9922026317620772,0.8475695818714176,306,94,306,94
"[[12, 5, -9, 1, 10, -6, 7, 13], [3, -7, 4, -12], [2, -12, -6, -1, 5, -4, -9, 7], [-12, -2, 7, -4, -8, 1, 3], [6, 8, 1, -2, 12, -14, 11, -7, -5], [-14, 5, 9, 13, -10, -3, -7, 11, -6, 1, 8], [-8, -4, 2, 11, 3, -13, -7, -6], [-9]]",8446,7938,0.5155029296875,4,4.5,"[[1, 3, 6, 7, 13, -14, -12, -11, -8, -4, -2], [1, 8, 11, 12, -3], [-7, 3, 4, -12], [-9]]","[[4, 7, 14, -13, -12, -10, -8, -6, -1], [1, 3, 4, 6, 7, 11, 14, -12, -8, -5, -2], [1, 2, 10, -14, -7, -4, -3], [5, 12, 14, -13, -1], [-14, -5, -12, 7], [-8, 1, 12, -2], [5, -13, -12, -11, -6], [8, 2, 13, -10], [2, 6, 10, 12, -13, -11, -1], [4, 5, 7, 10, -12, -8, -1], [5, 6, -12, -10, -4, -1], [1, 5, 8, 10, 11, -14, -6], [7, 11, 12, -8, -4, -1], [4, 8, 10, -14, -12, -1, -5, -3, -2], [-11, 13, 6, 14], [9]]",0.978759765625,0.2149658203125,0.978759765625,0.978759765625,0.9333697433096668,0.2235107421875,T+,T+,0.9885709720188769,0.8672658596613093,197,203,197,203
"[[8, 5, 13, 9, -11, -14, -2, -6, 12], [12, -9], [11, 6, -13, -14, -5, -12, -8, -10, 2, 4, -1, -9], [-13, -9, -6, -14, 3]]",6816,9568,0.583984375,6,5,"[[3, -14, -13, -12, -9, -8, -6], [12, -9]]","[[-4, -10, 7], [3, 5, 14], [-7, -13, -2], [2, -13, -11, 6], [1, 13, -14, -8, -2], [8, 10, 4, -1], [-7, -14, 2, -3], [1, 4, 6, -10, -8], [4, 6, 7, -14, -2], [11, -4, -3, -1], [2, 5, 7, 13, -11, -9, -8, -1], [1, 10, -6, 14], [-12], [9]]",0.989990234375,0.1748046875,0.1748046875,0.989990234375,1.0,0.164794921875,T-,T+,0.9971597980005,0.8922846031565397,325,75,325,75
"[[14, 8], [2, -4, 14, 9, 3, -12, 5, 13, 6], [-3, 4, 10, -12, -1], [13, -9, -3, -11, -10, 6, 5, 2, -4, -14, 1, -8], [10, -4], [2, 6, -3, -10, 11], [-4, -7, -14, 9, 6, -2, -11, 5, -13, -3]]",7056,9328,0.5693359375,6,7.166666666666667,"[[-8, 10, -12, -3], [2, 11, -4, -3], [2, 6, 11, -12, -10, -3], [10, -4], [4, 10, -14, -12, -11, -5, -3, -1], [8, 14]]","[[2, 3, 5, -13, -12, -11, -9, -4, -1], [7, 11, 12, -13, -8, -6, -4, -3, -1], [-14, -12, -10], [-8, 4, 5], [-8, -2, 6], [2, 5, 11, 14, -13, -12, -3], [2, 4, -11, -9, -6], [-12, -4, -10, 6], [5, 6, 12, -13, -7, -1], [8, 11, 12, 13, -10, -6], [2, 5, 7, 13, 14, -8], [1, 8, 11, -13, -7, -2], [3, 6, 11, -12, -10, -1], [3, 4, 11, 13, -14], [-6, 13, -10, -9], [-8, -6, -14, -2], [-7, -14, -5], [-8, -10], [-14, 12], [2, 3, 7, 11, 14, -13, -6, -4, -1], [10, -5, 4]]",0.959716796875,0.2532958984375,0.2532958984375,0.959716796875,0.8872614292055038,0.2750244140625,T-,T+,0.9560937456315224,0.8315273706065741,232,168,232,168
"[[-5, 2, 11, 13, -3, -4, 9, -14, -1, 8, 6], [-11, 12], [-14, 3, 13, 12, 5, 10]]",8176,8208,0.5009765625,2,5.5,"[[1, 4, 5, 6, 11, -2, 15], [12, -11], [3, 8, 9, 10, 13, -15, -14]]","[[-6, 5, 14], [-14, 2, -3], [3, -10, -9], [3, 9, 10, -5], [-7, -13, -3, -9], [2, -4, 14, 7], [10, -1, -9], [5, 6, -13, -7, -1], [9, -13, -4, 14], [3, 13, 6, -10], [-12], [11]]",0.96923828125,0.16943359375,0.16943359375,0.96923828125,0.8683527885862516,0.188232421875,T-,T+,0.9952988545125766,0.8937251037612863,332,68,332,68
"[[-8, 11, 13], [-2, 5, 4, -3], [5, -1, -7, 6, -13, -14, 4, -2, 11, -10, -12], [-10, 9, -8, 7, 12, -3, 4, -14, -1, 6, -13], [-10, -7], [6, 5, -14], [14, 10, -13, -7, -2, 4, -3, -12, -5], [-1, 2, -11, -9, -10, -12, 7, -14, 3], [12, 10, -6, 3, -7, -5, 14]]",12252,4132,0.747802734375,4,9.25,"[[-3, 4, 5, -2], [2, 5, 8, -14, -10, -1], [-14, 5, 6], [-8, 11, 13], [-7, -10], [2, 3, 4, 9, 10, 12, 14, -13, -6, -5, -1]]","[[2, 3, 6, 8, 11, 13, -12, -10, -1], [-4, 14, 7], [8, 10, -5], [-8, -14, -12, 7], [10, 3, 5, 14], [-6, 12, -3, 7], [-5, 7, -10, 6], [2, 10, -7, -4, -3], [8, -6, -12, -4], [8, -13, 12, -1], [4, 10, -7, -6, -2], [3, -9, -12, -13], [6, 8, -14, -7, -5, -3], [1, 2, 4, 9, -11, -10], [8, -6, 11, 12], [3, 12, -11, -8, -4], [3, 8, 13, 14, -12, -2], [2, 9, -13, -6, -1], [2, 10, 13, -9, -6], [-4, -1, 7], [-8, -5, 6, 14], [8, 13, -14, -11, -10, -9, -6, -2], [-8, 4, -12, -1], [-14, -13, -1, -8, -7, -6, -4, -3, -2], [1, 5, -9]]",0.986083984375,0.350341796875,0.350341796875,0.986083984375,0.9877876106194691,0.3448486328125,T-,T+,0.992040811999641,0.7913814921832663,248,152,248,152
"[[-2], [13, -3, 7, -14], [-7, -3, 1, -14], [-12, -3, 10, -14, 8, -1, -13, 11], [-10, -9, -2, -7, -6, -13, -4, 1, 11, -8, 5, 12], [-7, -13, 14, -3, -1, -11, -12, -10, 5, -9], [-4, 13, 1], [10, -9, -5, 14, 4, -2, 11, -3, 13]]",16282,102,0.9937744140625,4,10.5,"[[1, 2, 10, -14, -7, -4, -3], [1, -4, 13], [1, -14, 12, -7], [12, 13, -14, -9, -6, -1], [5, 6, 9, -14, -12, -10, -3], [2, 7, 8, 10, 13, -12, -11, -5, -3], [-2]]","[[1, 8, 10, 11, 12, -14, -13, -9, -6, -3], [6, 7, 8, 9, 11, 13, -12, -10, -5, -4, -3], [2, -13, 5], [2, -14, -1], [2, -12, 6, 14], [9, 2, -5], [5, 14, -6, -4, -1], [7, 8, 10, -11, -5], [1, 3, 7, -12, -8], [10, 2, -6, -3], [4, 6, 8, 12, -13, -7, -1], [5, -12, -11, -10, -9, -6], [10, -5, -1, -9], [-3, 2, -11, -10], [9, 11, -14, -6, -4], [3, 9, 14, -5, -4, -1], [8, 11, -14, -12, -7, -5], [5, 7, 10, -11, -8, -6], [2, 3, 6, 13, -10], [-13, 4, -12, -10, -8, 14], [-6, 12, -1, 7], [1, 6, 10, 12, -13, -11, -8, -7, -4], [3, 4, 14, -9]]",0.9482421875,0.2845458984375,0.9482421875,0.9482421875,0.9252899197145406,0.273681640625,T+,T+,0.9819084876332913,0.8428335596836858,186,214,186,214
"[[13, -14, -12, 5, 11, 2, 10, -6, -4], [6, -4, 11, 5, 12, -14]]",12158,4226,0.7420654296875,4,6.75,"[[1, 2, 5, 8, 10, 11, 13, -14, -12, -6, -4, -3]]","[[-6], [6]]",0.982666015625,0.017578125,0.017578125,0.982666015625,1.0,0.000244140625,T-,T+,0.9970641049444412,0.9957160304504881,399,1,399,1
"[[-3, 6, -11, 10, 4, -7], [-1, 13, -6, 11, 2, -5, -14, -7, 9], [-13, -11, 2, -4, 3, 9, 7], [12, 3, -1, 2, 7]]",12084,4300,0.737548828125,8,9.375,"[[4, 6, 10, -11, -7, -5, -3, -1], [2, 3, 7, 12, -1]]","[[5], [-5]]",0.98046875,0.0546875,0.0546875,0.98046875,1.0,0.03515625,T-,T+,0.9963314949614124,0.9724389518066113,390,10,390,10
"[[-4, 2, 10, 13, -12], [-1, -7, 14, 13, -9, 10], [5], [-4, -7, 10, -14, -5, 9, -6, 11, 13, -12, -3], [1, 5, 12, -6, 3], [13, -8, 6, -5, 3, -4, -14, 2, 9, 1, -11, 7], [-6, 4, -12, 2, -8, -1, 11], [-2, -7, 9, 13, 14, 11, -12, 10, 4, 1, -6, -8]]",7168,9216,0.5625,3,2.3333333333333335,"[[2, 3, 6, 11, 13, -12, -8], [2, 10, 13, -12, -6, -4], [6, 10, 13, 14, -12, -11, -9, -7, -5, -3, -1], [5]]","[[2, 4, 7, 10, 12, -11, -9, -8, -6, -3], [2, 3, 6, 8, 11, 13, -12, -10, -1], [7, 11, 12, -13, -8, -6, -4, -3, -1], [1, 3, 4, 6, 8, 11, 13, 14, -12, -7, -2], [1, 2, 10, -14, -7, -4, -3], [-8, -14, -4, 13], [1, 8, 9, 14, -11, -7], [3, 7, -10, -9, -4], [4, -10, -9, -6, -1], [1, 3, 6, -13, -11, -9], [3, 8, 12, 14, -11, -9, -6], [9, 10, 11, 12, -4, -3, -1], [11, -10, -7, -4, -2], [4, 6, 10, -12, -11, -3, -1], [7, 14, -12, -10, -8, -6], [2, 4, 10, 11, -6, -1], [8, 9, 11, 13, -10, -3], [1, 5, 11, 12, -14, -13, -9, -6, -3], [-5]]",0.97967529296875,0.15338134765625,0.97967529296875,0.97967529296875,0.9793315743183817,0.1387939453125,T+,T+,0.9934596823007457,0.9193187299169517,193,207,193,207
"[[-3, -8, 6, 5, 14, 9, -4], [11, 7, -3, 12, -1, -14, -4, -10, 13, 9, 5, 2], [-7, -12, 9], [-9, 13, 11, 5, 8, -14, 7, -12, 3], [-12], [-9, 2, -10, 12, -11, -6, 1, -7, 5, 14, 13, 8, -3], [6, -13, 12, 2, 9, 14, -1, 5, 7, -3, 4, -11], [9, 1, -6, -10, 14, 11, -7, -2, -4, 13, -8, -3], [-13, 8, -6, 3, 7, -10]]",16046,338,0.9793701171875,4,9.25,"[[1, 3, 5, 7, 8, 14, -13, -11, -10, -9, -6, -2], [-12]]","[[4, 6, 8, 10, 11, -13, -9, -5, -1], [1, 2, 6, 8, 9, 14, -13, -11, -10, -7, -4, -3], [1, 2, 10, -14, -7, -4, -3], [2, 4, 13], [3, -4, 14, 7], [-13, -3, -2, -9], [2, -14, -10, -9, -8, -5, -1], [3, 7, 8, 9, 10, -5, -4], [3, 4, 6, 14, -9, -8], [11, 14, -10, -4, -3, -2], [1, 3, 13, -14, -10, -7, -5, -2], [2, 5, 7, 13, 14, -6], [4, 5, 9, 10, -14, -13, -12, -11, -8, -7, -1], [12]]",0.9876708984375,0.1632080078125,0.9876708984375,0.9876708984375,1.0,0.15087890625,T+,T+,0.9966003782002723,0.9051878385788162,195,205,195,205
"[[9, 8, -3, -2, -12, -7, 11, -14, -10, -5, 13], [-10, 7, 2, 12, -3, 6], [-5, 13, -11, 12, 3, 9, -7, -2, 4, 8, -10, 1, 6], [13, 9, 8, -5, -12, 11], [-11, -6], [5, 7, 6, 10, -12, -1, -8], [-14, -5, 8, -9, -12], [12, 1, 13, 5, -4, 10, 3, 7, 2, -14, -9, -8, -6], [14, -3, 7, -11, -5, -13, 9]]",6912,9472,0.578125,8,5.75,"[[8, -14, -12, -9, -5], [5, 6, 7, 10, -12, -8, -1], [7, 8, 9, 11, 13, -12, -10, -5], [2, 6, 7, 12, -10, -9, -3], [1, 8, 9, 10, 14, -12, -6, -4], [6, 7, 8, 9, 10, 12, 14, -13, -5, -4, -3], [-6, -11]]","[[-4, 14, 7], [-7, -4, -3], [-14, 4, -3, -9], [-8, 13, -10, -9], [2, -13, -12, -11, -9, -4], [8, 9, 10, -7, -1], [1, -14, -10], [3, -14, -9, -8, -5, -4], [4, 6, 8, -13, -1], [-13, 4, -12, 7], [3, 8, 13, 14, -12, -11, -10, -4, -2], [9, -14, -5], [-11, 6], [3, 6], [-3, 5, 6], [-6, 11], [-9, -12, 6, -10, -7]]",0.97589111328125,0.22442626953125,0.22442626953125,0.97589111328125,0.9866548042704626,0.205810546875,T-,T+,0.987933834960774,0.8534937663893316,307,93,307,93
"[[8, -7, -11, 5, 4], [5, -13, -2, -1, 6, -12, 11, 10, -8, 9, 14, 7], [7, 6, 11, 12, -8, 13, 9, 10, 5, 1, 2]]",16320,64,0.99609375,2,9,"[[4, 5, 8, -11, -7]]","[[14], [-14]]",0.999267578125,0.031982421875,0.031982421875,0.999267578125,1.0,0.03125,T-,T+,0.9982442748686398,0.990556973415423,397,3,397,3
"[[1, 8, 4, -3, 2, -10, -9, -11, 14, -6, -5, 7], [-7, -4], [-8, -7, 4, 14, -10], [9, -10, 5, 2, -4, -1], [-14, -12], [-9, -12, -1, 13, -2, 14, -11, 10], [-13, 3, 11, -9, -12, -6, 4, 1, -10], [2, -4, -9]]",15492,892,0.945556640625,7,9.142857142857142,"[[2, 5, 7, 8, 13, 14, -10, -6, -4, -3, -1], [-8, -7, 6, 14], [2, 3, -11, -4, -1], [4, -12, -10, -5, -2], [4, 5, 11, -13, -10, -8, -7], [-7, -4], [2, -4, -9], [-14, -12]]","[[2, 3, 6, 8, 11, 13, -12, -10, -1], [4, 6, 14], [12, -4, 7], [-14, 12, 6], [8, 3, -2, -5], [5, 6, 9, -13, -1], [7, 10, 14, -11, -8], [2, 4, 13], [5, 8, 14, -13, -10, -6], [2, 3, 7, 9, 10, -5], [4, -12, -11, -3, -1], [3, 10, 11, 12, 13, -8, -4], [8, 13, 14, -12, -11, -10], [8, 9, 11, 13, -10, -3], [3, 4, 6, -5, 8, 11, -1], [2, 6, 11, 14, -12, -10, -7, -5], [10, -13, -3, -9], [-6, -12, 14], [5, 8, 13, -14, -11, -10, -9, -4, -3], [11, -2, 7], [3, 5, 10, 13, -14, -9, -8, -7, -4, -1], [4, 12]]",0.9473876953125,0.29315185546875,0.29315185546875,0.9473876953125,0.8913604766633565,0.30731201171875,T-,T+,0.9656457504796142,0.8036272048310866,202,198,202,198
"[[8, -3], [14, -5, 12, 13], [7, -13]]",11960,4424,0.72998046875,7,7.428571428571429,"[[-5, 12, 14, 7], [8, 10, 13, -11, -9, -5], [8, -3], [-13, 7]]","[[4, 6, 8, 10, 11, -13, -9, -5, -1], [1, 2, 10, -14, -7, -4, -3], [-8, 5, -2], [2, -12, -10], [8, -7, 3], [3, 4, -10, -9], [6, 13, -14, -10, -5], [3, -13, -11, -9, -4], [1, 2, 9, 13, -8], [2, 3, 5, 10, -12], [2, 5, -13, -7, -3], [4, 13, -9, -6, -1], [5, 13, 14, -12, -10, -2], [6, 10, -11, -8, -1], [3, 6, 7, 9, 12], [2, 7, 10, -11, -9, -6], [-10, -9, -8, -4, -1], [-14, -6, 10, -2], [3, -4, 13], [-7, 12, 9], [4, 5, 6, 8, 14, -13, -9, -1], [2, 5, 9, 11, -3, -1], [-8, -5, -12]]",0.9716796875,0.3128662109375,0.3128662109375,0.9716796875,0.9722447325769854,0.30126953125,T-,T+,0.9924550470598329,0.8295184894571449,248,152,248,152
