Used Theory,Total Unique Positives,Total Unique Negatives,Default Accuracy,# Clauses,Mean # Literals,T+,T-,Similarity of T+,Similarity of T-,Similarity of T_MF,Similarity of T_Comp,Similarity of T_MDL,Similarity - Common,Overlap Size,MF Theory,Comp Theory,MDL Theory,Compression of T+,Compression of T-,DL of T+,DL of T-,# Sampled Positives,# Sampled Negatives,# Unique Sampled Positives,# Unique Sampled Negatives
"[[-1, -5, 9, -8, -7, -13, -11, 3, -12, -2, -6, 4, 14], [6, -10, -11, -4, -9, -8, -13, 7, -5, -3, 1, -14, 12], [-13, -9, -8, -2, -11, -6, -12, 1, -3, 5, -14], [-3, -4, -14, -1, 10, -5, 8, -11, -7, -2, -9, -6], [8, -14, 11, 12, -6, 2, -10, 5, 1, -4, 3, -13], [1, 2, -11, 4, 10, 13, -7, -14, 3, 8], [-14, 5, 2, -4, 12, 13, -6, -11, -10, 1], [13, -1, -11, -3, -12, -6, 5, -14, 8, -4, 2]]",16324,60,0.996337890625,8,11.5,"[[1, 2, 5, 8, 9, 12, 13, -14, -11, -10, -7, -6, -4]]","[[-6, 11, 12], [4, 5, -2], [2, -3], [-4, 5, 14], [6], [-9], [-8], [-5], [-13]]",0.9964599609375,0.010498046875,0.010498046875,0.9964599609375,0.9964599609375,0.975,0.00732421875,T-,T+,T+,0.9969676430123211,0.9939528291026389,62.87157889192635,125.37942718855278,399,1,399,1
"[[-12, -1, -9, -5, 3, 4, -8, 10, 11, 7, 6, -14], [12, 11, -10, 7, -1, -13, -9, 8, 6, 14, -2, -4, -5], [-9, 11, -2, -3, 1, 7, -14, -13, 10, -12, 6]]",16370,14,0.9991455078125,3,12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,400,0,400,0
"[[-1, 5, 8, 2, 13, 3, -6, -14, -11, -9], [12, 11, -8, -13, 7, -6, 3, 2, -4, 5, 14, -1, 9], [12, -4, 1, -5, -3, 9, 2, -10, 13, 7, -11, -8, -14], [13, 11, -2, -12, 14, 4, -9, 1, -8, 7, 5, 10, -3], [-9, -8, -11, 4, 2, 13, -7, 3, -10, 1], [-11, -14, 7, 9, -8, -6, -10, 4, 13, 2, -5, 1, -12], [-2, 4, 3, 1, -5, 11, 8, -12, -14, -6], [-12, -7, -4, -5, 9, 13, -8, 10, 14, -11]]",16312,72,0.99560546875,8,11.5,"[[2, 3, 5, 8, 13, -14, -12, -11, -10, -9, -7, -6, -4, -1]]","[[8, 9, -5], [-9], [5], [-8]]",0.99566650390625,0.00439453125,0.00439453125,0.99566650390625,0.99566650390625,1.0,6.103515625e-05,T-,T+,T+,0.996919412046261,0.9941960401446983,63.87157889192635,120.33679458284408,399,1,399,1
"[[7, 13, -14, -1, -3, 10, -4, 9, -6, 12, 11, 8, 2], [10, 14, -3, -11, -6, -2, -13, -9, 4, -8], [13, -5, -12, -11, 2, 9, 4, -1, -8, -6, 3, -7, -10], [-9, 5, 2, -3, 7, -10, -12, -1, 4, 14, 13, 8, 6], [-14, 4, -6, -2, 10, 3, 13, 1, -11, 7], [4, -6, 13, -8, -5, -10, 12, 2, -9, 1]]",16330,54,0.9967041015625,6,11.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,400,0,400,0
"[[-14, -3, 10, 1, -7, 2, 9, 8, -4, 13], [1, -7, 12, -6, -8, 4, 11, 3, -9, 14, -2, 5, -10], [8, -13, 4, -5, 1, -14, 9, 10, -2, -3], [-5, 11, -1, -2, 14, 12, 9, 3, -4, 10, -6, -13, -8], [-7, -5, -13, -9, 3, 11, -4, 12, 1, 8], [10, -8, 3, 9, 5, -6, 13, 11, 4, -2, -7, -14, -12], [-11, -12, -14, -7, 1, -6, 10, 8, 5, 13], [6, -7, 11, -12, 13, -3, 8, 14, 2, -5, -9]]",16307,77,0.99530029296875,8,11.25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,400,0,400,0
"[[-1, -4, -11, 2, -3, 6, 14, -9, -7, -12, -5, -10, -13], [8, 5, 12, 14, 4, -6, -13, 1, 7, -9, -2, 10, 11]]",16380,4,0.999755859375,2,13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,400,0,400,0
"[[5, -1, 9, -13, 4, 6, -2, 8, 14, -3, 7, 11], [-1, 13, -7, -8, -11, -10, 2, -14, 12, 9, -6, 4, 5], [2, 9, -5, -10, 13, 4, 12, -7, -11, 8, -6, 3, 14], [-11, 5, -2, 10, 6, -4, -13, 12, -14, 7, 1, 3, -8], [-3, 13, -4, -8, -10, 12, -9, -6, 2, 7], [4, 9, 11, 3, 8, -10, 6, 13, -1, 12], [-11, 12, 14, -13, 4, 5, 6, -8, 2, 3, -1, 7, -10], [8, -7, -3, -6, -5, -12, -11, -14, 13, -4, 10], [-10, -11, -9, -3, -2, -6, 4, -7, 14, -12, -1]]",16324,60,0.996337890625,9,11.777777777777779,"[[4, 13, 14, -12, -11, -2, -9, -8, -7, -6, -5, -10, -3, -1]]","[[-8], [8]]",0.99639892578125,0.003662109375,0.003662109375,0.99639892578125,0.99639892578125,1.0,6.103515625e-05,T-,T+,T+,0.996919412046261,0.9955713375523079,63.87157889192635,91.82197267575141,399,1,399,1
"[[6, 13, -12, 7, 1, 10, 8, 9, -3, -14, -2, -4], [-11, 1, -8, -7, -2, -14, -6, -4, -13, 12, -3, 9]]",16376,8,0.99951171875,2,12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,400,0,400,0
"[[-13, -4, -10, 11, -9, 6, -3, -7, -2, 8, 1, 5], [-6, 1, -12, -8, -5, -4, -2, 10, 9, 3, 11], [5, -9, -13, -12, 6, -10, -4, 11, -8, -2, 1, 3]]",16368,16,0.9990234375,3,11.666666666666666,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,400,0,400,0
"[[-11, 6, -14, -8, -1, -4, 9, 3, 2, 12, 10], [-5, 14, -7, -6, 10, -11, 2, 3, -1, 4, -9, 8, 13], [9, -3, -1, -2, 10, -6, -14, -12, 7, -11, -8, 13, 5], [-3, 14, -13, 8, -1, -9, 10, 7, -5, 4]]",16356,28,0.998291015625,4,11.75,"[[4, 6, 7, 8, 10, 14, -13, -12, -11, -9, -5, -3, -1]]","[[8, 9, -5], [-9], [5], [-8]]",0.9984130859375,0.001708984375,0.001708984375,0.9984130859375,0.9984130859375,1.0,0.0001220703125,T-,T+,T+,0.9969676430123211,0.9942442711107584,62.87157889192635,119.33679458284408,399,1,399,1
