Used Theory,T+,T-,Similarity of T+,Similarity of T-,Similarity of T_MF,Similarity of T_Comp,Similarity - Common,Overlap Size,MF Theory,Comp Theory,Compression of T+,Compression of T-,# Sampled Positives,# Sampled Negatives,# Unique Sampled Positives,# Unique Sampled Negatives
"[[-4, -6, -1, 3, -13, -12, 2], [-9, -3, 13, 12, -8, 11, 14, -2, -10, -7, 6, 4], [-11, -2], [-8, 6, 1, 2, -13, 12, -11, -14, -3, 5, -7, -4], [11, -9, -1, 10, -14, 5, -12, 3, -13, 2, 6], [12, -7, -14, -9]]","[[-7, -14, 12, -9], [3, -14, -13, -12, -9, -8, -6, -4, -1], [-11, -2]]","[[2, 10, -4], [10, -5, 4], [3, 14, -9], [9, 12, -10], [-7, -13, -4, -3], [-8, 10, 7], [1, 3, 13], [5, 10, 12, -13, -11, -1], [5, 8, -10, -6, -4, -3], [3, 9, -7, -5, -1], [1, 7, -14, -12, -8], [2, 4, 13, -8, -3], [8, -13, 12], [2, -12, -10], [12, -1, 7], [-13, 4, -12, -2, -8, -6, 14], [11]]",0.9918212890625,0.23614501953125,0.23614501953125,0.9918212890625,0.9978672354038923,0.22894287109375,T-,T+,0.9956645766877739,0.8837881754073413,314,86,314,86
"[[-10, -1, -8, -11], [-1, -8, -3, 14], [4, 10, -6, 5, -11]]","[[-8, -11, -1], [11, 14, -10, -8, -3, -1], [1, 4, 5, 10, -11, -7, -6]]","[[-12, 5, -10], [-8, 2, 10, -11], [12, -10], [-6, 11], [-14], [-13], [6], [-4]]",0.927734375,0.1396484375,0.1396484375,0.927734375,0.7169811320754716,0.1552734375,T-,T+,0.9541748437583479,0.9354595020512189,372,28,372,28
"[[12], [-6, -9, 1, 3, 11, 14], [5, 10, -8, -4, 1, 13, 3], [-7, 11], [-14, 9, 11], [-6, 4, -14, 13], [-11, 13, 12, -10, 6, 3]]","[[9, -14, 11], [1, 3, 6, 10, -8, -7, -4], [1, 3, 11, 14, -13, -12, -10, -9, -2], [-6, 4, 13], [-7, 11], [12]]","[[4, 6, 8, 10, 11, -13, -9, -5, -1], [1, 2, 10, -14, -7, -4, -3], [5, 7, 9, 14, -6, -4, -2], [3, -12, 14], [-14, -13, -9, -3, -2], [1, 5, 7, 14, -9], [3, -14, -10, -8, -5], [3, -13, -10, -9, -5, -2], [10, -5, -12, -2], [2, 5, 13, 14, -6], [2, 3, 8, 9, 10, -11, -5, -1], [5, 10, 11, 13, -12, -6, -4], [2, 4, 6, 13, -14, -10, -8], [3, -13, 5, 6, -9, 10, 12], [-8, -12, 7], [2, 3, 6, 8, 11, 13, -1], [5, 6, 9, 10, 12, -14, -13, -1, -8, -7, -2], [-12, -3, -10], [1, 2, 6, 8, 9, 12, 14, -13, -7], [-12, -11]]",0.9710693359375,0.23712158203125,0.9710693359375,0.9710693359375,0.906361686919228,0.25616455078125,T+,T+,0.9768496361147933,0.8462923372449603,173,227,173,227
"[[3, -1, 8, -7, 11], [-13, -9, -11, -2, -5, 6, 10, -1], [-4, -11, 7, -14, 1, 12, -2, 13], [10, 2, 8, 9, -13], [-9, 1, 14, -3, 5, 4, -11, 12, -8]]","[[4, 6, 7, 8, 10, -14, -13, -11, -2, -9, -5, -3, -1], [3, 8, 11, -7, -1], [1, 5, 7, 12, -11, -8], [2, 8, 9, 10, -13]]","[[-4], [4]]",0.9786376953125,0.0703125,0.0703125,0.9786376953125,0.8208,0.0762939453125,T-,T+,0.9896806231701295,0.9569258384480137,384,16,384,16
"[[-7, 3, -4, -12, -14, -5, -13], [8, -6, 10, 3, -11, -9], [12, -8, -13, 5, -4, 9], [-10, -7, -13, 6, 11, 3, -2], [-14, 6, 1]]","[[2, 3, 8, 11, -14, -13, -12, -9, -7, -5, -4], [3, 8, 10, -11, -9, -6, -4], [3, -13, -8, -4, 15], [1, -14, -13, -11, -10, -8], [1, -14, 6], [2, 11, -15, -12, -10, -9, -7, -5, -1], [-7, -15, 9, -10], [5, 9, 10, 12, 14, -15]]","[[-8, 4, 5], [-5, 4, -11], [8, 12, 5], [-12, 6, 14], [-14, 13, -10], [-8, 10, 12], [-14, -5, -12], [11, -1], [3, -12, 5], [-4, -3], [7], [-6]]",0.80853271484375,0.16815185546875,0.16815185546875,0.80853271484375,0.4639350453172205,0.3232421875,T-,T+,0.980591903979677,0.8981164807861161,359,41,359,41
"[[-4, -13, -12, 10, -3, 14, -5, 11, 6], [7, 12, 10, 5, -2, -14], [-14], [12, 3]]","[[3, 12], [-14]]","[[4, 7, 8, 11, 12, 13, -10, -9, -6, -1], [2, 3, 6, 8, 11, 13, -12, -10, -1], [4, 6, 8, 10, 11, -13, -9, -5, -1], [4, 6, 8, 10, 13, -12, -11, -2, -5, -3, -1], [2, 3, 5, -13, -12, -11, -9, -4, -1], [7, 11, 12, -13, -8, -6, -4, -3, -1], [8, 9, -5, 14], [-4, 14, 7], [4, 6, 13, -10, -8], [8, 11, 12, -6, -3, -2], [4, 5, -11, -8, -7, -6, -2], [2, 5, 6, 11, -13, -9, -7], [6, 8, 9, -11, -7], [2, 4, 7, -11, -6, -3], [5, 11, -12, -1, -4, -2], [8, -13, -10, -9, -2], [2, 9, 10, -7, -6, -4, -1], [4, 5, 6, 14, -13, -9, -1], [5, 10, 13, 14, -8, -6], [8, 13, -12, -10, -4, -3], [14, -10, -9, -8, -7, -2], [-3, 14], [-12, 14]]",0.998046875,0.15582275390625,0.998046875,0.998046875,1.0,0.15386962890625,T+,T+,0.9954893237019751,0.8895425358958445,172,228,172,228
"[[13, 11, -3, 10, -2, 6], [3], [-1, 12, -14, -6, 9]]","[[7, 8, 9, 10, 11, 12, 13, -14, -2, -6, -4, -3, -1], [4, 9, 12, -8, -6, -1], [6, 8, 10, 11, 13, -7, -2], [3]]","[[1, 2, 4, 6, 9, 12, 13, -11, -10, -8, -5], [4, 6, 8, 10, 11, -13, -9, -5, -1], [5, -12, -3], [12, -3, -9], [8, -6, 13, -10], [5, 10, 12, -7, -6], [-8, -3, 6, -2], [1, 2, 10, 14, -12, -11, -4], [6, 9, 10, -14, -11, -8, -1], [-7, -14, -4, -3], [5, 10, 13, 14, -8, -6], [1, 4, -12, -9, -8, -7], [4, 5, 8, 12, -13, -1], [7, 8, 9, 11, -12, -10, -4], [1, 6, 7, 13, -10, -4], [11, 12, -8, -4, -3, -1], [-5, -3], [3, 4, 7, -13, -12, -8, -6, -1], [-3, -10, 14]]",0.9727783203125,0.1353759765625,0.1353759765625,0.9727783203125,0.9534288638689867,0.1192626953125,T-,T+,0.9932385451299868,0.9281979960526181,205,195,205,195
"[[3, -11, 7, -5, 8, 2, -6, -14, 1, 12, 4], [-12, -9, 7, -5, -2, 8, -6, -10, 3, 13, 11, -4, 1], [-9], [-10, 6, -4], [-13, 9, 8, -6], [-7, -2, 3, 9, -12, -13, -14, -10], [-3, -13, -1, -14, 4, 8, 11, -12, 6, -10, 9]]","[[-4, -10, 6], [3, 9, -13, -12, -10, -8, -5, -4, -1], [8, -6, -13], [-9]]","[[2, 3, 6, 8, 11, 13, -12, -10, -1], [1, 2, 10, -14, -7, -4, -3], [-8, 9, 10], [8, 9, -7], [9, 13, -10], [3, 5, 10, 14, -4, -1], [-8, -14, -12, 7], [8, 10, -11, -5, -1], [4, -12, -8, -6, -1], [5, 9, 11, 12, -14], [1, 2, 3, -13, -10, -8, -7, -6], [1, 4, 5, 12, -8, -7, -2], [3, 6, 13, 14, -12], [10, 11, 13, -14, -6, -4], [9, 3, -5], [2, 8, 13, -10, -3, -1], [1, 4, 7, -8, -5, -2], [7, 11, 12, -9, -8, -6, -4, -1], [9, -13, -3]]",0.9967041015625,0.2574462890625,0.9967041015625,0.9967041015625,0.9943019943019943,0.257080078125,T+,T+,0.9952068248114081,0.8453321796529163,169,231,169,231
"[[11, 2, 14, 5, 3, 1, -8, 12, -9, -13, 6, 10], [-5, -6, 10, 7, -9, -14]]",[],"[[8, 9, -5], [-9], [5], [-8]]",0.984130859375,0.015869140625,0.015869140625,0.984130859375,nan,0.0,T-,T+,1.0,0.9915360731965744,398,2,398,2
"[[-10, -11, 3, 12, -2, 9, 13, -8, -1, -6, -4, 14, 7], [12, 14, -4, -10, 7], [-4, 5, -14, -6], [-11, -8], [14, 8, 7, 6, -9, 4, 10], [14, 3, -4, -11, -13, -5, 1, -6, -7, -8, 2, -9], [-1, 4, -14, -3], [10, -2, 3, 12, 4, -13, 11, -5, -7, 14, -9, 6]]","[[-14, 4, -3, -1], [7, 11, 12, 14, -10, -4], [-8, -11], [-14, -6, -4, 5], [4, -12, -9, -3, -1]]","[[-12, 5, -10], [11, 4, -2], [9, 10, 11, -8, -3], [2, 6, 11, -13, -9], [-7, -13, 12], [1, 3, 13], [3, 4, 5, 6, -1], [2, 4, 9, -7, -5], [-14, -12, -8, -6, -3], [-6, 14, 7], [11, 4, -1, -9], [6, 7, -12, -5, -3], [9, -14, 13, 6], [2, -13, 5, -9], [7, 11, 12, -6, -1], [2, 3, -14, -9, 7, -8, -5], [-4, -2, -10, -1], [1, 2, -14, -7, -3], [10, 3, -4], [8]]",0.974365234375,0.32452392578125,0.32452392578125,0.974365234375,0.9664698037721471,0.32037353515625,T-,T+,0.9856498951303584,0.7811697907292446,278,122,278,122
