Used Theory,Total Unique Positives,Total Unique Negatives,Default Accuracy,# Clauses,Mean # LitralsT+,T-,Similarity of T+,Similarity of T-,Similarity of T_MF,Similarity of T_Comp,Similarity - Common,Overlap Size,MF Theory,Comp Theory,Compression of T+,Compression of T-,# Sampled Positives,# Sampled Negatives,# Unique Sampled Positives,# Unique Sampled Negatives
"[[-10, 2, 13], [3, 13, -4], [-6, 7, -11, 1, 3], [12, -3, -10, -7, 5, 6, -2], [-8, -4, 6, -5, -14, -2], [-7, 3, 14, -12, 13, 4, 8, -10], [8, 1, -4, -5, 2, -11, 3, 12, -6, 7]]",6588,9796,0.597900390625,8,7.625,"[[5, 6, 8, 9, 11, 12, 14, -13, -2, -10, -7, -4, -3, -1], [3, -4, 13], [2, 13, -10], [1, 3, 7, -11, -6], [6, 7, -14, -11, -8, -5, -4, -3, -2]]","[[1, 2, 10, -14, -7, -4, -3], [4, -12, -2], [2, 10, -5], [12, 6, -2], [-3, -4, -12, 5], [8, -6, 11, -2], [-7, -6, 5], [3, 6, 11, -10, -7, -1], [-7, -14, -5, 9], [-8, -12, -1, 7], [10, 4, -9], [1, 7, -10, -2], [-5, -4, -10, -1], [2, 5, 10, 13, 14], [7, 9, 11, -12, -5], [7, 8, -6, 12, -1], [8, 9, -4], [-13]]",0.98052978515625,0.201904296875,0.201904296875,0.98052978515625,0.9976689976689976,0.18328857421875,T-,T+,0.9916842299871869,0.8597851511493233,310,90,310,90
"[[-10, -12, 7, -8, 2, 5, -6, 3, -11], [2, 7, -5], [-9, -2, -7, 11], [6, 10, -11, 3, -12, -2, 9, 4], [6, -8, 11, 1, -13, 5, -3, 14, -4], [-12, 11, -7, 1, 6, 13, 2, 5, 9, -3, 14], [12, -3, 9, 6, -13, -4, 10, 14], [1, 7, -14, -4, -2, -3, 6, 12, -8, -10, -5, -9]]",4096,12288,0.75,3,4.333333333333333,"[[-7, 11, -2, -9], [3, 4, 6, 9, 10, -12, -11, -2, -8, -7, -1], [1, 3, 5, 14, -12, -11, -10, -9, -8, -6, -4], [2, -5, 7]]","[[-4, -12, 5], [-8, 4, 5], [3, 12, -4], [8, 12, -3], [6, 7, 13, -14, -10], [8, -7, 9], [3, 14, -9], [-3, -13, 5], [-8, 1, -14, 13], [6, 12, 13, -11, -8, -5], [4, 5, 11, 12, -14, -2], [-6, -1, 7], [2, 6, 10, -11, -1], [-8, -6, 14, 7], [6, 8, 11, 13, -12], [8, 11, -1], [4, -11, -9], [-7, -13, 12, -3], [-5, -12, -2], [-7, 2]]",0.98876953125,0.19384765625,0.19384765625,0.98876953125,0.9934036939313984,0.18505859375,T-,T+,0.992759957349848,0.8909005685309055,348,52,348,52
"[[8, 14, -5, 13, -4, -6, -12, 1, -7, 9], [-10, -2, 14, -13, 6, 12], [6, -4, 13, -5, 11, 10, -7, 3, -12], [-8, 14, -2, 12, 11, 4, -10, -7], [3], [-3, 5, -6, -12], [4, 12, 5, -8, -9, 11, -13, 3, 2, 1, 10, -7, -14], [-11, 12, -13, 9]]",4096,12288,0.75,4,5.5,"[[9, -13, 12, -11], [5, 8, 11, 14, -4, -2], [1, 5, 14, -13, -11, -10, -8], [-6, -12, 5], [3]]","[[4, 7, 14, -13, -12, -10, -8, -6, -1], [1, 2, 10, -14, -7, -4, -3], [-12, -3, 6], [11, 12, -3], [5, -13, -3, -9], [1, 2, 10, 14, -12, -11, -4], [4, 5, 12, -7, -6, -2], [1, 4, -12, -10, -9, -8, -7], [2, -13, -11, -7, -3], [2, 4, 12, -9, -6, -3], [1, 7, -10, -8, -3, -2], [13, -4, -3, -1], [1, 2, 9, 12, 13, -11, -10], [5, 10, -14, -13, -8, -7, -2], [4, 6, 8, -13, -9, -1], [2, 10, 13, 14, -8, -6], [1, 5, 7, -12, -11], [4, 13, -14, -12, -11, -1, -9, -7, -2], [8, -6, -10, 7], [-5, -3]]",0.98583984375,0.1669921875,0.98583984375,0.98583984375,0.9576023391812866,0.1669921875,T+,T+,0.9907884496079228,0.9162734385425233,172,228,172,228
"[[6, -4, -14, -11, 8, 5, -3, 2, 1, -9, 10], [-12, 4, 13, 3, 14, -7, -6, 5, -9, 2, 10, -1, 11], [-7, -12, 4, 6, -5, -14, 1, -2, 8, 3], [1, 12, 11, -3, 6, 14, -8, 10, -9], [8, -7, -3, -6], [-7, -1, 14, -5, 9, -10, -8]]",6110,10274,0.6270751953125,4,6,"[[8, -7, -6, -3]]","[[-6, 12, 7], [-4], [6], [-8], [-14], [-10], [-11]]",0.9886474609375,0.07763671875,0.07763671875,0.9886474609375,0.9990808823529411,0.06640625,T-,T+,0.9984527256358983,0.9623905008083335,385,15,385,15
"[[-6, -4], [-1, -13, 3, -11], [10, 11], [-1, 5, -6, 7, -14, 10, -8, -9, 3, -12]]",7104,9280,0.56640625,3,4,"[[-6, -4], [3, -11, -1, -13], [10, 11]]","[[1, 2, 10, -14, -7, -4, -3], [-3, 4, -11], [3, -10, -9], [10, -11, 6], [8, -7, -14, -5], [1, 7, 10, -12, -9], [1, -13, -7, -4, -3], [3, 9, -5, -4, -1], [1, 3, 4, -12], [1, 5, 6, 13, -8], [5, -14, -13, -9, -8, -3, -2], [-6, 4, -10, 7], [3, 13, -12, -11, -4, -2], [11, 12, -3, -10], [13, 14, -12, -1, -9, -8, -7, -4, -2], [2, 5, 9, 14, -13, -12, -6, -1], [2, 3, 5, 13, -11, -9, -8, -6], [10, -3, 14, 7], [-7, 4, 5, -2], [-6, -14, 4], [1, 7, -8, -5, -4, -3, -2], [2, -13, -1, -9, 8, 10, 14], [-10, 6]]",0.9998779296875,0.28033447265625,0.28033447265625,0.9998779296875,1.0,0.28021240234375,T-,T+,0.997059829307018,0.8464185065808104,237,163,237,163
"[[-8, 1, 9, 10, -12, 5, -13, -4, -7], [11, -13, -4, 9, -14], [13, -4, 10, -11, -9, -6], [10], [-6, -5, -11, 13, 14, 8], [6, -1, -12]]",9836,6548,0.600341796875,7,6.285714285714286,"[[-12, 6, -1], [8, 9, -5, -4], [8, 13, 14, -11, -10, -5], [10]]","[[6, 8, 9, 11, -14, -12, -7, -5, -3], [4, 5, 6, 7, 11, -14, -13, -9, -8, -3, -2], [4, 5, 6, 8, 12, 14, -13, -9, -7, -1], [7, 11, 12, -13, -8, -6, -4, -3, -1], [5, -10, -9], [1, -7, -2, 6], [8, -6, -4, 5], [4, -12, -11, -6, -2], [1, 5, 6, 7, 13, 14, -4], [3, 8, 9, 12, -13, -1], [-9, -8, -7, -4, -2], [7, 8, 11, 13, -10], [2, 8, -14, -9, -7], [1, 5, 11, 14, -12, -9, -7, -3], [4, 6, 14, -12, -8, -5, -2], [7, -12, -10, -8, -6], [1, -14, 3, -8, 13], [5, 6, 9, 11, 12, -3, -2], [3, -11, -1, 7], [12, -10], [2, -10], [2, 5, 10, -13, -11, -9, -4, -1], [3, -12, -10]]",0.96337890625,0.24932861328125,0.96337890625,0.96337890625,0.9045739493847226,0.26287841796875,T+,T+,0.9828305266252679,0.8330771400385937,195,205,195,205
"[[10, -4, -2, -9, -7, 5, 3, 11, -12, -1, -6, -8], [-6, -14, 4, 7, 3, -1, -10, -11, -13], [-6], [11, -4, 14], [-4, -10, 14, 5, 3, 7, 2, 11, 12, 8, -6, 13], [2, 5, 1, -8, -12, -13]]",3968,12416,0.7578125,5,4.2,"[[11, -4, 14], [1, 2, 5, -13, -12, -8], [-6]]","[[1, 2, 10, -14, -7, -4, -3], [-12, -11, 6], [-5, 12, 6], [-13, 6, -9], [1, 5, -11, -10, -8], [7, 8, 10, -11, -3], [3, 4, 5, 7, -10, -9], [9, -3, 6], [2, 3, -13, -12, -9, -4], [-8, -5, -10, -9], [1, 3, 5, 6, 13], [1, 5, -14, -13, -12, -11, -3], [8, 12, -13, -7, -4, -3], [1, 5, 8, 12, -14, -10, -9, -4, -3], [11, 4, 6, -2], [7, 8, 14, -13, -11, -10, -9, -1, -4, -2], [10, 11, 12, 13, -14, -9, -8, -4, -1], [3, 9, -5], [6, -1]]",1.0,0.231689453125,0.231689453125,1.0,1.0,0.231689453125,T-,T+,0.996655828606296,0.8942751586044198,202,198,202,198
"[[8, -6, 10, -3, 12, 5, 13, 7, -1, 4], [6]]",15844,540,0.967041015625,2,7,[[6]],"[[2, 3, 5, -13, -12, -11, -9, -4, -1], [3, 4, 5, 7, -12, -2, -9, -1], [4, 10, 11, -13, -5, -3], [3, 2, -5], [4, 8, -13, -10, -1], [3, 4, 8, 10, -5, -2], [1, 4, 5, 7, 10, 11], [3, 8, 9, -10, -4], [2, 9, 12, -8, -3], [5, -13, -12, -8, -1], [2, 4, 7, 13, -12], [5, 9, 12, -11, -4, -2], [1, 5, 9, 10, 11, -2], [1, 8, 12, 13, -9, -5], [2, 7, 8, 9, 10, 12, -4], [1, -13, -11, -10], [-6]]",0.9990234375,0.200439453125,0.200439453125,0.9990234375,1.0,0.199462890625,T-,T+,0.9990490186072885,0.8918893502381339,236,164,236,164
"[[-11, -5, -7, -14, -3, -10, -12, -8, -9, -13, 1, 4, -6], [2, 9], [-5, 6, -12, -14, 11, -9, 8, 2, 4, 10, 7, -1, 3], [-1, -9, 2, 13, 6, -14, -12, 11, -4]]",16360,24,0.99853515625,2,10.5,"[[9, 2]]","[[2, 3, 6, 8, 11, 13, -12, -10, -1], [1, 3, -4], [12, 14, 7], [8, 13, -12, -11], [-8, 13, -10, 6], [4, 6, 8, 12, -7], [8, -14, -13, -12, -4], [3, 4, 7, 11, -12, -8], [3, -4, -11, -1], [2, 5, 10, 14, -11], [7, -12, -10, -5, -3], [7, 11, -6, -4, -1], [-8, 14, -10, -1], [2, -12, 6, 8, -7, 11, -3], [1, 2, -14, -7, 10, -5], [5, -4, -3], [3, 8, 9, 10, -7, -5, -4, -1], [-9], [-2]]",0.997802734375,0.162841796875,0.162841796875,0.997802734375,1.0,0.16064453125,T-,T+,0.9988889455017028,0.9045657115485898,331,69,331,69
"[[-3, -1, 6, -10, -4, 13, 7, -12, -9, 14, 11, -8], [7, 3, 1, 8, -5, -4, 14, 12], [12, -14, -8, 13, 2, 1, -7, 11, -3], [-5, 1, -13, -7, 6, 3, 9, 2, 11, 10, -14, 8, -4]]",5408,10976,0.669921875,9,5.222222222222222,"[[1, 3, 7, 8, 11, 12, 14, -5, -4, -2]]","[[8, 9, -5], [-9], [5], [-8]]",0.9947509765625,0.0062255859375,0.0062255859375,0.9947509765625,1.0,0.0009765625,T-,T+,0.9973334730812602,0.9916325351286946,398,2,398,2
